Age group,Aimag,Код,Gender,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total, Bayan-Ulgii,183,Total,32936,27396,29803,26022,25832,30378,32984,32909,30419,35441,34199,35284,35619,34188,34774,34553,33790,43914,43351,45163,51459,44815,46384,49490,43939,53153,55771,26164,25708,30656,40530,41521,41479
Total, Bayan-Ulgii,183, Male,17834,15054,15498,15229,14828,16396,18108,17510,15995,18756,18865,19201,18760,18147,17863,18148,17653,22732,22635,23573,26068,23113,24184,25360,23733,28734,28947,13740,14389,18723,22657,23173,22706
Total, Bayan-Ulgii,183, Female,15102,12342,14305,10793,11004,13982,14876,15399,14424,16685,15334,16083,16859,16041,16911,16405,16137,21182,20716,21590,25391,21702,22200,24130,20206,24419,26824,12423,11319,11933,17873,18348,18774
Total, Govi-Altai,182,Total,28873,27636,29042,29665,31313,32018,32641,32241,30882,30460,30278,30310,30618,30833,31290,26330,25467,29332,30985,27388,30441,26794,26662,27456,26402,28335,28628,29147,26953,28190,27708,28061,29537
Total, Govi-Altai,182, Male,13515,13649,14412,15289,15684,16392,17147,16332,16705,15362,15287,15476,15167,15585,15600,13904,13375,15741,15802,13606,15866,14184,13716,13976,14003,14380,15374,14423,12871,14763,14994,14644,15013
Total, Govi-Altai,182, Female,15358,13987,14630,14376,15629,15626,15494,15909,14177,15098,14991,14834,15451,15248,15690,12426,12092,13591,15183,13782,14575,12610,12946,13480,12399,13955,13254,14723,14082,13427,12714,13417,14525
Total, Zavkhan,181,Total,41645,43372,45334,44890,46939,47648,45876,44893,40178,39504,38561,39872,36534,37706,37851,38763,36296,32796,38976,36789,39892,37401,37316,32090,33577,34618,33301,35920,36798,38041,34496,36010,33692
Total, Zavkhan,181, Male,21512,20539,22985,22342,23365,23549,22708,21947,19973,19214,19074,19326,17319,18142,18029,18535,17444,15744,20966,19220,21022,18773,18754,15922,17019,17679,17059,18781,19827,20704,18692,19835,17964
Total, Zavkhan,181, Female,20133,22833,22349,22548,23574,24099,23168,22946,20205,20290,19487,20546,19215,19564,19822,20228,18852,17052,18010,17569,18870,18628,18562,16168,16558,16939,16242,17139,16971,17337,15804,16175,15728
Total, Uvs,185,Total,40150,38373,35209,36113,36344,35258,36094,32853,34315,34746,34254,34264,34146,34275,34434,33573,33757,42058,38702,40781,37903,37334,34231,38502,36580,38230,36436,38651,38096,41072,35406,42593,43525
Total, Uvs,185, Male,21867,20859,18668,19403,19590,18292,18941,17581,17787,17954,17275,17688,17642,17713,17504,17118,17530,22097,19232,21663,19045,19571,18171,20372,19033,20065,19909,22044,19455,21546,19399,22406,24717
Total, Uvs,185, Female,18283,17514,16541,16710,16754,16966,17153,15272,16528,16792,16979,16576,16504,16562,16930,16455,16227,19961,19470,19118,18858,17763,16060,18130,17547,18165,16527,16608,18641,19526,16008,20187,18807
