Aimag,Код,Divisions,Sex,Age group,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total,0,Total,Male,15-19,,,,,,,,,,,,,,,,,,,,,,,,,24373,20773,22420,32250,16692,13747,13178,10840,12464,14349,13934,16198,13779,13047,14278,11774
Total,0,Total,Male,20-24,,,,,,,,,,,,,,,,,,,,,,,,,61897,59063,56901,58634,58428,54799,52490,47639,48189,51165,60735,59880,52908,61373,62524,61984
Total,0,Total,Male,25-29,,,,,,,,,,,,,,,,,,,,,,,,,72477,76380,76396,83203,86590,88091,88012,87770,89675,86974,100823,101180,94043,90581,89019,97445
Total,0,Total,Male,30-34,,,,,,,,,,,,,,,,,,,,,,,,,73543,78453,74650,79777,88744,86212,91927,93706,100194,109461,108724,121562,119580,119453,112392,115912
Total,0,Total,Male,35-39,,,,,,,,,,,,,,,,,,,,,,,,,81052,80476,84388,79602,86422,95668,96075,93476,97402,98846,94007,100912,108306,108587,118683,119877
Total,0,Total,Male,40-44,,,,,,,,,,,,,,,,,,,,,,,,,72356,76416,78998,69847,82118,82160,86767,86940,99314,98211,89035,84972,79593,92143,92725,99068
Total,0,Total,Female,Total,315586,326880,337357,370743,376542,384995,385483,384962,369401,364198,360647,364998,363831,378442,386655,392056,407685,430575,457680,483400,488960,518062,519887,528980,480095,490605,490173,506131,524379,526328,546546,543959,585661,583380,572664,578351,550481,592651,594465,618860
Total,0,Total,Female,45-49,,,,,,,,,,,,,,,,,,,,,,,,,72367,66842,72119,64281,71520,76025,79852,79120,85557,88712,75349,77275,70094,81507,85384,87835
Total,0,Total,Female,50-54,,,,,,,,,,,,,,,,,,,,,,,,,37986,42443,41125,46706,52546,51160,56208,58096,68368,67560,56873,58434,61094,66056,66735,74092
Total,0,Total,Female,55-59,,,,,,,,,,,,,,,,,,,,,,,,,12416,13702,14944,18835,21425,18449,21611,24550,26493,27577,27945,30646,26497,27656,33498,33891
Total,0,Total,Female,60-64,,,,,,,,,,,,,,,,,,,,,,,,,6853,5256,6069,6069,6664,4952,8040,8852,11832,10731,12671,10816,13143,17016,17379,16414
Total,0,Total,Female,65-69,,,,,,,,,,,,,,,,,,,,,,,,,2678,3030,2604,3477,2816,3565,3049,3266,4555,4095,3945,4600,3790,3539,6958,7620
Total,0,Total,Female,70+,,,,,,,,,,,,,,,,,,,,,,,,,1580,2040,2309,4263,2049,2204,2140,1996,2614,2798,3388,3025,2473,1918,2577,2161
