Detail Data For Renewable Electricity Potential by Energy Source Having Year : ALL Region : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,EnergySource,EnergySourceType,YearValue,CapacityIdentified_MW
ER,WEST BENGAL,BIOMASS,RENEWABLE,2015,396.000
ER,WEST BENGAL,SMALL HYDRO,RENEWABLE,2015,396.000
ER,WEST BENGAL,SOLAR,RENEWABLE,2015,6260.000
ER,WEST BENGAL,WASTE,RENEWABLE,2015,148.000
ER,WEST BENGAL,WIND,RENEWABLE,2016,2.080
ER,WEST BENGAL,WIND,RENEWABLE,2020,1050.000
ER,WEST BENGAL,SMALL HYDRO,RENEWABLE,2019,396.000
ER,WEST BENGAL,BIOMASS,RENEWABLE,2019,396.000
ER,WEST BENGAL,WASTE,RENEWABLE,2019,148.000
ER,WEST BENGAL,SOLAR,RENEWABLE,2019,6260.000
ER,WEST BENGAL,SMALL HYDRO,RENEWABLE,2020,392.060
ER,WEST BENGAL,BIOMASS,RENEWABLE,2020,396.000
ER,WEST BENGAL,WASTE,RENEWABLE,2020,148.000
ER,WEST BENGAL,SOLAR,RENEWABLE,2020,6260.000
ER,WEST BENGAL,SMALL HYDRO,RENEWABLE,2017,396.000
ER,WEST BENGAL,BIOMASS,RENEWABLE,2017,396.000
ER,WEST BENGAL,WASTE,RENEWABLE,2017,148.000
ER,WEST BENGAL,SOLAR,RENEWABLE,2017,6260.000
ER,WEST BENGAL,SMALL HYDRO,RENEWABLE,2018,392.000
ER,WEST BENGAL,BIOMASS,RENEWABLE,2018,529.000
ER,WEST BENGAL,SOLAR,RENEWABLE,2018,6260.000
ER,JHARKHAND,BIOMASS,RENEWABLE,2015,90.000
ER,JHARKHAND,SMALL HYDRO,RENEWABLE,2015,209.000
ER,JHARKHAND,SOLAR,RENEWABLE,2015,18180.000
ER,JHARKHAND,WASTE,RENEWABLE,2015,10.000
ER,JHARKHAND,WIND,RENEWABLE,2016,91.000
ER,JHARKHAND,SMALL HYDRO,RENEWABLE,2019,209.000
ER,JHARKHAND,BIOMASS,RENEWABLE,2019,90.000
ER,JHARKHAND,WASTE,RENEWABLE,2019,10.000
ER,JHARKHAND,SOLAR,RENEWABLE,2019,18180.000
ER,JHARKHAND,SMALL HYDRO,RENEWABLE,2020,228.000
ER,JHARKHAND,BIOMASS,RENEWABLE,2020,90.000
ER,JHARKHAND,WASTE,RENEWABLE,2020,10.000
ER,JHARKHAND,SOLAR,RENEWABLE,2020,18180.000
ER,JHARKHAND,SMALL HYDRO,RENEWABLE,2017,209.000
ER,JHARKHAND,BIOMASS,RENEWABLE,2017,90.000
ER,JHARKHAND,WASTE,RENEWABLE,2017,10.000
ER,JHARKHAND,SOLAR,RENEWABLE,2017,18180.000
ER,JHARKHAND,SMALL HYDRO,RENEWABLE,2018,228.000
ER,JHARKHAND,BIOMASS,RENEWABLE,2018,107.000
ER,JHARKHAND,WASTE,RENEWABLE,2018,10.000
ER,JHARKHAND,SOLAR,RENEWABLE,2018,18180.000
ER,BIHAR,BIOMASS,RENEWABLE,2015,619.000
ER,BIHAR,COGENERATION-BAGASSE,RENEWABLE,2015,300.000
ER,BIHAR,SMALL HYDRO,RENEWABLE,2015,223.000
ER,BIHAR,SOLAR,RENEWABLE,2015,11200.000
ER,BIHAR,WASTE,RENEWABLE,2015,73.000
ER,BIHAR,WIND,RENEWABLE,2016,144.000
ER,BIHAR,WIND,RENEWABLE,2020,3650.000
ER,BIHAR,SMALL HYDRO,RENEWABLE,2019,223.000
ER,BIHAR,BIOMASS,RENEWABLE,2019,619.000
ER,BIHAR,COGENERATION-BAGASSE,RENEWABLE,2019,300.000
ER,BIHAR,WASTE,RENEWABLE,2019,73.000
ER,BIHAR,SOLAR,RENEWABLE,2019,11200.000
ER,BIHAR,SMALL HYDRO,RENEWABLE,2020,527.000
ER,BIHAR,BIOMASS,RENEWABLE,2020,619.000
ER,BIHAR,COGENERATION-BAGASSE,RENEWABLE,2020,300.000
ER,BIHAR,WASTE,RENEWABLE,2020,73.000
ER,BIHAR,SOLAR,RENEWABLE,2020,11200.000
ER,BIHAR,SMALL HYDRO,RENEWABLE,2017,223.000
ER,BIHAR,BIOMASS,RENEWABLE,2017,619.000
ER,BIHAR,COGENERATION-BAGASSE,RENEWABLE,2017,300.000
ER,BIHAR,WASTE,RENEWABLE,2017,73.000
ER,BIHAR,SOLAR,RENEWABLE,2017,11200.000
ER,BIHAR,SMALL HYDRO,RENEWABLE,2018,527.000
ER,BIHAR,BIOMASS,RENEWABLE,2018,646.000
ER,BIHAR,COGENERATION-BAGASSE,RENEWABLE,2018,200.000
ER,BIHAR,WASTE,RENEWABLE,2018,73.000
ER,BIHAR,SOLAR,RENEWABLE,2018,11200.000
