Detail Data For Renewable Electricity Capacity by Energy Source Having Year : ALL State : A & N ISLANDS | ANDHRA PRADESH | ARUNACHAL PRADESH | ASSAM | BIHAR | CENTRAL | CHANDIGARH | CHHATTISGARH | DADRA & NAGAR HAVELI | DELHI | DIU & DAMAN | DVC | EASTERN OFFSHORE | GOA | GUJARAT | GUJARAT OFFSHORE | HARYANA | HIMACHAL PRADESH | JAMMU & KASHMIR | JHARKHAND | KARNATAKA | KERALA | LADAKH | LAKSHADWEEP | MADHYA PRADESH | MAHARASHTRA | MANIPUR | MEGHALAYA | MIZORAM | MULTIPLE STATES | NAGALAND | ODISHA | OFFSHORE | OTHERS | PUDUCHERRY | PUNJAB | RAJASTHAN | SIKKIM | TAMILNADU | TELANGANA | TRIPURA | UNION TERRITORIES | UTTAR PRADESH | UTTARAKHAND | WEST BENGAL | WESTERN OFFSHORE
.
Region,State,EnergySource,YearValue,Capacity,Capacity_MW
ER,WEST BENGAL,SMALL HYDRO,2008,98.400,MW
ER,WEST BENGAL,SOLAR,2008,0.050,MWP
ER,WEST BENGAL,SMALL HYDRO,2009,98.400,MW
ER,WEST BENGAL,SOLAR,2009,0.050,MWP
ER,WEST BENGAL,SMALL HYDRO,2010,98.400,MW
ER,WEST BENGAL,WIND,2010,4.300,MW
ER,WEST BENGAL,COGENERATION-BAGASSE,2010,16.000,MW
ER,WEST BENGAL,SOLAR,2010,1.150,MWP
ER,WEST BENGAL,SMALL HYDRO,2011,98.400,MW
ER,WEST BENGAL,WIND,2011,4.300,MW
ER,WEST BENGAL,COGENERATION-BAGASSE,2011,16.000,MW
ER,WEST BENGAL,SOLAR,2011,1.150,MWP
ER,WEST BENGAL,SMALL HYDRO,2012,98.400,MW
ER,WEST BENGAL,WIND,2012,4.300,MW
ER,WEST BENGAL,COGENERATION-BAGASSE,2012,16.000,MW
ER,WEST BENGAL,SOLAR,2012,2.050,MWP
ER,WEST BENGAL,SMALL HYDRO,2013,98.400,MW
ER,WEST BENGAL,COGENERATION-BAGASSE,2013,26.000,MW
ER,WEST BENGAL,SOLAR,2013,2.050,MWP
ER,WEST BENGAL,SMALL HYDRO,2014,98.400,MW
ER,WEST BENGAL,COGENERATION-BAGASSE,2014,26.000,MW
ER,WEST BENGAL,SOLAR,2014,7.050,MWP
ER,WEST BENGAL,SMALL HYDRO,2017,98.500,MW
ER,WEST BENGAL,COGENERATION-BAGASSE,2017,300.000,MW
ER,WEST BENGAL,SOLAR,2017,26.140,MWP
ER,WEST BENGAL,SMALL HYDRO,2018,98.500,MW
ER,WEST BENGAL,COGENERATION-BAGASSE,2018,300.000,MW
ER,WEST BENGAL,SOLAR,2018,37.320,MWP
ER,WEST BENGAL,SMALL HYDRO,2019,98.500,MW
ER,WEST BENGAL,COGENERATION-BAGASSE,2019,300.000,MW
ER,WEST BENGAL,SOLAR,2019,75.950,MWP
ER,WEST BENGAL,SMALL HYDRO,2020,98.500,MW
ER,WEST BENGAL,COGENERATION-BAGASSE,2020,319.920,MW
ER,WEST BENGAL,SOLAR,2020,114.460,MWP
ER,WEST BENGAL,SMALL HYDRO,2015,98.500,MW
ER,WEST BENGAL,COGENERATION-BAGASSE,2015,292.000,MW
ER,WEST BENGAL,SOLAR,2015,7.210,MWP
ER,WEST BENGAL,SMALL HYDRO,2016,98.500,MW
ER,WEST BENGAL,COGENERATION-BAGASSE,2016,300.000,MW
ER,WEST BENGAL,SOLAR,2016,7.772,MWP
ER,JHARKHAND,SMALL HYDRO,2008,4.050,MW
ER,JHARKHAND,SMALL HYDRO,2009,4.050,MW
ER,JHARKHAND,SMALL HYDRO,2010,4.050,MW
ER,JHARKHAND,SMALL HYDRO,2011,4.050,MW
ER,JHARKHAND,SMALL HYDRO,2012,4.050,MW
ER,JHARKHAND,SOLAR,2012,4.000,MWP
ER,JHARKHAND,SMALL HYDRO,2013,4.050,MW
ER,JHARKHAND,SOLAR,2013,16.000,MWP
ER,JHARKHAND,SMALL HYDRO,2014,4.050,MW
ER,JHARKHAND,SOLAR,2014,16.000,MWP
ER,JHARKHAND,SMALL HYDRO,2017,4.050,MW
ER,JHARKHAND,SOLAR,2017,23.270,MWP
ER,JHARKHAND,SMALL HYDRO,2018,4.050,MW
ER,JHARKHAND,SOLAR,2018,25.670,MWP
ER,JHARKHAND,SMALL HYDRO,2019,4.050,MW
ER,JHARKHAND,SOLAR,2019,34.950,MWP
ER,JHARKHAND,SMALL HYDRO,2020,4.050,MW
ER,JHARKHAND,COGENERATION-BAGASSE,2020,4.300,MW
ER,JHARKHAND,SOLAR,2020,38.400,MWP
ER,JHARKHAND,SMALL HYDRO,2015,4.050,MW
ER,JHARKHAND,SOLAR,2015,16.000,MWP
ER,JHARKHAND,SMALL HYDRO,2016,4.050,MW
ER,JHARKHAND,SOLAR,2016,16.186,MWP
ER,BIHAR,SMALL HYDRO,2008,50.400,MW
ER,BIHAR,SMALL HYDRO,2009,54.600,MW
ER,BIHAR,SMALL HYDRO,2010,54.600,MW
ER,BIHAR,SMALL HYDRO,2011,59.800,MW
ER,BIHAR,COGENERATION-BAGASSE,2011,9.500,MW
ER,BIHAR,SMALL HYDRO,2012,64.300,MW
ER,BIHAR,COGENERATION-BAGASSE,2012,15.500,MW
ER,BIHAR,SMALL HYDRO,2013,70.700,MW
ER,BIHAR,COGENERATION-BAGASSE,2013,43.300,MW
ER,BIHAR,SMALL HYDRO,2014,70.700,MW
ER,BIHAR,COGENERATION-BAGASSE,2014,43.420,MW
ER,BIHAR,SMALL HYDRO,2017,70.700,MW
ER,BIHAR,COGENERATION-BAGASSE,2017,113.000,MW
ER,BIHAR,SOLAR,2017,108.520,MWP
ER,BIHAR,SMALL HYDRO,2018,70.700,MW
ER,BIHAR,COGENERATION-BAGASSE,2018,113.000,MW
ER,BIHAR,SOLAR,2018,142.450,MWP
ER,BIHAR,SMALL HYDRO,2019,70.700,MW
ER,BIHAR,COGENERATION-BAGASSE,2019,113.000,MW
ER,BIHAR,SOLAR,2019,142.450,MWP
ER,BIHAR,SMALL HYDRO,2020,70.700,MW
ER,BIHAR,COGENERATION-BAGASSE,2020,121.200,MW
ER,BIHAR,SOLAR,2020,151.570,MWP
ER,BIHAR,SMALL HYDRO,2015,70.700,MW
ER,BIHAR,COGENERATION-BAGASSE,2015,93.000,MW
ER,BIHAR,SMALL HYDRO,2016,70.700,MW
ER,BIHAR,COGENERATION-BAGASSE,2016,104.000,MW
ER,BIHAR,SOLAR,2016,5.100,MWP
WR,MADHYA PRADESH,SMALL HYDRO,2008,71.160,MW
WR,MADHYA PRADESH,WIND,2008,187.700,MW
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2008,1.000,MW
WR,MADHYA PRADESH,WASTE,2008,2.750,MW
WR,MADHYA PRADESH,SOLAR,2008,0.100,MWP
WR,MADHYA PRADESH,SMALL HYDRO,2009,71.160,MW
WR,MADHYA PRADESH,WIND,2009,212.800,MW
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2009,1.000,MW
WR,MADHYA PRADESH,WASTE,2009,2.750,MW
WR,MADHYA PRADESH,SOLAR,2009,0.100,MWP
WR,MADHYA PRADESH,SMALL HYDRO,2010,71.160,MW
WR,MADHYA PRADESH,WIND,2010,229.400,MW
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2010,1.000,MW
WR,MADHYA PRADESH,WASTE,2010,2.700,MW
WR,MADHYA PRADESH,SOLAR,2010,0.100,MWP
WR,MADHYA PRADESH,SMALL HYDRO,2011,86.160,MW
WR,MADHYA PRADESH,WIND,2011,275.900,MW
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2011,1.000,MW
WR,MADHYA PRADESH,WASTE,2011,2.700,MW
WR,MADHYA PRADESH,SOLAR,2011,0.100,MWP
WR,MADHYA PRADESH,SMALL HYDRO,2012,86.160,MW
WR,MADHYA PRADESH,WIND,2012,376.400,MW
WR,MADHYA PRADESH,COGENERATION-BAGASSE,2012,8.500,MW
WR,MADHYA PRADESH,WASTE,2012,3.900,MW
WR,MADHYA PRADESH,SOLAR,2012,2.100,MWP
WR,MADHYA PRADESH,SMALL HYDRO,2013,86.160,MW
WR,MADHYA PRADESH,WIND,2013,386.000,MW
