StateName,Pincode,DistrictLGDCode0,DistrictLGDCode1,DistrictLGDCode2,DistrictLGDCode3,DistrictLGDCode4,PincodeDCID
ANDAMAN AND NICOBAR ISLANDS,744101,602,,,,,pincode/744101
ANDAMAN AND NICOBAR ISLANDS,744102,602,,,,,pincode/744102
ANDAMAN AND NICOBAR ISLANDS,744103,602,,,,,pincode/744103
ANDAMAN AND NICOBAR ISLANDS,744104,602,,,,,pincode/744104
ANDAMAN AND NICOBAR ISLANDS,744105,602,,,,,pincode/744105
ANDAMAN AND NICOBAR ISLANDS,744106,602,,,,,pincode/744106
ANDAMAN AND NICOBAR ISLANDS,744107,602,,,,,pincode/744107
ANDAMAN AND NICOBAR ISLANDS,744112,602,,,,,pincode/744112
ANDAMAN AND NICOBAR ISLANDS,744201,632,,,,,pincode/744201
ANDAMAN AND NICOBAR ISLANDS,744202,632,,,,,pincode/744202
ANDAMAN AND NICOBAR ISLANDS,744203,632,,,,,pincode/744203
ANDAMAN AND NICOBAR ISLANDS,744204,632,,,,,pincode/744204
ANDAMAN AND NICOBAR ISLANDS,744205,632,,,,,pincode/744205
ANDAMAN AND NICOBAR ISLANDS,744206,602,,,,,pincode/744206
ANDAMAN AND NICOBAR ISLANDS,744207,602,,,,,pincode/744207
ANDAMAN AND NICOBAR ISLANDS,744209,632,,,,,pincode/744209
ANDAMAN AND NICOBAR ISLANDS,744210,632,,,,,pincode/744210
ANDAMAN AND NICOBAR ISLANDS,744211,602,,,,,pincode/744211
ANDAMAN AND NICOBAR ISLANDS,744301,603,,,,,pincode/744301
ANDAMAN AND NICOBAR ISLANDS,744302,603,,,,,pincode/744302
ANDAMAN AND NICOBAR ISLANDS,744303,603,,,,,pincode/744303
ANDAMAN AND NICOBAR ISLANDS,744304,603,,,,,pincode/744304
ANDHRA PRADESH,503145,521,,,,,pincode/503145
ANDHRA PRADESH,503188,521,,,,,pincode/503188
ANDHRA PRADESH,503225,521,,,,,pincode/503225
ANDHRA PRADESH,503230,521,,,,,pincode/503230
ANDHRA PRADESH,503235,521,,,,,pincode/503235
ANDHRA PRADESH,503321,521,,,,,pincode/503321
ANDHRA PRADESH,504214,517,,,,,pincode/504214
ANDHRA PRADESH,504215,517,,,,,pincode/504215
ANDHRA PRADESH,504346,517,,,,,pincode/504346
