Count_BirthEvent_LiveBirth,Count_BirthEvent_LiveBirth_AsFractionOf_Count_ChildDeliveryEvent,Count_BirthEvent_StillBirth,Count_ChildVaccinationEvent_MMR,Count_Death_Infant,Count_Infant_VaccineAdministered_BCG,Count_Infant_VaccineAdministered_DPTDose1,Count_Infant_VaccineAdministered_DPTDose2,Count_Infant_VaccineAdministered_DPTDose3,Count_Infant_VaccineAdministered_OPV,Count_Infant_VaccineSideEffect_Adverse_Deaths,Count_Infant_VaccineSideEffect_Adverse_Others,Date,District,lgdCode
,,,,,,,,,,,,2009-03,Nicobar,603
,,,,,,,,,,,,2009-03,North and Middle Andaman,632
,0.0,,3688.0,,3593.0,,2699.0,4254.0,,,,2009-03,South Andaman,602
34027.0,63.6,120.0,49740.0,711.0,46018.0,46350.0,46105.0,45526.0,30056.0,,,2009-03,Adilabad,501
76746.0,100.2,349.0,73291.0,132.0,79350.0,78751.0,77473.0,76482.0,21166.0,,,2009-03,Anantapur,502
71645.0,97.7,199.0,73153.0,290.0,71635.0,71632.0,71714.0,71643.0,50280.0,,,2009-03,Chittoor,503
54203.0,99.3,430.0,50425.0,433.0,52402.0,51263.0,51830.0,54133.0,21925.0,,,2009-03,Cuddapah,
99817.0,112.2,833.0,93924.0,565.0,102234.0,88889.0,86439.0,90653.0,73020.0,,,2009-03,East Godavari,505
55884.0,157.2,1073.0,78242.0,475.0,87930.0,87238.0,88357.0,88324.0,46661.0,,199.0,2009-03,Guntur,506
86136.0,108.9,10.0,84450.0,549.0,84389.0,86259.0,87771.0,83981.0,54220.0,,,2009-03,Hyderabad,507
72116.0,99.5,126.0,67759.0,125.0,68156.0,67822.0,67768.0,67658.0,35994.0,,,2009-03,Karim Nagar,508
50539.0,115.3,516.0,46388.0,281.0,50462.0,47319.0,46696.0,49272.0,17764.0,,167.0,2009-03,Khammam,509
68677.0,123.1,425.0,80068.0,148.0,82118.0,81783.0,81906.0,82053.0,43113.0,,,2009-03,Krishna,510
75072.0,96.8,913.0,66836.0,227.0,72392.0,69611.0,69347.0,72615.0,38688.0,,,2009-03,Kurnool,511
79112.0,99.6,557.0,75399.0,381.0,86609.0,84979.0,83808.0,85003.0,67945.0,,,2009-03,Mahbubnagar,512
58959.0,117.7,6497.0,53179.0,301.0,54044.0,54122.0,53656.0,49108.0,46187.0,,,2009-03,Medak,513
59332.0,112.5,773.0,59430.0,245.0,61446.0,60905.0,60813.0,61644.0,33791.0,,,2009-03,Nalgonda,514
49284.0,171.9,4270.0,51755.0,90.0,48171.0,47636.0,47332.0,47465.0,24405.0,,,2009-03,Nellore,595
50494.0,151.9,435.0,53699.0,157.0,49762.0,48643.0,48204.0,48394.0,32522.0,,,2009-03,Nizamabad,516
56801.0,99.3,589.0,54378.0,170.0,62146.0,59243.0,58869.0,59400.0,49839.0,,,2009-03,Prakasam,517
89605.0,107.5,63.0,79159.0,52.0,87067.0,88673.0,87278.0,82559.0,28703.0,,,2009-03,Ranga Reddy,518
49618.0,106.7,1015.0,44011.0,320.0,48448.0,43889.0,44543.0,46871.0,12897.0,,,2009-03,Srikakulam,519
74937.0,110.3,939.0,75270.0,630.0,73543.0,75168.0,74544.0,73754.0,45358.0,,,2009-03,Vishakapatnam,520
41522.0,98.3,832.0,42116.0,700.0,43560.0,41529.0,41749.0,43007.0,28132.0,,,2009-03,Vizianagaram,521
52186.0,129.5,88.0,65530.0,132.0,52056.0,54564.0,58150.0,60019.0,44008.0,,4967.0,2009-03,Warangal,
76426.0,99.0,313.0,71290.0,177.0,77920.0,74197.0,74046.0,73811.0,74659.0,,,2009-03,West Godavari,523
86.0,100.0,,232.0,,261.0,279.0,296.0,332.0,34.0,,,2009-03,Anjaw,628
1108.0,99.0,8.0,2087.0,,2704.0,2910.0,2668.0,2167.0,231.0,,,2009-03,Changlang,229
76.0,80.0,1.0,98.0,,120.0,122.0,108.0,99.0,10.0,,,2009-03,Dibang Valley,230
374.0,102.2,6.0,594.0,,553.0,812.0,505.0,317.0,34.0,,,2009-03,East Kameng,231
1025.0,95.2,21.0,1145.0,,1595.0,1616.0,1416.0,1261.0,170.0,,,2009-03,East Siang,232
96.0,78.0,4.0,1425.0,,831.0,1210.0,1330.0,638.0,,,,2009-03,Kurung Kumey,233
