key,prop,val,p1,v1
StichtagDatJahr,observationDate,{Number},,
AnzBestWir,value,{Number},populationType,Person
AlterV10Kurz:0-9,age,[0 9 Years],,
AlterV10Kurz:10-19,age,[10 19 Years],,
AlterV10Kurz:20-29,age,[20 29 Years],,
AlterV10Kurz:30-39,age,[30 39 Years],,
AlterV10Kurz:40-49,age,[40 49 Years],,
AlterV10Kurz:50-59,age,[50 59 Years],,
AlterV10Kurz:60-69,age,[60 69 Years],,
AlterV10Kurz:70-79,age,[70 79 Years],,
AlterV10Kurz:80-89,age,[80 89 Years],,
AlterV10Kurz:90-99,age,[90 99 Years],,
AlterV10Kurz:100 u. älter,age,[100 - Years],,
SexKurz:M,gender,Male,,
SexKurz:W,gender,Female,,
HerkunftLang:Schweizer*in,nativity,Native,,
HerkunftLang:Ausländer*in,nativity,ForeignBorn,,
QuarLang:Rathaus,observationAbout,wikidataId/Q692511,,
QuarLang:Hochschulen,observationAbout,wikidataId/Q39240,,
QuarLang:Lindenhof,observationAbout,wikidataId/Q10987378,,
QuarLang:City,observationAbout,wikidataId/Q1093831,,
QuarLang:Wollishofen,observationAbout,wikidataId/Q642353,,
QuarLang:Leimbach,observationAbout,wikidataId/Q691367,,
QuarLang:Enge,observationAbout,wikidataId/Q648218,,
QuarLang:Alt-Wiedikon,observationAbout,wikidataId/Q433012,,
QuarLang:Friesenberg,observationAbout,wikidataId/Q693357,,
QuarLang:Sihlfeld,observationAbout,wikidataId/Q370104,,
QuarLang:Werd,observationAbout,wikidataId/Q531899,,
QuarLang:Langstrasse,observationAbout,wikidataId/Q1805410,,
QuarLang:Hard,observationAbout,wikidataId/Q870084,,
QuarLang:Gewerbeschule,observationAbout,wikidataId/Q693413,,
QuarLang:Escher Wyss,observationAbout,wikidataId/Q687052,,
QuarLang:Unterstrass,observationAbout,wikidataId/Q656446,,
QuarLang:Oberstrass,observationAbout,wikidataId/Q693483,,
QuarLang:Fluntern,observationAbout,wikidataId/Q693269,,
QuarLang:Hottingen,observationAbout,wikidataId/Q693454,,
QuarLang:Hirslanden,observationAbout,wikidataId/Q476940,,
QuarLang:Witikon,observationAbout,wikidataId/Q392079,,
QuarLang:Seefeld,observationAbout,wikidataId/Q692773,,
QuarLang:Mühlebach,observationAbout,wikidataId/Q693397,,
QuarLang:Weinegg,observationAbout,wikidataId/Q693321,,
QuarLang:Albisrieden,observationAbout,wikidataId/Q80797,,
QuarLang:Altstetten,observationAbout,wikidataId/Q445711,,
QuarLang:Höngg,observationAbout,wikidataId/Q455496,,
QuarLang:Wipkingen,observationAbout,wikidataId/Q678030,,
QuarLang:Affoltern,observationAbout,wikidataId/Q382903,,
QuarLang:Oerlikon,observationAbout,wikidataId/Q167179,,
QuarLang:Seebach,observationAbout,wikidataId/Q276792,,
QuarLang:Saatlen,observationAbout,wikidataId/Q652455,,
QuarLang:Schwamendingen-Mitte,observationAbout,wikidataId/Q692728,,
QuarLang:Hirzenbach,observationAbout,wikidataId/Q693374,,
QuarLang:Ganze Stadt,observationAbout,wikidataId/Q72,,
QuarLang:Kreis 1,observationAbout,wikidataId/Q445559,,
QuarLang:Kreis 2,observationAbout,wikidataId/Q456153,,
QuarLang:Kreis 3,observationAbout,wikidataId/Q675017,,
QuarLang:Kreis 4,observationAbout,wikidataId/Q677133,,
QuarLang:Kreis 5,observationAbout,wikidataId/Q460885,,
QuarLang:Kreis 6,observationAbout,wikidataId/Q456170,,
QuarLang:Kreis 7,observationAbout,wikidataId/Q456149,,
QuarLang:Kreis 8,observationAbout,wikidataId/Q677710,,
QuarLang:Kreis 9,observationAbout,wikidataId/Q456159,,
QuarLang:Kreis 10,observationAbout,wikidataId/Q456175,,
QuarLang:Kreis 11,observationAbout,wikidataId/Q870098,,
QuarLang:Kreis 12,observationAbout,wikidataId/Q657525,,
