key,p1,v1,p2,v2,p3,v3,p4,v4,p5,v5
"POPULATION BY DISTRICTS, AGE, PLACE OF RESIDENCE AND SEX AS OF 31.12.2024 (Number)",value,{Number},measuredProperty,count,populationType,Person,observationDate,2024

Male,gender,Male,value,{Number},measuredProperty,count,populationType,Person,observationDate,2024,,
Female,gender,Female,value,{Number},measuredProperty,count,populationType,Person,observationDate,2024,,
Urban residence,placeOfResidenceClassification,Urban,value,{Number},measuredProperty,count,populationType,Person,observationDate,2024,,
Rural residence,placeOfResidenceClassification,Rural,value,{Number},measuredProperty,count,populationType,Person,observationDate,2024,,
Total:Total,gender,"",value,{Number},measuredProperty,count,populationType,Person,observationDate,2024,,
0,age,[0 Years],,,,,,,,,,
1 - 4,age,[1 4 Years],,,,,,,,,,
5 - 9,age,[5 9 Years],,,,,,,,,,
10 - 14,age,[10 14 Years],,,,,,,,,,
15 - 19,age,[15 19 Years],,,,,,,,,,
20 - 24,age,[20 24 Years],,,,,,,,,,
25 - 29,age,[25 29 Years],,,,,,,,,,
30 - 34,age,[30 34 Years],,,,,,,,,,
35 - 39,age,[35 39 Years],,,,,,,,,,
40 - 44,age,[40 44 Years],,,,,,,,,,
45 - 49,age,[45 49 Years],,,,,,,,,,
50 - 54,age,[50 54 Years],,,,,,,,,,
55 - 59,age,[55 59 Years],,,,,,,,,,
60 - 64,age,[60 64 Years],,,,,,,,,,
65 - 69,age,[65 69 Years],,,,,,,,,,
70 - 74,age,[70 74 Years],,,,,,,,,,
75 - 79,age,[75 79 Years],,,,,,,,,,
80 - 84,age,[80 84 Years],,,,,,,,,,
85 - 89,age,[85 89 Years],,,,,,,,,,
90 - 94,age,[90 94 Years],,,,,,,,,,
95 - 99,age,[95 99 Years],,,,,,,,,,
100 +,age,[100 - Years],,,,,,,,,,
Districts Age (years),observationAbout,country/BGR,#Header,observationAbout,,,,,,,,
Blagoevgrad,observationAbout,wikidataId/Q173277,#Header,observationAbout,,,,,,,,
Burgas,observationAbout,wikidataId/Q6509,#Header,observationAbout,,,,,,,,
Varna,observationAbout,wikidataId/Q6506,#Header,observationAbout,,,,,,,,
Veliko Tarnovo,observationAbout,wikidataId/Q173474,#Header,observationAbout,,,,,,,,
Vidin,observationAbout,wikidataId/Q178531,#Header,observationAbout,,,,,,,,
Vratsa,observationAbout,wikidataId/Q189502,#Header,observationAbout,,,,,,,,
Gabrovo,observationAbout,wikidataId/Q180131,#Header,observationAbout,,,,,,,,
Dobrich,observationAbout,wikidataId/Q168668,#Header,observationAbout,,,,,,,,
Kardzhali,observationAbout,wikidataId/Q192875,#Header,observationAbout,,,,,,,,
Kyustendil,observationAbout,wikidataId/Q189305,#Header,observationAbout,,,,,,,,
Lovech,observationAbout,wikidataId/Q189328,#Header,observationAbout,,,,,,,,
Montana,observationAbout,wikidataId/Q220121,#Header,observationAbout,,,,,,,,
Pazardzhik,observationAbout,wikidataId/Q186576,#Header,observationAbout,,,,,,,,
Pernik,observationAbout,wikidataId/Q185289,#Header,observationAbout,,,,,,,,
Pleven,observationAbout,wikidataId/Q165420,#Header,observationAbout,,,,,,,,
Plovdiv,observationAbout,wikidataId/Q459,#Header,observationAbout,,,,,,,,
Razgrad,observationAbout,wikidataId/Q189650,#Header,observationAbout,,,,,,,,
Ruse,observationAbout,wikidataId/Q160173,#Header,observationAbout,,,,,,,,
Silistra,observationAbout,wikidataId/Q182428,#Header,observationAbout,,,,,,,,
Sliven,observationAbout,wikidataId/Q178385,#Header,observationAbout,,,,,,,,
Smolyan,observationAbout,wikidataId/Q192888,#Header,observationAbout,,,,,,,,
Sofia (stolitsa),observationAbout,wikidataId/Q1585725,#Header,observationAbout,,,,,,,,
Sofia,observationAbout,nuts/SOF46,#Header,observationAbout,,,,,,,,
Stara Zagora,observationAbout,wikidataId/Q170415,#Header,observationAbout,,,,,,,,
Targovishte,observationAbout,wikidataId/Q185114,#Header,observationAbout,,,,,,,,
Haskovo,observationAbout,wikidataId/Q186254,#Header,observationAbout,,,,,,,,
Shumen,observationAbout,wikidataId/Q181830,#Header,observationAbout,,,,,,,,
Yambol,observationAbout,wikidataId/Q186569,#Header,observationAbout,,,,,,,,
