place_name,dcid
C1,country/KEN
C2,wikidataId/Q225641
C3,wikidataId/Q952571
C4,wikidataId/Q1741307
C5,wikidataId/Q383150
C6,wikidataId/Q1951652
C7,wikidataId/Q7193788
C8,wikidataId/Q1852209
C11,wikidataId/Q1323683
C12,wikidataId/Q1499046
C13,wikidataId/Q15045704
C14,wikidataId/Q2189432
C15,wikidataId/Q1335242
C16,wikidataId/Q1722597
C17,wikidataId/Q1882639
C18,wikidataId/Q473717
C19,wikidataId/Q1714352
C20,wikidataId/Q749665
C21,wikidataId/Q2230311
C22,wikidataId/Q1781723
C23,wikidataId/Q2575594
C24,wikidataId/Q1633078
C25,wikidataId/Q590860
C26,wikidataId/Q2096419
C27,wikidataId/Q1278653
C28,wikidataId/Q1121429
C30,wikidataId/Q1964569
C31,wikidataId/Q808201
C32,wikidataId/Q1800699
C33,wikidataId/Q1852202
C34,wikidataId/Q1852220
C35,wikidataId/Q285072
C36,wikidataId/Q1739252
C37,wikidataId/Q1739252
C38,wikidataId/Q1721867
C39,wikidataId/Q1313202
C40,wikidataId/Q2928204
C41,wikidataId/Q1017519
C42,wikidataId/Q3482913
C43,wikidataId/Q1743809
C44,wikidataId/Q1625834
C45,wikidataId/Q1743730
C46,wikidataId/Q429955
C47,wikidataId/Q1569613
