place_name,dcid
48,country/KEN
1,wikidataId/Q225641
2,wikidataId/Q952571
3,wikidataId/Q1741307
4,wikidataId/Q383150
5,wikidataId/Q1951652
6,wikidataId/Q7193788
7,wikidataId/Q1494292
8,wikidataId/Q1852209
9,wikidataId/Q1477874
10,wikidataId/Q1323683
11,wikidataId/Q1499046
12,wikidataId/Q15045704
13,wikidataId/Q2189432
14,wikidataId/Q1335242
15,wikidataId/Q1722597
16,wikidataId/Q1882639
17,wikidataId/Q473717
18,wikidataId/Q1714352
19,wikidataId/Q749665
20,wikidataId/Q2230311
21,wikidataId/Q1781723
22,wikidataId/Q2575594
23,wikidataId/Q1633078
24,wikidataId/Q590860
25,wikidataId/Q2096419
26,wikidataId/Q1278653
27,wikidataId/Q1121429
28,wikidataId/Q15216433
29,wikidataId/Q1964569
30,wikidataId/Q808201
31,wikidataId/Q1800699
32,wikidataId/Q1852202
33,wikidataId/Q1852220
34,wikidataId/Q285072
35,wikidataId/Q891952
36,wikidataId/Q1739252
37,wikidataId/Q1721867
38,wikidataId/Q1313202
39,wikidataId/Q2928204
40,wikidataId/Q1017519
41,wikidataId/Q3482913
42,wikidataId/Q1743809
43,wikidataId/Q1625834
44,wikidataId/Q1743730
45,wikidataId/Q429955
46,wikidataId/Q1569613
47,wikidataId/Q3335223
