"key","p1","v1","p2","v2","p3","v3","p4","v4","p5","v5"
"M","gender","Male","measuredProperty","count",,,,,,
"F","gender","Female","measuredProperty","count",,,,,,
"A-","populationType","Student","performanceLevel","ExcellentPerformance",,,,,,
"B+","populationType","Student","performanceLevel","SuperiorPerformance",,,,,,
"B","populationType","Student","performanceLevel","SolidPerformance",,,,,,
"B-","populationType","Student","performanceLevel","FairPerformance",,,,,,
"C+","populationType","Student","performanceLevel","AdequatePerformance",,,,,,
"C","populationType","Student","performanceLevel","AveragePerformance",,,,,,
"C-","populationType","Student","performanceLevel","WeakPerformance",,,,,,
"D+","populationType","Student","performanceLevel","MarginalPerformance",,,,,,
"D","populationType","Student","performanceLevel","PoorPerformance",,,,,,
"D-","populationType","Student","performanceLevel","InadequatePerformance",,,,,,
"E","populationType","Student","performanceLevel","FailedPerformance",,,,,,
"I1","populationType","Person","registrationStatus","Registered","assessmentType","KenyaCertificateSecondaryEducation",,,,
"I2","populationType","Student","assessmentType","KenyaCertificateSecondaryEducation","assessmentType","KenyaCertificateSecondaryEducation",,,,
"TIME_PERIOD","observationDate","{Number}",,,,,,,,
"OBS_VALUE","value","{Number}","observationAbout","country/KEN",,,,,,
"FREQ","observationPeriod","P1Y",,,,,,,,
