"key","id","name","level","hasData","fields","INDICATOR","INDUSTRY"
1000000,"I1","Gross Domestic Product by Activity, Current Prices",0,TRUE,,"I1","A1"
1000010,"I2","Gross Domestic Product by Activity, Percentage Distribution to the GDP",0,TRUE,,"I2","A2"
1000020,"I3","Gross Domestic Product by Activity, Constant  2016  Prices",0,TRUE,,"I3","A3"
1000030,"I4","Gross Domestic Product by Activity, Percentage  Changes (growth)",0,TRUE,,"I4","A4"
1000040,"I5","Sources of Growth, Percentage  Changes (growth)",0,TRUE,,"I5","A5"
,,,,,,,"A6"
,,,0,TRUE,,,"A7"
,,,1,TRUE,,,"A8"
,"A1","Agriculture, forestry and fishing",2,TRUE,,,"A9"
,"A2","Growing of crops",3,TRUE,,,"A10"
,"A3","Animal production",3,TRUE,,,"A11"
,"A4","Support activities to agriculture",3,TRUE,,,"A12"
,"A5","Forestry & logging",3,TRUE,,,"A13"
,"A6","Fishing & aquaculture",3,TRUE,,,"A14"
,"A7","Mining and quarrying",2,TRUE,,,"A15"
,"A8","Manufacturing",2,TRUE,,,"A16"
,"A9","Manufacture of food, beverages and tobacco",3,TRUE,,,"A17"
,"A10","Other manufacturing and repair and installation",3,TRUE,,,"A18"
,"A11","Electricity supply",2,TRUE,,,"A19"
,"A12","Water supply; sewerage, waste management",2,TRUE,,,"A20"
,"A13","Construction",2,TRUE,,,"A21"
,"A14","Wholesale and retail trade; repairs",2,TRUE,,,"A22"
,"A15","Transportation and storage",2,TRUE,,,"A23"
,"A16","Land transport",3,TRUE,,,"A24"
,"A17","Air transport including support services",3,TRUE,,,"A25"
,"A18","All other transport including postal and courier activities",3,TRUE,,,"A26"
,"A19","Accommodation and food service activities",2,TRUE,,,"A27"
,"A20","Information and communication",2,TRUE,,,"A28"
,"A21","Telecommunications",3,TRUE,,,"A29"
,"A22","Publishing, broadcasting, other IT and information activities",3,TRUE,,,"A30"
,"A23","Financial and insurance activities",2,TRUE,,,"A31"
,"A24","Financial activities",3,TRUE,,,"A32"
,"A25","Insurance activities",3,TRUE,,,"A33"
,"A26","Real estate",2,TRUE,,,"A34"
,"A27","Professional, scientific and technical activities",2,TRUE,,,"A35"
,"A28","Administrative and support service activities",2,TRUE,,,"A36"
,"A29","Public administration and defence",2,TRUE,,,"A37"
,"A30","Education",2,TRUE,,,"A38"
,"A31","Pre-primary and Primary education",3,TRUE,,,"A39"
,"A32","General secondary education",3,TRUE,,,"A40"
,"A33","Higher and other education",3,TRUE,,,"A41"
,"A34","Human health and social work activities",2,TRUE,,,
,"A35","Arts, entertainment and recreation",2,TRUE,,,
,"A36","Other service activities",2,TRUE,,,
,"A37","Activities of households as employers;",2,TRUE,,,
,"A38","Financial Intermediation Services Indirectly Measured (FISIM)",2,TRUE,,,
,"A39","All economic activities",,,,,
,"A40","Taxes on products",1,TRUE,,,
,"A41","GDP at market prices",,,,,
