"key","name","level"
,,
,,
"Name","Region ID",
"S6","National Mean Score",
"S1","English",
"S2","Kiswahili",
"S3","Mathematics",
"S4","Science",
"S5","Social Studies and Religious Education",
"Name","Region ID",
"C9","National Mean Score",
"C1","English Language",
"C2","English Composition",
"C3","Kiswahili Lugha",
"C4","Kiswahili Insha",
"C5","Mathematics",
"C6","Science",
"C7","Social Studies",
"C8","Religious Education",
