key,name,level,hasData,fields,id,parent,regionid
1000000,Registered KCSE Candidates,0,TRUE,,I1,,
1000010,KCSE Grade,0,TRUE,,I2,,
,,,,,,,
Name,Region ID,,,,,,
Name,Region ID,,,,,,
T,Total,,,,,,
M,Male,,,,,,
F,Female,,,,,,
Name,Region ID,,,,,,
T,Total,,,,,,
A,A,,,,,,
A-,A-,,,,,,
B+,B+,,,,,,
B,B,,,,,,
B-,B-,,,,,,
C+,C+,,,,,,
C,C,,,,,,
C-,C-,,,,,,
D+,D+,,,,,,
D,D,,,,,,
D-,D-,,,,,,
E,E,,,,,,
Name,Region ID,,,,,,
I1,Registered KCSE Candidates,,,,,,
I2,KCSE Grade,,,,,,
