"observationPeriods","Units","MinDate","MeasurementMethods","StatVar","ScalingFactors","NumPlaces"
"[]","[]","2015","[]","Count_HospitalBed_PalliativeCare","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_Oncology","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_Surgery","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_InternalMedicine","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_TuberculosisCare","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_Traumatology","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_Pediatrics","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_Urology","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_OtherHealthDepartment","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_Nephrology","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_Otolaryngology","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_Dermatology","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_Ophthalmology","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_Neurology","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_Obstetrics","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_PsychiatryAndNarcology","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_Anesthesiology","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_Gynecology","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_DentistryAndStomatology","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_InfectiousDiseaseCare","[]","1"
"[]","[]","2015","[]","Count_HospitalBed","[]","1"
"[]","[]","2015","[]","Count_HospitalBed_TraditionalMedicine","[]","1"
