place_name,dcid
Ehlanzeni,wikidataId/Q1244497
Limpopo,wikidataId/Q134907
Mopani,wikidataId/Q611074
Vhembe,wikidataId/Q2305610
Capricorn,wikidataId/Q692290
Waterberg,wikidataId/Q2096830
North West,wikidataId/Q165956
Bojanala,wikidataId/Q891165
Central North West,wikidataId/Q1984191
Bophirima,wikidataId/Q1254171
Eden,wikidataId/Q220249
Southern North West,wikidataId/Q1150452
Gauteng,wikidataId/Q133083
Sedibeng,wikidataId/Q2038939
Sisonke,wikidataId/Q549746
Alfred Nzo,wikidataId/Q1664120
Northern Cape,wikidataId/Q132418
