key,prop,val,p1,v1
Zeit,observationDate,{Number},,
bir,value,{Number},populationType,BirthEvent
wikiID,observationAbout,wikidataId/{Data},,
Sex:M,gender,dcs:Male,,
Sex:F,gender,dcs:Female,,
