key,prop,value,p1,v1,p2,v2,p3,v3,,
Year,observationDate,{Number},,,,,,,,
Value,value,{Number},populationType,Investment,measuredProperty,amount,unit,USDollar
AL,observationAbout,geoId/01
AK,observationAbout,geoId/02
AZ,observationAbout,geoId/04
AR,observationAbout,geoId/05
CA,observationAbout,geoId/06
CO,observationAbout,geoId/08
CT,observationAbout,geoId/09
DE,observationAbout,geoId/10
DC,observationAbout,geoId/11
FL,observationAbout,geoId/12
GA,observationAbout,geoId/13
HI,observationAbout,geoId/15
ID,observationAbout,geoId/16
IL,observationAbout,geoId/17
IN,observationAbout,geoId/18
IA,observationAbout,geoId/19
KS,observationAbout,geoId/20
KY,observationAbout,geoId/21
LA,observationAbout,geoId/22
ME,observationAbout,geoId/23
MD,observationAbout,geoId/24
MA,observationAbout,geoId/25
MI,observationAbout,geoId/26
MN,observationAbout,geoId/27
MS,observationAbout,geoId/28
MO,observationAbout,geoId/29
MT,observationAbout,geoId/30
NE,observationAbout,geoId/31
NV,observationAbout,geoId/32
NH,observationAbout,geoId/33
NJ,observationAbout,geoId/34
NM,observationAbout,geoId/35
NY,observationAbout,geoId/36
NC,observationAbout,geoId/37
ND,observationAbout,geoId/38
OH,observationAbout,geoId/39
OK,observationAbout,geoId/40
OR,observationAbout,geoId/41
PA,observationAbout,geoId/42
RI,observationAbout,geoId/44
SC,observationAbout,geoId/45
SD,observationAbout,geoId/46
TN,observationAbout,geoId/47
TX,observationAbout,geoId/48
UT,observationAbout,geoId/49
VT,observationAbout,geoId/50
VA,observationAbout,geoId/51
WA,observationAbout,geoId/53
WV,observationAbout,geoId/54
WI,observationAbout,geoId/55
WY,observationAbout,geoId/56
AS,observationAbout,geoId/60
FM,observationAbout,geoId/64
GU,observationAbout,geoId/66
MP,observationAbout,geoId/69
PW,observationAbout,geoId/70
PR,observationAbout,geoId/72
MH,observationAbout,geoId/68
VI,observationAbout,geoId/78
Economic Adjustment Assistance,investmentProgram,EconomicAdjustmentAssistance
Planning,investmentProgram,ProgramPlanning
Public Works,investmentProgram,PublicWorks
Regional Innovation Strategies,investmentProgram,RegionalInnovationStrategies
Technical Assistance,investmentProgram,TechnicalAssistance
Research and National Technical Assistance,investmentProgram,ResearchNationalTechnicalAssistance
Trade Adjustment Assistance for Firms,investmentProgram,TradeAdjustmentAssistance
Regional Technology and Innovation Hubs,investmentProgram,RegionalTechnologyAndInnovationHubs,name,"""Amount of Investment: Regional Technology and Innovation Hubs"""
Distressed Area Recompete Pilot Program,investmentProgram,DistressedAreaRecompetePilotProgram,name,"""Amount of Investment: Distressed Area Recompete Pilot Program"""
Science and Research Park Development Grants,investmentProgram,ScienceAndResearchParkDevelopmentGrants,name,"""Amount of Investment: Science and Research Park Development Grants"""
STEM Talent Challenge,investmentProgram,STEMTalentChallenge,name,"""Amount of Investment: STEM Talent Challenge"""
Total,investmentProgram,
