key,prop,val,p1,v1,p2,v2,p3,v3,p4,v4,,,,
Referência,observationDate,{Data},observationAbout,country/BRA,populationType,FoodBasket,householdType,SettledInCamps,,,,,,
Qtde de famílias assentadas/acampadas  que receberam cestas de alimento,value,{Number},populationType,Household,foodBasketStatus,ReceivedFoodBasket,,,name,"""Number of families settled/camped that received food baskets""",alternateName,"""Qtde de famílias assentadas/acampadas  que receberam cestas de alimento@pt""",,
Qtde de cestas de alimentos destinadas a famílias assentadas/acampadas,value,{Number},foodBasketStatus,DestinedFoodBasket,,,,,name,"""Number of food baskets destined for settled/camped families""",alternateName,"""Qtde de cestas de alimentos destinadas a famílias assentadas/acampadas@pt""",,
Qtde de cestas de alimentos entregues a famílias assentadas/acampadas,value,{Number},foodBasketStatus,DeliveredFoodBasket,,,,,name,"""Number of food baskets delivered to settled/camped families""",alternateName,"""Qtde de cestas de alimentos entregues a famílias assentadas/acampadas@pt""",,
Quilos de alimentos entregues a famílias assentadas/acampadas,value,{Number},populationType,Food,unit,Kilogram,measuredProperty,amount,name,"""Kilograms of food delivered to settled/camped families""",alternateName,"""Quilos de alimentos entregues a famílias assentadas/acampadas@pt""",,
Percentual de Cestas Básicas entregues a  famílias assentadas/acampadas,value,{Number},foodBasketStatus,DeliveredFoodBasket,,,measurementDenominator,"-foodBasketStatus,+foodBasketStatus=DestinedFoodBasket",name,"""Percentage of Basic Food Baskets delivered to settled/camped families""",alternateName,"""Percentual de Cestas Básicas entregues a  famílias assentadas/acampadas@pt""",unit,Percent
