Aimag,Код,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506
Total,0,1317,1372,1457,1411,1441,1297,1341,1355,1301,1255,1348,1286,1357,1112,1428,1206,1362,1280,1279,1347,1360,1378,1292,1411,1486,1370,1486,1375,1432,1367,1533,1391,1460,1461,1361,1609,1573,1358,1373,1431,1508,1280,1410,1425,1365,1542,1266,1674,1366,1298,1292,1310,1288,1306,1402,1331,1405,1427,1278,1219,1151,1237,1381,1484,1403,1715,1819,1678,2026,2302,1950,1785,1345,1487,1496,1558,1506,1424,1438,1609,1490,1485,1472,1671,1430,1336,1587,1344,1323,1593,1519,1442,1347,1325,1596,1691,1483,1384,1398,1405,1545,1428,1566,1506,1504,1596,1592,1706,1482,1196,1563,1496,1482,1500
Western region,1,167,159,197,183,200,184,173,164,144,142,169,168,148,169,183,144,176,155,158,168,150,175,163,175,175,172,207,166,163,162,160,166,162,173,154,194,185,172,184,190,190,137,165,172,157,159,138,190,159,164,136,171,152,167,177,168,147,152,140,150,137,150,145,146,177,152,192,197,242,215,188,197,159,147,160,172,178,150,166,183,149,164,160,160,151,174,189,150,175,145,191,173,142,152,128,169,151,163,133,144,172,181,207,157,155,151,132,158,134,157,165,148,138,138
Zavkhan,181,30,31,38,32,36,38,27,27,24,36,39,28,17,38,45,34,35,33,29,28,30,28,20,32,32,33,30,28,27,26,30,27,39,28,37,32,32,23,34,37,42,28,33,38,25,30,26,31,28,27,27,27,30,23,44,32,28,33,26,24,38,24,28,38,32,35,35,45,37,44,39,27,34,31,22,30,29,28,28,37,30,22,33,27,29,33,38,33,31,31,32,34,21,37,23,18,29,29,23,33,26,30,41,29,26,32,27,27,25,32,37,25,22,21
