observationAbout,observationDate,value,variableMeasured,unit
dcid:country/MNG,2025,11797,dcid:Count_Abortion,
dcid:country/MNG,2024,12676,dcid:Count_Abortion,
dcid:country/MNG,2023,12197,dcid:Count_Abortion,
dcid:country/MNG,2022,13068,dcid:Count_Abortion,
dcid:country/MNG,2021,12043,dcid:Count_Abortion,
dcid:country/MNG,2020,14622,dcid:Count_Abortion,
dcid:country/MNG,2019,15485,dcid:Count_Abortion,
dcid:country/MNG,2018,15822,dcid:Count_Abortion,
dcid:country/MNG,2017,17530,dcid:Count_Abortion,
dcid:country/MNG,2016,18316,dcid:Count_Abortion,
dcid:country/MNG,2015,18168,dcid:Count_Abortion,
dcid:country/MNG,2014,18145,dcid:Count_Abortion,
dcid:country/MNG,2013,15628,dcid:Count_Abortion,
dcid:country/MNG,2012,18473,dcid:Count_Abortion,
dcid:country/MNG,2011,17504,dcid:Count_Abortion,
dcid:country/MNG,2010,12492,dcid:Count_Abortion,
dcid:country/MNG,2009,12602,dcid:Count_Abortion,
dcid:country/MNG,2008,10688,dcid:Count_Abortion,
dcid:country/MNG,2007,15817,dcid:Count_Abortion,
dcid:country/MNG,2006,12594,dcid:Count_Abortion,
dcid:country/MNG,2005,9064,dcid:Count_Abortion,
dcid:country/MNG,2004,8919,dcid:Count_Abortion,
dcid:country/MNG,2003,10472,dcid:Count_Abortion,
dcid:country/MNG,2002,9977,dcid:Count_Abortion,
dcid:country/MNG,2001,12056,dcid:Count_Abortion,
dcid:country/MNG,2000,11837,dcid:Count_Abortion,
dcid:country/MNG,1999,9200,dcid:Count_Abortion,
dcid:country/MNG,1998,9135,dcid:Count_Abortion,
dcid:country/MNG,1997,12870,dcid:Count_Abortion,
dcid:country/MNG,1996,15588,dcid:Count_Abortion,
dcid:country/MNG,1995,17839,dcid:Count_Abortion,
dcid:country/MNG,1994,17025,dcid:Count_Abortion,
dcid:country/MNG,1993,20229,dcid:Count_Abortion,
dcid:country/MNG,1992,28108,dcid:Count_Abortion,
dcid:country/MNG,1991,31217,dcid:Count_Abortion,
dcid:country/MNG,1990,29635,dcid:Count_Abortion,
dcid:country/MNG,1989,16741,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2025,139,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2024,89,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2023,147,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2022,101,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2021,75,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2020,90,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2019,125,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2018,264,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2017,342,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2016,331,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2015,357,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2014,384,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2013,420,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2012,34,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2011,36,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2010,105,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2009,154,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2008,54,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2007,71,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2006,34,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2005,24,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2004,99,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2003,194,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2002,162,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2001,201,dcid:Count_Abortion,
dcid:wikidataId/Q191792,2000,358,dcid:Count_Abortion,
dcid:wikidataId/Q191792,1999,194,dcid:Count_Abortion,
dcid:wikidataId/Q191792,1998,147,dcid:Count_Abortion,
dcid:wikidataId/Q191792,1997,155,dcid:Count_Abortion,
dcid:wikidataId/Q191792,1996,166,dcid:Count_Abortion,
dcid:wikidataId/Q191792,1995,293,dcid:Count_Abortion,
dcid:wikidataId/Q191792,1994,227,dcid:Count_Abortion,
dcid:wikidataId/Q191792,1993,179,dcid:Count_Abortion,
dcid:wikidataId/Q191792,1992,192,dcid:Count_Abortion,
dcid:wikidataId/Q191792,1991,189,dcid:Count_Abortion,
dcid:wikidataId/Q191792,1990,260,dcid:Count_Abortion,
dcid:wikidataId/Q191792,1989,216,dcid:Count_Abortion,
dcid:wikidataId/Q192945,2025,95,dcid:Count_Abortion,
dcid:wikidataId/Q192945,2024,70,dcid:Count_Abortion,
dcid:wikidataId/Q192945,2023,45,dcid:Count_Abortion,
dcid:wikidataId/Q192945,2022,35,dcid:Count_Abortion,
dcid:wikidataId/Q192945,2021,59,dcid:Count_Abortion,
dcid:wikidataId/Q192945,2020,90,dcid:Count_Abortion,
dcid:wikidataId/Q192945,2019,73,dcid:Count_Abortion,
dcid:wikidataId/Q192945,2018,51,dcid:Count_Abortion,
dcid:wikidataId/Q192945,2017,42,dcid:Count_Abortion,
dcid:wikidataId/Q192945,2016,31,dcid:Count_Abortion,
dcid:wikidataId/Q192945,2015,66,dcid:Count_Abortion,
dcid:wikidataId/Q192945,2014,95,dcid:Count_Abortion,
dcid:wikidataId/Q192945,2013,101,dcid:Count_Abortion,
dcid:wikidataId/Q192945,2012,111,dcid:Count_Abortion,
dcid:wikidataId/Q192945,2011,190,dcid:Count_Abortion,
dcid:wikidataId/Q192945,2010,96,dcid:Count_Abortion,
