Region,Indicator,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
National average,Total,21720,22960,23897,24884,25661,27083,35310,29629,29443,30117
National average, Internal medicine,6610,6610,7379,7706,7855,7886,8182,9207,9637,7564
National average, Surgery,1473,1473,1652,1716,1687,1906,1837,1883,1867,2293
National average, Obstetrics,1738,1738,1828,1828,1808,1834,1809,1818,1873,1857
National average, Gyneacology,1083,1083,1177,1215,1258,1333,1726,1309,1229,1663
National average, Pediatrics,2758,2758,3086,3275,3603,3642,3737,3929,3940,4134
National average, Infections,1030,1030,1042,1035,1052,1085,9116,1983,1158,1109
National average, Dermatology,358,358,428,426,443,439,363,383,377,369
National average, Tuberculosis,533,533,524,518,525,534,482,547,523,510
National average, Neurology,1522,1522,1704,1786,1823,1913,1718,1806,1652,3068
National average, Psychiatry & narcology,705,705,764,784,789,822,841,936,960,992
National average, Traumatology,838,838,873,925,954,1026,881,971,1147,1148
National average, Nephrology,168,168,145,157,157,122,119,211,151,182
National average, Urology,95,95,74,76,86,82,68,90,94,105
National average, Anaesthesiology,339,339,342,342,354,389,443,466,479,518
National average, Ophtalmology,230,230,238,224,222,236,219,196,200,183
National average, Otorhinolaryngology,244,244,250,257,274,304,284,314,312,287
National average, Dentist & stamatology,81,87,84,90,90,99,94,93,91,86
National average, Oncology,176,189,186,166,178,191,191,214,206,247
National average, Traditional medicine,1145,1398,1380,1515,1571,1838,1508,1798,1966,2113
National average, Palliative care,146,216,253,305,305,350,380,434,409,486
National average, Other,448,1346,488,538,627,1052,1312,1041,1172,1203
