Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989
Total,11797,12676,12197,13068,12043,14622,15485,15822,17530,18316,18168,18145,15628,18473,17504,12492,12602,10688,15817,12594,9064,8919,10472,9977,12056,11837,9200,9135,12870,15588,17839,17025,20229,28108,31217,29635,16741
 Western region,392,460,492,378,456,549,656,812,1124,742,830,952,917,515,701,966,973,868,624,547,349,562,833,1318,1014,1147,1181,900,1059,1073,1951,1593,1898,2419,2520,2594,1426
 Bayan-Ulgii,139,89,147,101,75,90,125,264,342,331,357,384,420,34,36,105,154,54,71,34,24,99,194,162,201,358,194,147,155,166,293,227,179,192,189,260,216
 Govi-Altai,95,70,45,35,59,90,73,51,42,31,66,95,101,111,190,96,59,68,66,100,102,104,198,249,210,237,355,110,140,145,341,250,254,343,334,362,250
 Zavkhan,14,7,11,27,24,42,73,78,55,38,65,79,68,22,30,72,49,62,71,97,35,71,117,368,177,109,173,133,132,234,612,482,564,787,826,765,340
 Uvs,122,258,245,203,266,295,326,359,610,211,217,256,207,191,290,517,477,481,378,253,145,203,177,239,210,294,201,249,325,229,469,247,483,658,657,752,352
 Khovd,22,36,44,12,32,32,59,60,75,131,125,138,121,157,155,176,234,203,38,63,43,85,147,300,216,149,258,261,307,299,236,387,418,439,514,455,268
    Khangai region,854,673,679,1000,846,1015,1239,1230,1544,1533,2056,3267,2724,2250,2460,1335,886,854,1641,1763,1651,1053,1201,1118,1411,1203,1001,1441,1597,1373,2500,2352,3979,5328,5367,5184,2673
