Region,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07
National average,11,11,17,11,13,13,13,11,14,16,19,20,27,24,18,17,13,11,13,12,13,16,17,18,14,14,12,14,11,13,14,13,11,13,15,16,14,13,12,13,12,12,16,11,12,14,19,14,12,12,14,12,11,12,14,12,14,15,14,12,10,12,12,13,10,10,13,11,10,11,13,9,10,12,10,13,12,12,11,13,11,14,14,13,13,13,13,12,10,11,12,12,14,15,14,14,13,11,11,12,13,10,11,11,13,14,11,13,12,13,14,11,11,11,12,12,12,15,14,14,15,15,14,13,12
Khangai region,7,7,15,21,10,20,13,6,15,13,20,24,52,42,14,19,10,7,14,14,19,19,17,19,20,14,23,22,15,11,21,16,10,9,27,19,15,17,20,8,11,13,23,12,7,12,21,18,14,9,22,17,3,18,12,10,13,15,13,15,14,11,8,14,7,12,4,7,2,11,12,6,6,6,11,12,11,8,10,11,9,16,11,15,7,25,20,6,11,10,13,6,12,15,11,15,8,10,12,11,16,5,8,10,13,17,20,9,16,18,14,6,11,21,8,20,8,15,6,19,6,12,18,21,13
 Arkhangai,28,0,32,45,11,39,14,13,22,41,26,13,68,33,6,11,5,6,0,23,12,31,6,22,16,6,34,40,16,13,24,8,10,8,29,24,6,28,31,13,25,17,22,13,0,28,30,8,7,0,28,34,13,12,22,0,25,7,26,8,24,19,0,7,14,15,7,16,0,22,0,6,16,7,6,13,19,8,9,0,9,31,10,21,9,33,8,0,9,17,9,0,18,23,16,9,0,7,0,0,27,9,9,21,20,13,22,13,31,29,0,0,21,26,11,30,27,12,0,24,10,12,0,24,0
 Bayankhongor,0,11,20,19,20,21,0,0,9,0,38,28,52,46,32,11,13,5,24,0,26,14,23,22,28,13,11,18,12,0,12,17,10,21,22,15,12,10,6,12,6,5,26,13,10,5,7,14,28,6,24,0,0,41,20,11,0,5,19,20,16,6,6,11,12,5,6,0,0,6,8,7,0,0,18,14,0,0,11,31,7,14,9,0,0,24,31,8,6,11,13,6,8,0,14,8,13,16,7,0,13,0,0,9,0,16,10,0,8,8,25,17,17,29,8,8,0,18,0,9,0,9,11,0,22
 Uvurkhangai,0,9,0,9,0,7,23,8,15,9,4,30,40,45,8,33,12,9,17,18,19,15,21,13,15,20,28,11,17,17,25,19,9,0,31,19,23,17,25,0,5,17,21,10,9,5,27,28,5,19,15,22,0,8,0,15,15,31,0,16,5,9,15,23,0,15,0,6,5,10,25,6,5,12,11,11,14,16,10,5,10,7,14,22,13,19,19,7,16,5,15,10,12,24,6,24,10,6,24,30,12,6,13,6,19,22,26,14,14,21,13,0,0,14,7,24,6,15,14,26,7,14,34,37,14
Western region,11,14,14,12,10,13,13,14,15,18,36,22,36,24,30,14,24,14,13,16,15,12,7,29,19,14,14,19,18,16,15,15,7,19,15,28,28,6,11,14,16,16,19,7,12,16,30,17,26,19,16,6,13,17,15,10,15,24,23,18,9,14,19,17,11,8,8,18,5,10,18,15,16,14,16,13,22,15,12,10,17,27,19,15,18,14,12,12,14,23,9,9,7,19,17,23,13,12,12,15,10,13,11,14,9,13,7,8,13,14,21,9,18,14,14,9,5,13,13,22,17,16,15,12,11
 Bayan-Ulgii,10,14,17,0,16,5,24,20,11,18,58,31,42,56,35,9,34,15,13,15,5,20,9,32,19,16,0,7,12,9,9,12,0,35,20,25,43,4,8,23,20,12,25,4,8,24,39,14,30,24,19,12,17,15,9,18,30,23,39,28,16,18,13,13,12,19,4,20,5,12,19,9,19,8,8,8,18,8,4,16,31,52,15,21,8,19,13,21,0,28,12,0,12,26,23,40,16,16,26,18,8,18,16,5,14,15,0,6,15,20,25,13,18,19,14,0,5,10,19,27,16,17,33,5,9
 Govi-Altai,0,22,33,35,27,32,14,15,15,16,11,20,19,0,18,9,38,8,51,11,0,13,11,48,9,10,9,19,31,30,19,8,10,8,24,32,29,8,9,0,23,20,8,10,20,20,42,19,57,8,0,10,23,0,17,0,0,0,30,20,7,0,8,7,8,0,9,0,8,9,28,19,18,0,24,30,61,0,30,0,0,10,15,32,25,10,23,0,11,34,0,10,11,0,0,0,11,23,0,27,16,11,13,14,0,31,32,16,17,0,35,0,30,0,13,24,0,-,0,14,0,14,15,29,0
