State,isoCode,Date,Count_BirthControlEvent_Vasectomy,Count_BirthControlEvent_Tubectomy,Count_BirthControlEvent_Sterilization,Count_BirthControlEvent_Vasectomy_AsFractionOf_Count_BirthControlEvent_Sterlization,Count_Death_BirthControlSterilization,Count_BirthControlEvent_IUCDInsertion,Count_BirthControlEvent_IUCDInsertion_AsFractionOf_Count_BirthControlEvent,Count_ContraceptiveDistribution_OralPill,Count_ContraceptiveDistribution_Condom
Madhya Pradesh,IN-MP,2010-03,18607.0,416099.0,434706.0,4.3,7.0,441410.0,50.4,6047619.0,72416042.0
Maharashtra,IN-MH,2010-03,34994.0,481490.0,516484.0,6.8,18.0,381503.0,42.5,3633702.0,35150506.0
Manipur,IN-MN,2010-03,172.0,814.0,986.0,17.4,0.0,5183.0,84.0,29821.0,211741.0
Meghalaya,IN-ML,2010-03,3.0,1794.0,1797.0,0.2,1.0,2591.0,59.0,62941.0,255941.0
Mizoram,IN-MZ,2010-03,3.0,2533.0,2536.0,0.1,0.0,2621.0,50.8,85023.0,326659.0
Nagaland,IN-NL,2010-03,68.0,1144.0,1212.0,5.6,0.0,2229.0,64.8,8693.0,32838.0
Odisha,IN-OR,2010-03,6431.0,115371.0,121802.0,5.3,8.0,136261.0,52.8,2315629.0,18168219.0
Puducherry,IN-PY,2010-03,22.0,9082.0,9104.0,0.2,0.0,3480.0,27.7,29658.0,673381.0
Punjab,IN-PB,2010-03,11231.0,65146.0,76377.0,14.7,1.0,272211.0,78.1,1369066.0,29690789.0
Rajasthan,IN-RJ,2010-03,9314.0,336586.0,345900.0,2.7,11.0,409560.0,54.2,11168563.0,119050003.0
Sikkim,IN-SK,2010-03,142.0,407.0,549.0,25.9,0.0,1598.0,74.4,58522.0,272073.0
Tamil Nadu,IN-TN,2010-03,2564.0,341344.0,343908.0,0.7,39.0,344887.0,50.1,1175133.0,12057971.0
Tripura,IN-TR,2010-03,593.0,3152.0,3745.0,15.8,0.0,2941.0,44.0,171558.0,592949.0
Uttar Pradesh,IN-UP,2010-03,12378.0,456789.0,469167.0,2.6,38.0,1544995.0,76.7,8515882.0,64028542.0
Uttarakhand,IN-UT,2010-03,3003.0,21459.0,24462.0,12.3,0.0,98306.0,80.1,608273.0,5698456.0
West Bengal,IN-WB,2010-03,33860.0,277862.0,311722.0,10.9,4.0,82156.0,20.9,8467843.0,40345953.0
All India,IN,2011-03,227502.0,4920606.0,5148108.0,4.4,262.0,5637404.0,52.3,50804160.0,508738307.0
A & N Islands,IN-AN,2011-03,1.0,1027.0,1028.0,0.1,0.0,846.0,45.1,21556.0,56464.0
Andhra Pradesh Old,IN-AP,2011-03,14276.0,543158.0,557434.0,2.6,30.0,358215.0,39.1,3769696.0,49027091.0
Arunachal Pradesh,IN-AR,2011-03,3.0,1654.0,1657.0,0.2,0.0,2399.0,59.1,18314.0,48911.0
Assam,IN-AS,2011-03,12567.0,65409.0,77976.0,16.1,17.0,48384.0,38.3,1051010.0,4567618.0
Bihar,IN-BR,2011-03,9564.0,503977.0,513541.0,1.9,13.0,228959.0,30.8,577762.0,6487319.0
Chandigarh,IN-CH,2011-03,65.0,1951.0,2016.0,3.2,0.0,3202.0,61.4,9759.0,961749.0
Chhattisgarh,IN-CT,2011-03,7340.0,142179.0,149519.0,4.9,0.0,107531.0,41.8,1188817.0,10540456.0
Dadra & Nagar Haveli,IN-DN,2011-03,1.0,1044.0,1045.0,0.1,0.0,108.0,9.4,3083.0,95117.0
Daman & Diu,IN-DD,2011-03,8.0,380.0,388.0,2.1,0.0,226.0,36.8,6260.0,168766.0
Delhi,IN-DL,2011-03,2801.0,15339.0,18140.0,15.4,0.0,32684.0,64.3,184444.0,6496351.0
Goa,IN-GA,2011-03,24.0,3752.0,3776.0,0.6,0.0,2171.0,36.5,47082.0,110590.0
Gujarat,IN-GJ,2011-03,7186.0,314463.0,321649.0,2.2,4.0,598444.0,65.0,3013697.0,51290241.0
Haryana,IN-HR,2011-03,6164.0,73342.0,79506.0,7.8,3.0,180388.0,69.4,875039.0,14824048.0
Himachal Pradesh,IN-HP,2011-03,2618.0,21020.0,23638.0,11.1,0.0,21220.0,47.3,342010.0,5871511.0
Jammu & Kashmir,IN-JK,2011-03,1117.0,18139.0,19256.0,5.8,0.0,22065.0,53.4,237871.0,2107812.0
Jharkhand,IN-JH,2011-03,13178.0,114537.0,127715.0,10.3,60.0,113934.0,47.1,1135764.0,9019783.0
Karnataka,IN-KA,2011-03,6787.0,324061.0,330848.0,2.1,0.0,219485.0,39.9,1442233.0,14839600.0
