State,isoCode,Date,Count_BirthControlEvent_Vasectomy,Count_BirthControlEvent_Tubectomy,Count_BirthControlEvent_Sterilization,Count_BirthControlEvent_Vasectomy_AsFractionOf_Count_BirthControlEvent_Sterlization,Count_Death_BirthControlSterilization,Count_BirthControlEvent_IUCDInsertion,Count_BirthControlEvent_IUCDInsertion_AsFractionOf_Count_BirthControlEvent,Count_ContraceptiveDistribution_OralPill,Count_ContraceptiveDistribution_Condom
Rajasthan,IN-RJ,2014-03,3770.0,299868.0,303638.0,1.2,4.0,374948.0,55.3,5241729.0,56303990.0
Sikkim,IN-SK,2014-03,49.0,167.0,216.0,22.7,0.0,1434.0,86.9,69088.0,262415.0
Tamil Nadu,IN-TN,2014-03,1360.0,321918.0,323278.0,0.4,28.0,379152.0,54.0,116277.0,6725206.0
Tripura,IN-TR,2014-03,23.0,5325.0,5348.0,0.4,0.0,947.0,15.0,97804.0,447641.0
Uttar Pradesh,IN-UP,2014-03,8375.0,262758.0,271133.0,3.1,17.0,1095398.0,80.2,4183531.0,52906904.0
Uttarakhand,IN-UT,2014-03,1210.0,23139.0,24349.0,5.0,1.0,91511.0,79.0,359781.0,5979752.0
West Bengal,IN-WB,2014-03,5669.0,207505.0,213174.0,2.7,5.0,110885.0,34.2,8536409.0,25621201.0
All India,IN,2015-03,78364.0,3951779.0,4030143.0,1.9,160.0,5275278.0,56.7,40092908.0,312897920.0
A & N Islands,IN-AN,2015-03,4.0,1148.0,1152.0,0.3,16.0,940.0,44.9,17955.0,202152.0
Andhra Pradesh,IN-AP,2015-03,2229.0,182151.0,184380.0,1.2,10.0,121401.0,39.7,1607503.0,6589473.0
Arunachal Pradesh,IN-AR,2015-03,2.0,982.0,984.0,0.2,0.0,3308.0,77.1,23129.0,51255.0
Assam,IN-AS,2015-03,4276.0,40537.0,44813.0,9.5,2.0,98249.0,68.7,1623684.0,4180855.0
Bihar,IN-BR,2015-03,3498.0,513816.0,517314.0,0.7,30.0,374147.0,42.0,841359.0,5372668.0
Chandigarh,IN-CH,2015-03,73.0,2209.0,2282.0,3.2,0.0,4587.0,66.8,14203.0,855742.0
Chhattisgarh,IN-CT,2015-03,1888.0,46265.0,48153.0,3.9,10.0,97355.0,66.9,683177.0,3846320.0
Dadra & Nagar Haveli,IN-DN,2015-03,3.0,1028.0,1031.0,0.3,0.0,654.0,38.8,6020.0,146080.0
Daman & Diu,IN-DD,2015-03,0.0,275.0,275.0,0.0,0.0,168.0,37.9,5356.0,123093.0
Delhi,IN-DL,2015-03,811.0,17121.0,17932.0,4.5,1.0,72027.0,80.1,196889.0,3998716.0
Goa,IN-GA,2015-03,15.0,2778.0,2793.0,0.5,0.0,1354.0,32.7,32437.0,353275.0
Gujarat,IN-GJ,2015-03,2272.0,318585.0,320857.0,0.7,4.0,605955.0,65.4,2148697.0,22566276.0
Haryana,IN-HR,2015-03,4214.0,65651.0,69865.0,6.0,2.0,271576.0,79.5,864488.0,18534090.0
Himachal Pradesh,IN-HP,2015-03,1362.0,16344.0,17706.0,7.7,0.0,23682.0,57.2,365518.0,5868713.0
Jammu & Kashmir,IN-JK,2015-03,442.0,12573.0,13015.0,3.4,0.0,18160.0,58.3,301742.0,2496549.0
Jharkhand,IN-JH,2015-03,3815.0,110498.0,114313.0,3.3,1.0,92708.0,44.8,666627.0,3470581.0
Karnataka,IN-KA,2015-03,1006.0,321139.0,322145.0,0.3,11.0,188827.0,37.0,1485156.0,13374962.0
Kerala,IN-KL,2015-03,1281.0,91416.0,92697.0,1.4,0.0,51817.0,35.9,72859.0,4483860.0
Lakshadweep,IN-LD,2015-03,1.0,21.0,22.0,4.5,0.0,32.0,59.3,544.0,5417.0
Madhya Pradesh,IN-MP,2015-03,5980.0,367604.0,373584.0,1.6,5.0,403311.0,51.9,3445868.0,18264455.0
Maharashtra,IN-MH,2015-03,13912.0,456770.0,470682.0,3.0,8.0,390163.0,45.3,2779444.0,18532991.0
Manipur,IN-MN,2015-03,91.0,712.0,803.0,11.3,0.0,5285.0,86.8,35557.0,176826.0
Meghalaya,IN-ML,2015-03,22.0,2116.0,2138.0,1.0,0.0,4723.0,68.8,60209.0,381260.0
Mizoram,IN-MZ,2015-03,0.0,1545.0,1545.0,0.0,0.0,2515.0,61.9,52281.0,184114.0
Nagaland,IN-NL,2015-03,9.0,1431.0,1440.0,0.6,0.0,3865.0,72.9,19527.0,140905.0
Odisha,IN-OR,2015-03,2065.0,103320.0,105385.0,2.0,7.0,175035.0,62.4,2014076.0,6091781.0
Puducherry,IN-PY,2015-03,23.0,8628.0,8651.0,0.3,0.0,7224.0,45.5,21632.0,725401.0
Punjab,IN-PB,2015-03,3302.0,55097.0,58399.0,5.7,0.0,211067.0,78.3,1234931.0,29353555.0
Rajasthan,IN-RJ,2015-03,4302.0,299134.0,303436.0,1.4,7.0,388609.0,56.2,5230182.0,55318858.0
Sikkim,IN-SK,2015-03,28.0,128.0,156.0,17.9,0.0,1530.0,90.7,76133.0,240390.0
Tamil Nadu,IN-TN,2015-03,1187.0,310554.0,311741.0,0.4,20.0,393894.0,55.8,351210.0,6233989.0
Telangana,IN-TG,2015-03,5292.0,151437.0,156729.0,3.4,0.0,55781.0,26.2,754066.0,4710796.0
Tripura,IN-TR,2015-03,18.0,4242.0,4260.0,0.4,0.0,1102.0,20.6,143344.0,347644.0
Uttar Pradesh,IN-UP,2015-03,9798.0,228198.0,237996.0,4.1,25.0,967746.0,80.3,3746586.0,49782558.0
Uttarakhand,IN-UT,2015-03,979.0,19475.0,20454.0,4.8,1.0,86810.0,80.9,403696.0,5390317.0
West Bengal,IN-WB,2015-03,3772.0,193329.0,197101.0,1.9,0.0,146829.0,42.7,8727267.0,19446938.0
All India,IN,2016-03,56853.0,2634580.0,2691433.0,2.1,86.0,4114476.0,60.5,31929212.0,237392176.0
A & N Islands,IN-AN,2016-03,5.0,509.0,514.0,1.0,10.0,675.0,56.8,14288.0,133300.0
Andhra Pradesh,IN-AP,2016-03,1158.0,178662.0,179820.0,0.6,11.0,86181.0,32.4,1366813.0,8038174.0
Arunachal Pradesh,IN-AR,2016-03,1.0,763.0,764.0,0.1,1.0,2386.0,75.7,20486.0,31434.0
Assam,IN-AS,2016-03,3243.0,29478.0,32721.0,9.9,4.0,64360.0,66.3,1307472.0,3116566.0
Bihar,IN-BR,2016-03,1832.0,271749.0,273581.0,0.7,10.0,309755.0,53.1,731894.0,4050341.0
Chandigarh,IN-CH,2016-03,32.0,1595.0,1627.0,2.0,0.0,3801.0,70.0,10519.0,695863.0
Chhattisgarh,IN-CT,2016-03,3656.0,33283.0,36939.0,9.9,0.0,80885.0,68.6,615319.0,2985788.0
Dadra & Nagar Haveli,IN-DN,2016-03,0.0,650.0,650.0,0.0,0.0,529.0,44.9,5199.0,116236.0
Daman & Diu,IN-DD,2016-03,7.0,208.0,215.0,3.3,0.0,98.0,31.3,5166.0,144488.0
Delhi,IN-DL,2016-03,581.0,11873.0,12454.0,4.7,0.0,60980.0,83.0,148631.0,4261088.0
Goa,IN-GA,2016-03,17.0,1970.0,1987.0,0.9,0.0,958.0,32.5,13972.0,311789.0
Gujarat,IN-GJ,2016-03,1260.0,218094.0,219354.0,0.6,3.0,452458.0,67.3,1708279.0,17738899.0
Haryana,IN-HR,2016-03,2694.0,52496.0,55190.0,4.9,3.0,177734.0,76.3,750346.0,13623198.0
Himachal Pradesh,IN-HP,2016-03,565.0,8901.0,9466.0,6.0,0.0,18574.0,66.2,295286.0,4946845.0
Jammu & Kashmir,IN-JK,2016-03,255.0,7647.0,7902.0,3.2,0.0,12653.0,61.6,246955.0,2189644.0
Jharkhand,IN-JH,2016-03,2249.0,44818.0,47067.0,4.8,3.0,68365.0,59.2,490637.0,2500120.0
Karnataka,IN-KA,2016-03,866.0,236168.0,237034.0,0.4,4.0,134923.0,36.3,1177585.0,10583406.0
Kerala,IN-KL,2016-03,955.0,66946.0,67901.0,1.4,0.0,39006.0,36.5,73735.0,3162914.0
Lakshadweep,IN-LD,2016-03,0.0,4.0,4.0,0.0,0.0,17.0,81.0,333.0,3531.0
Madhya Pradesh,IN-MP,2016-03,7338.0,265771.0,273109.0,2.7,5.0,318383.0,53.8,2782956.0,13331437.0
Maharashtra,IN-MH,2016-03,10688.0,325266.0,335954.0,3.2,6.0,293937.0,46.7,2114758.0,14358793.0
Manipur,IN-MN,2016-03,107.0,540.0,647.0,16.5,0.0,3707.0,85.1,28431.0,123701.0
Meghalaya,IN-ML,2016-03,5.0,1868.0,1873.0,0.3,0.0,3351.0,64.1,40317.0,242144.0
Mizoram,IN-MZ,2016-03,0.0,978.0,978.0,0.0,0.0,1906.0,66.1,48881.0,109249.0
Nagaland,IN-NL,2016-03,18.0,1252.0,1270.0,1.4,0.0,3274.0,72.1,15920.0,98965.0
Odisha,IN-OR,2016-03,1913.0,70331.0,72244.0,2.6,2.0,146770.0,67.0,1621126.0,5598881.0
Puducherry,IN-PY,2016-03,24.0,5970.0,5994.0,0.4,0.0,2628.0,30.5,16925.0,547676.0
Punjab,IN-PB,2016-03,1602.0,36459.0,38061.0,4.2,1.0,157708.0,80.6,964690.0,22614651.0
Rajasthan,IN-RJ,2016-03,3217.0,188913.0,192130.0,1.7,5.0,348488.0,64.5,3541389.0,36997542.0
Sikkim,IN-SK,2016-03,8.0,116.0,124.0,6.5,0.0,1060.0,89.5,58360.0,229476.0
Tamil Nadu,IN-TN,2016-03,747.0,222938.0,223685.0,0.3,10.0,314819.0,58.5,531171.0,5021603.0
Telangana,IN-TG,2016-03,4100.0,118236.0,122336.0,3.4,0.0,37075.0,23.3,395739.0,2138912.0
Tripura,IN-TR,2016-03,3.0,1885.0,1888.0,0.2,3.0,1090.0,36.6,111276.0,253266.0
Uttar Pradesh,IN-UP,2016-03,3608.0,97913.0,101521.0,3.6,4.0,747022.0,88.0,3101771.0,34392627.0
Uttarakhand,IN-UT,2016-03,802.0,10876.0,11678.0,6.9,0.0,63964.0,84.6,292322.0,3609761.0
West Bengal,IN-WB,2016-03,3214.0,117889.0,121103.0,2.7,1.0,153709.0,55.9,7253494.0,18466599.0
All India,IN,2017-03,75542.0,3894494.0,3970036.0,1.9,106.0,6016681.0,60.2,45565172.0,331952760.0
A & N Islands,IN-AN,2017-03,330.0,751.0,1081.0,30.5,5.0,505.0,31.8,17555.0,141706.0
Andhra Pradesh,IN-AP,2017-03,1660.0,238162.0,239822.0,0.7,10.0,121025.0,33.5,2556081.0,18156145.0
Arunachal Pradesh,IN-AR,2017-03,30.0,1068.0,1098.0,2.7,0.0,2921.0,72.7,28637.0,31522.0
Assam,IN-AS,2017-03,4206.0,42524.0,46730.0,9.0,1.0,115602.0,71.2,2052338.0,4421191.0
Bihar,IN-BR,2017-03,3348.0,508467.0,511815.0,0.7,3.0,444528.0,46.5,929526.0,5586044.0
Chandigarh,IN-CH,2017-03,61.0,2148.0,2209.0,2.8,0.0,5940.0,72.9,21312.0,1456315.0
Chhattisgarh,IN-CT,2017-03,5214.0,63428.0,68642.0,7.6,0.0,116284.0,62.9,817555.0,3974268.0
Dadra & Nagar Haveli,IN-DN,2017-03,7.0,1018.0,1025.0,0.7,0.0,624.0,37.8,9543.0,192955.0
Daman & Diu,IN-DD,2017-03,2.0,304.0,306.0,0.7,0.0,169.0,35.6,8844.0,260256.0
Delhi,IN-DL,2017-03,1323.0,17390.0,18713.0,7.1,0.0,84252.0,81.8,199092.0,6879685.0
Goa,IN-GA,2017-03,10.0,2653.0,2663.0,0.4,0.0,1323.0,33.2,21367.0,365487.0
Gujarat,IN-GJ,2017-03,2115.0,309373.0,311488.0,0.7,16.0,620991.0,66.6,2574906.0,29048399.0
Haryana,IN-HR,2017-03,2419.0,62139.0,64558.0,3.7,3.0,220207.0,77.3,1009508.0,19252522.0
Himachal Pradesh,IN-HP,2017-03,1133.0,14611.0,15744.0,7.2,0.0,21115.0,57.3,399568.0,5776224.0
Jammu & Kashmir,IN-JK,2017-03,460.0,13828.0,14288.0,3.2,1.0,20353.0,58.8,347673.0,2653617.0
Jharkhand,IN-JH,2017-03,2939.0,120777.0,123716.0,2.4,7.0,102458.0,45.3,643486.0,3164464.0
Karnataka,IN-KA,2017-03,922.0,295520.0,296442.0,0.3,5.0,176190.0,37.3,1783762.0,14897165.0
Kerala,IN-KL,2017-03,906.0,76503.0,77409.0,1.2,0.0,49716.0,39.1,100588.0,4673046.0
Lakshadweep,IN-LD,2017-03,0.0,37.0,37.0,0.0,0.0,5.0,11.9,1514.0,18847.0
Madhya Pradesh,IN-MP,2017-03,7250.0,345809.0,353059.0,2.1,2.0,377814.0,51.7,3627561.0,17703516.0
Maharashtra,IN-MH,2017-03,13835.0,437099.0,450934.0,3.1,20.0,444383.0,49.6,3133303.0,17076653.0
Manipur,IN-MN,2017-03,80.0,613.0,693.0,11.5,0.0,4831.0,87.5,44256.0,161456.0
Meghalaya,IN-ML,2017-03,15.0,2609.0,2624.0,0.6,0.0,4570.0,63.5,89918.0,271950.0
Mizoram,IN-MZ,2017-03,0.0,1277.0,1277.0,0.0,0.0,2196.0,63.2,72222.0,111699.0
Nagaland,IN-NL,2017-03,11.0,1620.0,1631.0,0.7,0.0,4434.0,73.1,18614.0,110761.0
Odisha,IN-OR,2017-03,2635.0,105066.0,107701.0,2.4,4.0,197863.0,64.8,2057728.0,8904965.0
Puducherry,IN-PY,2017-03,17.0,7524.0,7541.0,0.2,0.0,3135.0,29.4,20080.0,757268.0
Punjab,IN-PB,2017-03,1222.0,43818.0,45040.0,2.7,0.0,190690.0,80.9,1313250.0,30265553.0
Rajasthan,IN-RJ,2017-03,3837.0,275380.0,279217.0,1.4,9.0,530904.0,65.5,4561629.0,46839008.0
Sikkim,IN-SK,2017-03,21.0,94.0,115.0,18.3,0.0,1044.0,90.1,80889.0,332141.0
Tamil Nadu,IN-TN,2017-03,744.0,273139.0,273883.0,0.3,7.0,385327.0,58.5,750493.0,6740817.0
Telangana,IN-TG,2017-03,5021.0,124521.0,129542.0,3.9,9.0,41795.0,24.4,811073.0,4567390.0
Tripura,IN-TR,2017-03,43.0,2544.0,2587.0,1.7,0.0,2203.0,46.0,143803.0,345451.0
Uttar Pradesh,IN-UP,2017-03,7787.0,286845.0,294632.0,2.6,3.0,1210816.0,80.4,4497727.0,43538791.0
Uttarakhand,IN-UT,2017-03,690.0,17107.0,17797.0,3.9,0.0,72979.0,80.4,402736.0,4027566.0
West Bengal,IN-WB,2017-03,5206.0,197869.0,203075.0,2.6,1.0,436914.0,68.3,10398342.0,28950238.0
All India,IN,2018-03,55553.0,3559030.0,3614583.0,1.5,68.0,3832921.0,62.4,43324515.0,331671138.0
A & N Islands,IN-AN,2018-03,0.0,692.0,692.0,0.0,0.0,376.0,44.8,16482.0,163457.0
Andhra Pradesh,IN-AP,2018-03,1138.0,208890.0,210028.0,0.5,2.0,108031.0,36.8,2239311.0,20614395.0
Arunachal Pradesh,IN-AR,2018-03,1.0,819.0,820.0,0.1,0.0,2286.0,80.8,33301.0,39252.0
Assam,IN-AS,2018-03,2648.0,35070.0,37718.0,7.0,2.0,78193.0,78.2,2005610.0,4512489.0
Bihar,IN-BR,2018-03,2578.0,474128.0,476706.0,0.5,5.0,291031.0,49.2,909942.0,6006930.0
Chandigarh,IN-CH,2018-03,37.0,2270.0,2307.0,1.6,0.0,2705.0,70.5,21549.0,1374910.0
Chhattisgarh,IN-CT,2018-03,7195.0,54524.0,61719.0,11.7,0.0,95494.0,69.0,799847.0,4143246.0
Dadra & Nagar Haveli,IN-DN,2018-03,7.0,1256.0,1263.0,0.6,0.0,345.0,39.0,10168.0,227752.0
Daman & Diu,IN-DD,2018-03,1.0,283.0,284.0,0.4,0.0,142.0,42.6,8811.0,208086.0
Delhi,IN-DL,2018-03,491.0,16513.0,17004.0,2.9,0.0,33500.0,82.2,189107.0,5725692.0
Goa,IN-GA,2018-03,12.0,2435.0,2447.0,0.5,0.0,851.0,30.3,17892.0,361988.0
Gujarat,IN-GJ,2018-03,2212.0,328700.0,330912.0,0.7,4.0,592466.0,66.3,2660991.0,28870602.0
Haryana,IN-HR,2018-03,1691.0,62396.0,64087.0,2.6,0.0,133472.0,77.1,921923.0,19870814.0
Himachal Pradesh,IN-HP,2018-03,888.0,12326.0,13214.0,6.7,0.0,15059.0,60.2,358196.0,5249418.0
Jammu & Kashmir,IN-JK,2018-03,357.0,12405.0,12762.0,2.8,1.0,17235.0,66.1,437479.0,2948509.0
Jharkhand,IN-JH,2018-03,1585.0,99953.0,101538.0,1.6,3.0,76565.0,56.0,784102.0,3502656.0
Karnataka,IN-KA,2018-03,898.0,306217.0,307115.0,0.3,4.0,139224.0,41.2,1883638.0,15910087.0
Kerala,IN-KL,2018-03,730.0,62595.0,63325.0,1.2,0.0,36657.0,39.1,69526.0,3874191.0
Lakshadweep,IN-LD,2018-03,0.0,57.0,57.0,0.0,0.0,9.0,13.6,1731.0,22859.0
Madhya Pradesh,IN-MP,2018-03,3635.0,303588.0,307223.0,1.2,5.0,221862.0,58.9,3725079.0,18342817.0
Maharashtra,IN-MH,2018-03,11592.0,409917.0,421509.0,2.8,14.0,292415.0,49.9,3151899.0,22045706.0
Manipur,IN-MN,2018-03,73.0,669.0,742.0,9.8,0.0,3528.0,85.5,45249.0,171011.0
Meghalaya,IN-ML,2018-03,9.0,2581.0,2590.0,0.3,0.0,3294.0,63.3,108853.0,330470.0
Mizoram,IN-MZ,2018-03,1.0,1336.0,1337.0,0.1,0.0,1651.0,59.5,88589.0,162937.0
Nagaland,IN-NL,2018-03,8.0,1551.0,1559.0,0.5,0.0,4240.0,74.2,19114.0,116099.0
Odisha,IN-OR,2018-03,1200.0,86213.0,87413.0,1.4,4.0,82286.0,65.7,1957797.0,9143381.0
Puducherry,IN-PY,2018-03,5.0,7430.0,7435.0,0.1,1.0,1270.0,30.6,17960.0,790897.0
Punjab,IN-PB,2018-03,1151.0,35681.0,36832.0,3.1,0.0,122114.0,82.1,1247416.0,27213991.0
Rajasthan,IN-RJ,2018-03,2492.0,244961.0,247453.0,1.0,3.0,207695.0,61.8,4211739.0,42702384.0
Sikkim,IN-SK,2018-03,5.0,119.0,124.0,4.0,0.0,573.0,90.5,81716.0,330289.0
Tamil Nadu,IN-TN,2018-03,594.0,258624.0,259218.0,0.2,10.0,211379.0,59.5,584489.0,6432457.0
Telangana,IN-TG,2018-03,3582.0,80431.0,84013.0,4.3,6.0,28318.0,31.1,585734.0,3733885.0
Tripura,IN-TR,2018-03,12.0,2629.0,2641.0,0.5,0.0,730.0,40.3,142218.0,322552.0
Uttar Pradesh,IN-UP,2018-03,3886.0,258182.0,262068.0,1.5,1.0,748474.0,80.1,3479192.0,38800258.0
Uttarakhand,IN-UT,2018-03,362.0,12529.0,12891.0,2.8,0.0,46000.0,81.8,381315.0,4510953.0
West Bengal,IN-WB,2018-03,4477.0,171060.0,175537.0,2.6,3.0,233451.0,77.3,10126550.0,32893718.0
All India,IN,2019-03,49582.0,3492852.0,3542434.0,1.4,133.0,3285516.0,61.5,40856742.0,330469805.0
A & N Islands,IN-AN,2019-03,0.0,745.0,745.0,0.0,0.0,251.0,48.3,15156.0,144796.0
Andhra Pradesh,IN-AP,2019-03,1686.0,204413.0,206099.0,0.8,1.0,74437.0,29.3,2397275.0,24279359.0
Arunachal Pradesh,IN-AR,2019-03,4.0,850.0,854.0,0.5,0.0,2011.0,76.0,21284.0,46822.0
Assam,IN-AS,2019-03,1663.0,34129.0,35792.0,4.6,1.0,70817.0,79.1,1726294.0,4590903.0
Bihar,IN-BR,2019-03,5279.0,414131.0,419410.0,1.3,3.0,240701.0,50.2,1016511.0,8882374.0
Chandigarh,IN-CH,2019-03,39.0,2298.0,2337.0,1.7,0.0,2613.0,71.5,24749.0,1556595.0
Chhattisgarh,IN-CT,2019-03,5361.0,61342.0,66703.0,8.0,0.0,77744.0,67.1,751548.0,3922450.0
Dadra & Nagar Haveli,IN-DN,2019-03,4.0,1135.0,1139.0,0.4,0.0,309.0,31.9,12908.0,442615.0
Daman & Diu,IN-DD,2019-03,4.0,312.0,316.0,1.3,0.0,215.0,60.6,9698.0,207511.0
Delhi,IN-DL,2019-03,499.0,17032.0,17531.0,2.8,1.0,30584.0,81.1,173691.0,5625277.0
Goa,IN-GA,2019-03,6.0,2363.0,2369.0,0.3,0.0,790.0,30.1,14910.0,387601.0
Gujarat,IN-GJ,2019-03,1802.0,320863.0,322665.0,0.6,1.0,527779.0,64.9,2491713.0,25871476.0
Haryana,IN-HR,2019-03,1800.0,58946.0,60746.0,3.0,0.0,120015.0,77.3,886408.0,18947264.0
Himachal Pradesh,IN-HP,2019-03,597.0,11340.0,11937.0,5.0,0.0,11689.0,56.6,322306.0,4500480.0
Jammu & Kashmir,IN-JK,2019-03,305.0,10684.0,10989.0,2.8,0.0,13006.0,63.5,429393.0,2811798.0
Jharkhand,IN-JH,2019-03,1482.0,94848.0,96330.0,1.5,92.0,73646.0,60.8,1002479.0,5760422.0
Karnataka,IN-KA,2019-03,770.0,279996.0,280766.0,0.3,10.0,126990.0,42.7,1869777.0,16470048.0
Kerala,IN-KL,2019-03,736.0,74692.0,75428.0,1.0,0.0,37083.0,35.3,43366.0,2299794.0
Lakshadweep,IN-LD,2019-03,1.0,50.0,51.0,2.0,0.0,2.0,5.6,2100.0,27463.0
Madhya Pradesh,IN-MP,2019-03,2917.0,327188.0,330105.0,0.9,1.0,188432.0,56.0,4060055.0,21380401.0
Maharashtra,IN-MH,2019-03,8698.0,390936.0,399634.0,2.2,5.0,289518.0,51.1,3183029.0,21815358.0
Manipur,IN-MN,2019-03,84.0,968.0,1052.0,8.0,0.0,3273.0,80.5,56791.0,143865.0
Meghalaya,IN-ML,2019-03,5.0,2372.0,2377.0,0.2,0.0,2632.0,57.5,92133.0,315988.0
Mizoram,IN-MZ,2019-03,0.0,1530.0,1530.0,0.0,0.0,1473.0,51.9,74374.0,171362.0
Nagaland,IN-NL,2019-03,4.0,1206.0,1210.0,0.3,0.0,3477.0,76.8,17010.0,112766.0
Odisha,IN-OR,2019-03,1417.0,80811.0,82228.0,1.7,2.0,67301.0,66.7,1797059.0,9085281.0
Puducherry,IN-PY,2019-03,12.0,7155.0,7167.0,0.2,0.0,980.0,26.0,18817.0,908190.0
Punjab,IN-PB,2019-03,1593.0,31370.0,32963.0,4.8,1.0,100883.0,81.3,1137369.0,25321444.0
Rajasthan,IN-RJ,2019-03,3103.0,256974.0,260077.0,1.2,5.0,245902.0,65.2,3757888.0,37834813.0
Sikkim,IN-SK,2019-03,4.0,59.0,63.0,6.3,0.0,391.0,92.4,82060.0,296977.0
Tamil Nadu,IN-TN,2019-03,566.0,258292.0,258858.0,0.2,5.0,137227.0,56.8,455118.0,7217305.0
Telangana,IN-TG,2019-03,2335.0,75957.0,78292.0,3.0,1.0,35381.0,36.4,608162.0,3833668.0
Tripura,IN-TR,2019-03,59.0,2470.0,2529.0,2.3,0.0,490.0,27.3,125639.0,232766.0
Uttar Pradesh,IN-UP,2019-03,3905.0,280798.0,284703.0,1.4,1.0,532563.0,74.8,3687426.0,38181813.0
Uttarakhand,IN-UT,2019-03,338.0,12479.0,12817.0,2.6,1.0,39954.0,80.3,345077.0,4013191.0
West Bengal,IN-WB,2019-03,2504.0,172118.0,174622.0,1.4,2.0,224957.0,77.9,8147169.0,32829569.0
All India,IN,2020-03,54817.0,3402966.0,3457783.0,1.6,46.0,3201756.0,62.8,42371629.0,321731260.0
A & N Islands,IN-AN,2020-03,0.0,429.0,429.0,0.0,0.0,254.0,62.0,15409.0,144252.0
Andhra Pradesh,IN-AP,2020-03,1299.0,167323.0,168622.0,0.8,0.0,86726.0,37.5,2322215.0,23285453.0
Arunachal Pradesh,IN-AR,2020-03,2.0,1108.0,1110.0,0.2,0.0,2162.0,72.3,31375.0,88452.0
Assam,IN-AS,2020-03,2262.0,32653.0,34915.0,6.5,4.0,64160.0,83.2,2061281.0,5215075.0
Bihar,IN-BR,2020-03,3784.0,405353.0,409137.0,0.9,4.0,197024.0,48.3,1126502.0,11146117.0
Chandigarh,IN-CH,2020-03,46.0,2298.0,2344.0,2.0,0.0,2089.0,68.6,21332.0,1464271.0
Chhattisgarh,IN-CT,2020-03,6775.0,59991.0,66766.0,10.1,1.0,88987.0,70.2,867846.0,4743792.0
Dadra & Nagar Haveli,IN-DN,2020-03,5.0,938.0,943.0,0.5,0.0,241.0,27.2,24045.0,813913.0
Daman & Diu,IN-DD,2020-03,2.0,264.0,266.0,0.8,0.0,160.0,48.4,9133.0,136888.0
Delhi,IN-DL,2020-03,740.0,17652.0,18392.0,4.0,0.0,32242.0,83.7,162564.0,5387988.0
Goa,IN-GA,2020-03,5.0,2211.0,2216.0,0.2,0.0,651.0,28.5,16920.0,395900.0
Gujarat,IN-GJ,2020-03,1476.0,304436.0,305912.0,0.5,1.0,523415.0,66.4,2394395.0,25360190.0
Haryana,IN-HR,2020-03,2361.0,57208.0,59569.0,4.0,0.0,117080.0,77.8,886295.0,16375095.0
Himachal Pradesh,IN-HP,2020-03,825.0,10931.0,11756.0,7.0,0.0,9812.0,53.6,282195.0,3805636.0
Jammu & Kashmir,IN-JK,2020-03,334.0,9537.0,9871.0,3.4,0.0,13311.0,64.3,458562.0,2917806.0
Jharkhand,IN-JH,2020-03,1352.0,79150.0,80502.0,1.7,0.0,66852.0,65.3,1620637.0,8757180.0
Karnataka,IN-KA,2020-03,787.0,294939.0,295726.0,0.3,7.0,123764.0,44.2,1862030.0,16384989.0
Kerala,IN-KL,2020-03,658.0,70364.0,71022.0,0.9,0.0,32866.0,34.0,54579.0,1896821.0
Lakshadweep,IN-LD,2020-03,0.0,77.0,77.0,0.0,0.0,7.0,8.3,1589.0,29631.0
Madhya Pradesh,IN-MP,2020-03,4491.0,340760.0,345251.0,1.3,1.0,181300.0,54.6,4522535.0,24518597.0
Maharashtra,IN-MH,2020-03,8943.0,362799.0,371742.0,2.4,13.0,261046.0,51.6,3017971.0,17059963.0
Manipur,IN-MN,2020-03,16.0,567.0,583.0,2.7,0.0,3378.0,87.6,47336.0,146158.0
Meghalaya,IN-ML,2020-03,4.0,2620.0,2624.0,0.2,0.0,2562.0,55.6,96493.0,320655.0
Mizoram,IN-MZ,2020-03,0.0,1564.0,1564.0,0.0,5.0,1554.0,55.7,84677.0,139830.0
Nagaland,IN-NL,2020-03,3.0,1349.0,1352.0,0.2,0.0,3846.0,75.7,18421.0,110844.0
Odisha,IN-OR,2020-03,1459.0,78193.0,79652.0,1.8,1.0,56958.0,69.0,1703242.0,9118007.0
Puducherry,IN-PY,2020-03,10.0,7587.0,7597.0,0.1,0.0,770.0,31.4,16442.0,1046301.0
Punjab,IN-PB,2020-03,1368.0,29381.0,30749.0,4.4,0.0,83699.0,79.9,1106437.0,22539919.0
Rajasthan,IN-RJ,2020-03,2617.0,250838.0,253455.0,1.0,1.0,244704.0,66.9,3729245.0,36339800.0
Sikkim,IN-SK,2020-03,0.0,77.0,77.0,0.0,0.0,296.0,89.6,77502.0,267474.0
Tamil Nadu,IN-TN,2020-03,956.0,257123.0,258079.0,0.4,3.0,82198.0,56.4,385346.0,5707744.0
Telangana,IN-TG,2020-03,3422.0,75895.0,79317.0,4.3,0.0,43121.0,38.9,715882.0,4313339.0
Tripura,IN-TR,2020-03,40.0,2961.0,3001.0,1.3,0.0,494.0,21.8,119103.0,166349.0
Uttar Pradesh,IN-UP,2020-03,5700.0,303507.0,309207.0,1.8,5.0,655389.0,76.7,4644343.0,40527698.0
Uttarakhand,IN-UT,2020-03,244.0,10057.0,10301.0,2.4,0.0,30524.0,79.2,285135.0,2447699.0
West Bengal,IN-WB,2020-03,2831.0,160826.0,163657.0,1.7,0.0,188114.0,77.7,7582615.0,28611434.0
