"Units","ScalingFactors","observationPeriods","MinDate","MeasurementMethods","NumPlaces","StatVar"
"[Percent]","[]","[P3M]","2020-03","[ChainLinkedVolume]","46","Adjusted_GrowthRate_GrossDomesticProduct_EconomicActivity_QuarterOnChange"
"[Percent]","[]","[P3M]","2020-03","[ChainLinkedVolume]","46","Adjusted_GrowthRate_GrossDomesticProduct_EconomicActivity_YearOnChange"
