speciesID	reactionID
M_m02039c	R_HMR_8502
M_m02553c	R_HMR_8502
M_m02040c	R_HMR_8503
M_m02329c	R_HMR_8503
M_m02552c	R_HMR_8503
M_m01715c	R_HMR_8504
M_m02040c	R_HMR_8504
M_m02552c	R_HMR_8504
M_m02040m	R_HMR_8506
M_m02329m	R_HMR_8506
M_m02552m	R_HMR_8506
M_m02552c	R_HMR_8507
M_m02771c	R_HMR_8507
M_m02552c	R_HMR_8508
M_m02771c	R_HMR_8508
M_m01715c	R_HMR_8509
M_m02039c	R_HMR_8509
M_m02555c	R_HMR_8509
M_m00168m	R_HMR_8511
M_m02040m	R_HMR_8511
M_m01716c	R_HMR_8512
M_m02552c	R_HMR_8512
M_m01824m	R_HMR_8514
M_m02403c	R_HMR_8514
M_m01690c	R_HMR_8516
M_m01939c	R_HMR_8517
M_m02039m	R_HMR_4280
M_m02553m	R_HMR_4280
M_m02819m	R_HMR_4280
M_m01371c	R_HMR_0153
M_m01597c	R_HMR_0153
M_m02772c	R_HMR_0153
M_m01802m	R_HMR_3212
M_m02774m	R_HMR_3212
M_m01334m	R_HMR_3797
M_m02759m	R_HMR_3797
M_m02774m	R_HMR_3797
M_m00671m	R_HMR_3800
M_m01597m	R_HMR_3800
M_m02552m	R_HMR_3800
M_m02039c	R_HMR_4105
M_m02444c	R_HMR_4105
M_m02039m	R_HMR_4106
M_m02444m	R_HMR_4106
M_m02039p	R_HMR_4107
M_m02444p	R_HMR_4107
M_m00900m	R_HMR_4282
M_m01597m	R_HMR_4282
M_m02552m	R_HMR_4282
M_m01334c	R_HMR_4331
M_m02039c	R_HMR_4331
M_m02774c	R_HMR_4331
M_m01371c	R_HMR_4459
M_m02039c	R_HMR_4459
M_m02772c	R_HMR_4459
M_m01371m	R_HMR_4460
M_m02039m	R_HMR_4460
M_m02772m	R_HMR_4460
M_m01253m	R_HMR_4464
M_m02039m	R_HMR_4464
M_m02142m	R_HMR_4497
M_m02552m	R_HMR_4497
M_m00799m	R_HMR_4741
M_m02040m	R_HMR_4741
M_m02040c	R_HMR_8078
M_m02633c	R_HMR_8078
M_m02774c	R_HMR_8078
M_m02039m	R_HMR_9803
M_m02444m	R_HMR_9803
M_m02555m	R_HMR_9803
M_m00799m	R_HMR_9804
M_m02554m	R_HMR_9804
M_m01306c	R_HMR_0718
M_m01803c	R_HMR_0718
M_m01306c	R_HMR_0719
M_m02039c	R_HMR_0719
M_m02553c	R_HMR_0719
M_m01255c	R_HMR_1434
M_m01597c	R_HMR_1434
M_m01253c	R_HMR_1436
M_m01371c	R_HMR_1436
M_m01597c	R_HMR_1436
M_m01412m	R_HMR_3163
M_m01802m	R_HMR_3163
M_m00157m	R_HMR_4461
M_m02552m	R_HMR_4461
M_m01255p	R_HMR_4604
M_m01261p	R_HMR_4604
M_m02040p	R_HMR_4604
M_m00648c	R_HMR_5351
M_m02552c	R_HMR_5351
M_m00159m	R_HMR_7709
M_m01371c	R_HMR_4052
M_m02845c	R_HMR_4052
M_m01968r	R_HMR_4304
M_m02554r	R_HMR_4304
M_m01961c	R_HMR_4306
M_m02039c	R_HMR_4306
M_m02555c	R_HMR_4306
M_m01285c	R_HMR_4350
M_m02039c	R_HMR_4350
M_m02845c	R_HMR_4350
M_m02845r	R_HMR_4351
M_m02845c	R_HMR_4352
M_m02844c	R_HMR_4354
M_m00640c	R_HMR_4398
M_m01761c	R_HMR_4404
M_m01785c	R_HMR_4404
M_m01169r	R_HMR_4473
M_m02554r	R_HMR_4473
M_m01169c	R_HMR_4474
M_m02554c	R_HMR_4474
M_m01169c	R_HMR_4476
M_m01285c	R_HMR_4476
M_m02039c	R_HMR_4476
M_m01761c	R_HMR_4477
M_m01761c	R_HMR_4501
M_m02845c	R_HMR_4501
M_m01939c	R_HMR_4565
M_m02884c	R_HMR_4565
M_m01285c	R_HMR_4567
M_m02039c	R_HMR_4567
M_m02883c	R_HMR_4567
M_m02039c	R_HMR_4568
