id	name	kind	sboTerm
group100	Pantothenate and CoA biosynthesis	partonomy	SBO:0000633
group101	Pentose and glucuronate interconversions	partonomy	SBO:0000633
group102	Pentose phosphate pathway	partonomy	SBO:0000633
group103	Peptide metabolism	partonomy	SBO:0000633
group104	Phenylalanine metabolism	partonomy	SBO:0000633
group105	Phenylalanine, tyrosine and tryptophan biosynthesis	partonomy	SBO:0000633
group106	Phosphatidylinositol phosphate metabolism	partonomy	SBO:0000633
group107	Pool reactions	partonomy	SBO:0000633
group108	Porphyrin metabolism	partonomy	SBO:0000633
group109	Propanoate metabolism	partonomy	SBO:0000633
group110	Prostaglandin biosynthesis	partonomy	SBO:0000633
group111	Protein assembly	partonomy	SBO:0000633
group112	Protein degradation	partonomy	SBO:0000633
group113	Protein modification	partonomy	SBO:0000633
group114	Purine metabolism	partonomy	SBO:0000633
group115	Pyrimidine metabolism	partonomy	SBO:0000633
group116	Pyruvate metabolism	partonomy	SBO:0000633
group117	ROS detoxification	partonomy	SBO:0000633
group118	Retinol metabolism	partonomy	SBO:0000633
group119	Riboflavin metabolism	partonomy	SBO:0000633
group120	Serotonin and melatonin biosynthesis	partonomy	SBO:0000633
group121	Sphingolipid metabolism	partonomy	SBO:0000633
group122	Starch and sucrose metabolism	partonomy	SBO:0000633
group123	Steroid metabolism	partonomy	SBO:0000633
group124	Sulfur metabolism	partonomy	SBO:0000633
group125	Terpenoid backbone biosynthesis	partonomy	SBO:0000633
group126	Thiamine metabolism	partonomy	SBO:0000633
group127	Transport reactions	partonomy	SBO:0000633
group128	Triacylglycerol synthesis	partonomy	SBO:0000633
group129	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	partonomy	SBO:0000633
group130	Tryptophan metabolism	partonomy	SBO:0000633
group131	Tyrosine metabolism	partonomy	SBO:0000633
group132	Ubiquinone synthesis	partonomy	SBO:0000633
group133	Urea cycle	partonomy	SBO:0000633
group134	Valine, leucine, and isoleucine metabolism	partonomy	SBO:0000633
group135	Vitamin A metabolism	partonomy	SBO:0000633
group136	Vitamin B12 metabolism	partonomy	SBO:0000633
group137	Vitamin B2 metabolism	partonomy	SBO:0000633
group138	Vitamin B6 metabolism	partonomy	SBO:0000633
group139	Vitamin C metabolism	partonomy	SBO:0000633
group140	Vitamin D metabolism	partonomy	SBO:0000633
group141	Vitamin E metabolism	partonomy	SBO:0000633
group142	Xenobiotics metabolism	partonomy	SBO:0000633
