groupID	reactionID
group1	R_HMR_0154
group1	R_HMR_0189
group1	R_HMR_0193
group1	R_HMR_0197
group1	R_HMR_0201
group1	R_HMR_0206
group1	R_HMR_0210
group1	R_HMR_0214
group1	R_HMR_0223
group1	R_HMR_0230
group1	R_HMR_0234
group1	R_HMR_0238
group1	R_HMR_0242
group1	R_HMR_0246
group1	R_HMR_0250
group1	R_HMR_0256
group1	R_HMR_0260
group1	R_HMR_0264
group1	R_HMR_0268
group1	R_HMR_0272
group1	R_HMR_0276
group1	R_HMR_0280
group1	R_HMR_0284
group1	R_HMR_0290
group1	R_HMR_0294
group1	R_HMR_0298
group1	R_HMR_0302
group1	R_HMR_0306
group1	R_HMR_0310
group1	R_HMR_0314
group1	R_HMR_0320
group1	R_HMR_0324
group1	R_HMR_0328
group1	R_HMR_0332
group1	R_HMR_0338
group1	R_HMR_0342
group1	R_HMR_0346
group1	R_HMR_0350
group1	R_HMR_0354
group1	R_HMR_0358
group1	R_HMR_0362
group1	R_HMR_0366
group1	R_HMR_0370
group1	R_HMR_0374
group1	R_HMR_0378
group1	R_HMR_0382
group1	R_HMR_0386
group1	R_HMR_0390
group1	R_HMR_0394
group1	R_HMR_0398
group1	R_HMR_0402
group1	R_HMR_0406
group1	R_HMR_0410
group1	R_HMR_0414
group1	R_HMR_0418
group1	R_HMR_0422
group1	R_HMR_0426
group1	R_HMR_0430
group1	R_HMR_0434
group1	R_HMR_0438
group1	R_HMR_3009
group1	R_HMR_3475
group1	R_HMR_3476
group1	R_HMR_3477
group2	R_HMR_0001
group2	R_HMR_0002
group2	R_HMR_0003
group2	R_HMR_0005
group2	R_HMR_0449
group2	R_HMR_0604
group2	R_HMR_0605
group2	R_HMR_0665
group2	R_HMR_0667
group2	R_HMR_0668
group2	R_HMR_0669
group2	R_HMR_0670
group2	R_HMR_0671
group2	R_HMR_0672
group2	R_HMR_0679
group2	R_HMR_0680
group2	R_HMR_0681
group2	R_HMR_0682
group2	R_HMR_0683
group2	R_HMR_0684
group2	R_HMR_7588
group3	R_4OHBUTm
group3	R_HMR_3802
group3	R_HMR_3804
group3	R_HMR_3811
group3	R_HMR_3813
group3	R_HMR_3822
group3	R_HMR_3827
group3	R_HMR_3829
group3	R_HMR_3831
group3	R_HMR_3862
group3	R_HMR_3865
group3	R_HMR_3870
group3	R_HMR_3873
group3	R_HMR_3890
group3	R_HMR_3892
group3	R_HMR_3899
group3	R_HMR_3903
group3	R_HMR_4109
group3	R_HMR_4114
group3	R_HMR_4115
group3	R_HMR_4118
group3	R_HMR_4172
group3	R_HMR_4196
group3	R_HMR_4197
group3	R_HMR_4285
group3	R_HMR_4287
group3	R_HMR_4690
group3	R_HMR_4693
group3	R_HMR_6780
group3	R_HMR_6968
group3	R_HMR_6969
group3	R_HMR_6970
group3	R_HMR_6971
group3	R_HMR_6972
group3	R_HMR_7641
group3	R_HMR_7642
group3	R_HMR_8626
group3	R_HMR_8628
group3	R_HMR_8654
group3	R_HMR_9802
group4	R_ECGISOr
group4	R_PECGONCOATr
group5	R_HMR_3986
group5	R_HMR_3988
group5	R_HMR_4124
group5	R_HMR_4158
group5	R_HMR_4159
group5	R_HMR_4299
group5	R_HMR_4300
group5	R_HMR_4494
group5	R_HMR_4524
group5	R_HMR_4525
group5	R_HMR_4526
group5	R_HMR_4527
group5	R_HMR_4528
group5	R_HMR_4529
group5	R_HMR_4530
group5	R_HMR_4531
group5	R_HMR_4532
group5	R_HMR_4533
group5	R_HMR_4534
group5	R_HMR_4536
group5	R_HMR_4628
group5	R_HMR_4629
group5	R_HMR_4631
group5	R_HMR_7696
group5	R_HMR_7697
group5	R_HMR_7698
group5	R_HMR_8366
group5	R_HMR_8367
group5	R_HMR_8368
group5	R_HMR_8371
group5	R_HMR_8372
group5	R_HMR_8373
group5	R_HMR_8375
group5	R_HMR_8376
group5	R_HMR_8377
group5	R_HMR_8672
group5	R_HMR_8674
group5	R_HMR_8675
group6	R_HMR_5130
group6	R_HMR_5131
group6	R_HMR_5132
group6	R_HMR_5133
group6	R_HMR_5134
group6	R_HMR_5135
group6	R_HMR_5136
group6	R_HMR_5137
group6	R_HMR_5138
group6	R_HMR_5139
group6	R_HMR_5140
group6	R_HMR_5141
group6	R_HMR_5142
group6	R_HMR_5143
group6	R_HMR_5144
group6	R_HMR_5145
group6	R_HMR_5146
group6	R_HMR_5147
group6	R_HMR_5148
group6	R_HMR_5149
group6	R_HMR_5150
group7	R_HMR_1944
group7	R_HMR_1945
group7	R_HMR_1952
group7	R_HMR_1953
group7	R_HMR_1958
group7	R_HMR_1959
group7	R_HMR_1960
group7	R_HMR_1962
group7	R_HMR_1963
group7	R_HMR_1967
group7	R_HMR_1968
group7	R_HMR_1969
group7	R_HMR_1970
group7	R_HMR_1971
group7	R_HMR_1973
group7	R_HMR_1974
group7	R_HMR_1976
group7	R_HMR_1977
group7	R_HMR_1978
group7	R_HMR_1982
