id	reversible	fast	lowerFluxBound	upperFluxBound	ec	kegg	bigg	metanetx	reactome	tcdb
R_HMR_3905	false	false	FB2N0	FB3N1000	1.1.1.1; 1.1.1.71	R00754	ALCD2x	MNXR95725	NA	NA
R_HMR_3907	false	false	FB2N0	FB3N1000	1.1.1.2	R00746	ALCD2y	MNXR95726	NA	NA
R_HMR_4097	false	false	FB2N0	FB3N1000	6.2.1.1	R00235	ACS	MNXR95413	NA	NA
R_HMR_4099	false	false	FB2N0	FB3N1000	6.2.1.1	R00235	ACSm	MNXR95413	NA	NA
R_HMR_4108	false	false	FB2N0	FB3N1000	6.2.1.1	R00236	NA	MNXR105304	NA	NA
R_HMR_4133	false	false	FB2N0	FB3N1000	6.2.1.1	R00316	NA	MNXR105307	NA	NA
R_HMR_4137	false	false	FB2N0	FB3N1000	1.2.4.1; 2.3.1.12; 1.8.1.4; 1.2.1.51	R00209	PDHm	MNXR102425	NA	NA
R_HMR_4281	true	false	FB1N1000	FB3N1000	1.1.1.27	R00703	NA	MNXR101040	NA	NA
R_HMR_4388	true	false	FB1N1000	FB3N1000	1.1.1.27	R00703	LDH_L	MNXR101040	NA	NA
R_HMR_4283	false	false	FB2N0	FB3N1000	1.2.1.5	R00711	NA	MNXR95750	NA	NA
R_HMR_8357	false	false	FB2N0	FB3N1000	1.2.1.3	R00710	ALDD2xm	MNXR106570	NA	NA
R_HMR_4379	false	false	FB2N0	FB3N1000	2.7.1.11	R00756	PFK	MNXR102507	NA	NA
R_HMR_4301	false	false	FB2N0	FB3N1000	2.7.1.11	R00769	NA	MNXR105312	NA	NA
R_HMR_4355	false	false	FB2N0	FB3N1000	4.1.2.13	R01829	NA	MNXR105337	NA	NA
R_HMR_4358	false	false	FB2N0	FB3N1000	2.7.1.40	R00200	PYK	MNXR103371	NA	NA
R_HMR_4360	false	false	FB2N0	FB3N1000	1.2.1.49	R00205	NA	MNXR95787	NA	NA
R_HMR_4363	true	false	FB1N1000	FB3N1000	4.2.1.11	R00658	ENO	MNXR97932	NA	NA
R_HMR_4365	true	false	FB1N1000	FB3N1000	5.4.2.11	R01518	PGM	MNXR102547	NA	NA
R_HMR_4368	true	false	FB1N1000	FB3N1000	2.7.2.3	R01512	PGK	MNXR102538	NA	NA
R_HMR_4370	false	false	FB2N0	FB3N1000	3.6.1.7	R01515	ACYP	MNXR95410	NA	NA
R_HMR_4371	false	false	FB2N0	FB3N1000	5.4.2.1; 5.4.2.4	R01662	NA	MNXR107112	NA	NA
R_HMR_4372	false	false	FB2N0	FB3N1000	3.1.3.13	R01516	NA	MNXR107035	NA	NA
R_HMR_4373	true	false	FB1N1000	FB3N1000	1.2.1.12	R01061	GAPD	MNXR100040	NA	NA
R_HMR_4375	true	false	FB1N1000	FB3N1000	4.1.2.13	R01068	FBA	MNXR99459	NA	NA
R_HMR_4377	false	false	FB2N0	FB3N1000	3.1.3.11	R00762	FBP	MNXR106670	NA	NA
R_HMR_4381	true	false	FB1N1000	FB3N1000	5.3.1.9	R00771	PGI	MNXR102535	NA	NA
R_HMR_4391	true	false	FB1N1000	FB3N1000	5.3.1.1	R01015	TPI	MNXR104918	NA	NA
R_HMR_4394	false	false	FB2N0	FB3N1000	2.7.1.1; 2.7.1.2; 2.7.1.147	R00299	HEX1	MNXR100612	NA	NA
R_HMR_4396	true	false	FB1N1000	FB3N1000	5.4.2.2; 5.4.2.5; 5.4.2.6; 5.2.2.2	R08639	PGMT	MNXR102528	NA	NA
R_HMR_4521	false	false	FB2N0	FB3N1000	3.1.3.9	R00303	G6PPer	MNXR99912	NA	NA
R_HMR_6410	false	false	FB2N0	FB3N1000	1.2.4.1	R01699	NA	MNXR102427	NA	NA
R_HMR_6412	false	false	FB2N0	FB3N1000	2.3.1.12	R02569	NA	MNXR102430	NA	NA
R_HMR_7745	true	false	FB1N1000	FB3N1000	5.1.3.3	R01602	NA	MNXR107082	NA	NA
R_HMR_7746	false	false	FB2N0	FB3N1000	2.7.1.1; 2.7.1.2	R01600	NA	MNXR107081	NA	NA
R_HMR_7747	false	false	FB2N0	FB3N1000	2.7.1.147	R09086	NA	MNXR112530	NA	NA
R_HMR_7748	true	false	FB1N1000	FB3N1000	5.3.1.9	R02739	NA	MNXR99911	NA	NA
R_HMR_7749	true	false	FB1N1000	FB3N1000	5.3.1.9	R03321	NA	MNXR99910	NA	NA
R_HMR_8360	false	false	FB2N0	FB3N1000	1.11.1.6	NA	CAt7r	MNXR96461	NA	NA
R_HMR_8652	false	false	FB2N0	FB3N1000	3.1.3.9	NA	CBPS	MNXR96485	NA	NA
R_HMR_8757	false	false	FB2N0	FB3N1000	NA	NA	ETOHtx	MNXR97980	NA	NA
R_HMR_3989	false	false	FB2N0	FB3N1000	3.2.1.20	R00028	MALTe	MNXR101350	NA	NA
R_HMR_4122	false	false	FB2N0	FB3N1000	1.1.1.22	R00286	UDPGD	MNXR105063	NA	NA
R_HMR_4837	false	false	FB2N0	FB3N1000	3.2.1.28	R00010	TREHe	MNXR95163	NA	NA
R_HMR_5395	false	false	FB2N0	FB3N1000	2.4.1.186	R03681	NA	NA	NA	NA
R_HMR_5396	false	false	FB2N0	FB3N1000	2.4.1.11	NA	GLGNS1	MNXR100244	NA	NA
R_HMR_9727	false	false	FB2N0	FB3N1000	2.4.1.11	NA	NA	NA	NA	NA
R_HMR_5397	false	false	FB2N0	FB3N1000	2.4.1.18	NA	GLBRAN	MNXR100154	NA	NA
R_HMR_5398	false	false	FB2N0	FB3N1000	2.4.1.1	NA	GLPASE1	MNXR100265	NA	NA
R_HMR_5399	false	false	FB2N0	FB3N1000	2.4.1.25	NA	NA	MNXR105467	NA	NA
R_HMR_5400	false	false	FB2N0	FB3N1000	3.2.1.33	NA	NA	MNXR105468	NA	NA
R_HMR_5401	false	false	FB2N0	FB3N1000	2.4.1.1	NA	NA	NA	NA	NA
R_HMR_8568	false	false	FB2N0	FB3N1000	3.2.1.1	NA	NA	MNXR103496	NA	NA
R_HMR_8569	false	false	FB2N0	FB3N1000	3.2.1.1	NA	NA	MNXR103497	NA	NA
R_HMR_8570	false	false	FB2N0	FB3N1000	3.2.1.1	NA	NA	NA	NA	NA
R_HMR_8571	false	false	FB2N0	FB3N1000	3.2.1.1	NA	NA	NA	NA	NA
R_HMR_8572	false	false	FB2N0	FB3N1000	3.2.1.1	NA	NA	MNXR103495	NA	NA
R_HMR_8573	false	false	FB2N0	FB3N1000	3.2.1.1	NA	NA	MNXR101623	NA	NA
R_HMR_8574	false	false	FB2N0	FB3N1000	3.2.1.1	NA	NA	MNXR103491	NA	NA
R_HMR_8575	false	false	FB2N0	FB3N1000	3.2.1.1	NA	NA	MNXR101622	NA	NA
R_HMR_8576	false	false	FB2N0	FB3N1000	3.2.1.1	NA	NA	MNXR103488	NA	NA
R_HMR_8577	false	false	FB2N0	FB3N1000	3.2.1.1	NA	NA	MNXR101621	NA	NA
R_HMR_8578	false	false	FB2N0	FB3N1000	3.2.1.1	NA	NA	MNXR103479	NA	NA
R_HMR_8579	false	false	FB2N0	FB3N1000	3.2.1.1	NA	NA	MNXR101620	NA	NA
R_HMR_8581	false	false	FB2N0	FB3N1000	3.2.1.1	NA	NA	NA	NA	NA
R_HMR_8591	false	false	FB2N0	FB3N1000	3.2.1.20	NA	MLTG1	MNXR101619	NA	NA
R_HMR_8592	false	false	FB2N0	FB3N1000	3.2.1.20	NA	MLTG1ly	MNXR101619	NA	NA
R_HMR_8580	false	false	FB2N0	FB3N1000	3.2.1.1	NA	NA	NA	NA	NA
R_HMR_8582	false	false	FB2N0	FB3N1000	3.2.1.1	NA	NA	NA	NA	NA
R_HMR_8587	false	false	FB2N0	FB3N1000	3.2.1.20	R00028	MALT	MNXR101350	NA	NA
R_HMR_8589	false	false	FB2N0	FB3N1000	3.2.1.20	R00028	MALTly	MNXR101350	NA	NA
R_HMR_8583	false	false	FB2N0	FB3N1000	3.2.1.3	R01790	AMY1e	MNXR107171	NA	NA
R_HMR_8584	false	false	FB2N0	FB3N1000	3.2.1.10	NA	O16G2e	MNXR102084	NA	NA
R_HMR_8585	false	false	FB2N0	FB3N1000	2.7.1.106	R01660	NA	MNXR107111	NA	NA
R_HMR_3944	false	false	FB2N0	FB3N1000	2.7.7.9	R00289	GALUi	MNXR100022	NA	NA
R_HMR_4128	true	false	FB1N1000	FB3N1000	5.1.3.2	R00291	UDPG4E	MNXR105057	NA	NA
R_HMR_4130	false	false	FB2N0	FB3N1000	2.7.1.6	NA	GALKr	MNXR99985	NA	NA
