key,prop,val,prop2,val2,prop3,val3,prop4,val4,prop5,val5,prop6,val6,prop7,val7,,
Test Year,observationDate,{Number},,,,,,,,,,,,,,
County Code:00,observationAbout,geoId/06,,,,,,,,,,,,,,
County Code:0,observationAbout,geoId/06,,,,,,,,,,,,,,
County Code:1,observationAbout,geoId/06001,,,,,,,,,,,,,,
County Code:01,observationAbout,geoId/06001,,,,,,,,,,,,,,
County Code:2,observationAbout,geoId/06003,,,,,,,,,,,,,,
County Code:02,observationAbout,geoId/06003,,,,,,,,,,,,,,
County Code:3,observationAbout,geoId/06005,,,,,,,,,,,,,,
County Code:03,observationAbout,geoId/06005,,,,,,,,,,,,,,
County Code:4,observationAbout,geoId/06007,,,,,,,,,,,,,,
County Code:04,observationAbout,geoId/06007,,,,,,,,,,,,,,
County Code:5,observationAbout,geoId/06009,,,,,,,,,,,,,,
County Code:05,observationAbout,geoId/06009,,,,,,,,,,,,,,
County Code:6,observationAbout,geoId/06011,,,,,,,,,,,,,,
County Code:06,observationAbout,geoId/06011,,,,,,,,,,,,,,
County Code:7,observationAbout,geoId/06013,,,,,,,,,,,,,,
County Code:07,observationAbout,geoId/06013,,,,,,,,,,,,,,
County Code:8,observationAbout,geoId/06015,,,,,,,,,,,,,,
County Code:08,observationAbout,geoId/06015,,,,,,,,,,,,,,
County Code:9,observationAbout,geoId/06017,,,,,,,,,,,,,,
County Code:09,observationAbout,geoId/06017,,,,,,,,,,,,,,
County Code:10,observationAbout,geoId/06019,,,,,,,,,,,,,,
County Code:10,observationAbout,geoId/06019,,,,,,,,,,,,,,
County Code:11,observationAbout,geoId/06021,,,,,,,,,,,,,,
County Code:11,observationAbout,geoId/06021,,,,,,,,,,,,,,
County Code:12,observationAbout,geoId/06023,,,,,,,,,,,,,,
County Code:12,observationAbout,geoId/06023,,,,,,,,,,,,,,
County Code:13,observationAbout,geoId/06025,,,,,,,,,,,,,,
County Code:13,observationAbout,geoId/06025,,,,,,,,,,,,,,
County Code:14,observationAbout,geoId/06027,,,,,,,,,,,,,,
County Code:14,observationAbout,geoId/06027,,,,,,,,,,,,,,
County Code:15,observationAbout,geoId/06029,,,,,,,,,,,,,,
County Code:15,observationAbout,geoId/06029,,,,,,,,,,,,,,
County Code:16,observationAbout,geoId/06031,,,,,,,,,,,,,,
County Code:16,observationAbout,geoId/06031,,,,,,,,,,,,,,
County Code:17,observationAbout,geoId/06033,,,,,,,,,,,,,,
County Code:17,observationAbout,geoId/06033,,,,,,,,,,,,,,
County Code:18,observationAbout,geoId/06035,,,,,,,,,,,,,,
County Code:18,observationAbout,geoId/06035,,,,,,,,,,,,,,
County Code:19,observationAbout,geoId/06037,,,,,,,,,,,,,,
County Code:19,observationAbout,geoId/06037,,,,,,,,,,,,,,
County Code:20,observationAbout,geoId/06039,,,,,,,,,,,,,,
County Code:20,observationAbout,geoId/06039,,,,,,,,,,,,,,
County Code:21,observationAbout,geoId/06041,,,,,,,,,,,,,,
County Code:21,observationAbout,geoId/06041,,,,,,,,,,,,,,
