"NumPlaces","ScalingFactors","StatVar","MeasurementMethods","MinDate","Units","observationPeriods"
"51","[]","Count_Person_AmericanIndianAndAlaskaNativeAlone","[dcAggregate/CensusPEPSurvey_Race2000Onwards]","2020","[]","[]"
"51","[]","Count_Person_Male_BlackOrAfricanAmericanAlone","[dcAggregate/CensusPEPSurvey_Race2000Onwards]","2020","[]","[]"
"51","[]","Count_Person_AsianAlone","[dcAggregate/CensusPEPSurvey_Race2000Onwards]","2020","[]","[]"
"51","[]","Count_Person_Female_WhiteAlone","[dcAggregate/CensusPEPSurvey_Race2000Onwards]","2020","[]","[]"
"51","[]","Count_Person_BlackOrAfricanAmericanAlone","[dcAggregate/CensusPEPSurvey_Race2000Onwards]","2020","[]","[]"
"51","[]","Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAlone","[dcAggregate/CensusPEPSurvey_Race2000Onwards]","2020","[]","[]"
"51","[]","Count_Person_Male_WhiteAlone","[dcAggregate/CensusPEPSurvey_Race2000Onwards]","2020","[]","[]"
"51","[]","Count_Person_NativeHawaiianAndOtherPacificIslanderAlone","[dcAggregate/CensusPEPSurvey_Race2000Onwards]","2020","[]","[]"
"51","[]","Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAlone","[dcAggregate/CensusPEPSurvey_Race2000Onwards]","2020","[]","[]"
"51","[]","Count_Person_TwoOrMoreRaces","[dcAggregate/CensusPEPSurvey_Race2000Onwards]","2020","[]","[]"
"51","[]","Count_Person_Male_AsianAlone","[dcAggregate/CensusPEPSurvey_Race2000Onwards]","2020","[]","[]"
"51","[]","Count_Person_Female_AsianAlone","[dcAggregate/CensusPEPSurvey_Race2000Onwards]","2020","[]","[]"
"51","[]","Count_Person_Female_BlackOrAfricanAmericanAlone","[dcAggregate/CensusPEPSurvey_Race2000Onwards]","2020","[]","[]"
"51","[]","Count_Person_Female_TwoOrMoreRaces","[dcAggregate/CensusPEPSurvey_Race2000Onwards]","2020","[]","[]"
"51","[]","Count_Person_WhiteAlone","[dcAggregate/CensusPEPSurvey_Race2000Onwards]","2020","[]","[]"
"51","[]","Count_Person_Male_TwoOrMoreRaces","[dcAggregate/CensusPEPSurvey_Race2000Onwards]","2020","[]","[]"
