"Units","MeasurementMethods","ScalingFactors","NumPlaces","observationPeriods","StatVar","MinDate"
"[]","[CensusPEPSurvey_Race2000Onwards]","[]","1","[]","Count_Person_Female_WhiteAlone","2020"
"[]","[CensusPEPSurvey_Race2000Onwards]","[]","1","[]","Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAlone","2020"
"[]","[CensusPEPSurvey_Race2000Onwards]","[]","1","[]","Count_Person_Male_WhiteAlone","2020"
"[]","[CensusPEPSurvey_Race2000Onwards]","[]","1","[]","Count_Person_Female","2020"
"[]","[CensusPEPSurvey_Race2000Onwards]","[]","1","[]","Count_Person_Male_AsianAlone","2020"
"[]","[CensusPEPSurvey_Race2000Onwards]","[]","1","[]","Count_Person_Female_BlackOrAfricanAmericanAlone","2020"
"[]","[CensusPEPSurvey_Race2000Onwards]","[]","1","[]","Count_Person_Female_TwoOrMoreRaces","2020"
"[]","[CensusPEPSurvey_Race2000Onwards]","[]","1","[]","Count_Person_Male_HispanicOrLatino","2020"
"[]","[CensusPEPSurvey_Race2000Onwards]","[]","1","[]","Count_Person_Male","2020"
"[]","[CensusPEPSurvey_Race2000Onwards]","[]","1","[]","Count_Person_Female_NotHispanicOrLatino","2020"
"[]","[CensusPEPSurvey_Race2000Onwards]","[]","1","[]","Count_Person_Male_BlackOrAfricanAmericanAlone","2020"
"[]","[CensusPEPSurvey_Race2000Onwards]","[]","1","[]","Count_Person","2020"
"[]","[CensusPEPSurvey_Race2000Onwards]","[]","1","[]","Count_Person_Female_HispanicOrLatino","2020"
"[]","[CensusPEPSurvey_Race2000Onwards]","[]","1","[]","Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAlone","2020"
"[]","[CensusPEPSurvey_Race2000Onwards]","[]","1","[]","Count_Person_Female_AsianAlone","2020"
"[]","[CensusPEPSurvey_Race2000Onwards]","[]","1","[]","Count_Person_Male_TwoOrMoreRaces","2020"
"[]","[CensusPEPSurvey_Race2000Onwards]","[]","1","[]","Count_Person_Male_NotHispanicOrLatino","2020"
