"StatVar","MeasurementMethods","Units","NumPlaces","MinDate","observationPeriods","ScalingFactors"
"Count_Person_Female_WhiteAlone","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_0To4Years_Female","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_0To4Years_Male","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_Male_HispanicOrLatino","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_85OrMoreYears_Female","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_Male_TwoOrMoreRaces","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_Male_NativeHawaiianAndOtherPacificIslanderAlone","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_Male_WhiteAlone","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_85OrMoreYears_Male","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_Male","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_Male_AsianAlone","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_Female","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_Female_AsianAlone","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_Female_HispanicOrLatino","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_Male_BlackOrAfricanAmericanAlone","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_Female_BlackOrAfricanAmericanAlone","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_Female_NativeHawaiianAndOtherPacificIslanderAlone","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_Female_TwoOrMoreRaces","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_Female_NotHispanicOrLatino","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
"Count_Person_Male_NotHispanicOrLatino","[CensusPEPSurvey_Race2000Onwards]","[]","3144","2020","[]","[]"
