SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,1,3,Alabama,Baldwin County,1,7,10709,5317,5392,4615,4667,546,543,42,47,42,59,8,8,64,68,4673,4728,558,565,84,89,62,73,10,9,4859,5065,4193,4368,536,532,29,39,42,58,6,7,53,61,4240,4423,548,554,63,74,56,71,7,8,458,327,422,299,10,11,13,8,0,1,2,1,11,7,433,305,10,11,21,15,6,2,3,1
50,1,3,Alabama,Baldwin County,2,7,10709,5317,5392,4615,4667,546,543,42,47,42,59,8,8,64,68,4673,4728,558,565,84,89,62,73,10,9,4859,5065,4193,4368,536,532,29,39,42,58,6,7,53,61,4240,4423,548,554,63,74,56,71,7,8,458,327,422,299,10,11,13,8,0,1,2,1,11,7,433,305,10,11,21,15,6,2,3,1
50,1,5,Alabama,Barbour County,4,3,1605,845,760,368,324,459,424,3,1,5,3,2,1,8,7,375,330,465,427,5,5,7,4,2,1,818,725,346,295,456,420,1,0,5,3,2,0,8,7,353,301,462,423,3,4,7,4,2,0,27,35,22,29,3,4,2,1,0,0,0,1,0,0,22,29,3,4,2,1,0,0,0,1
50,1,5,Alabama,Barbour County,12,2,1410,689,721,285,305,364,384,5,0,4,4,2,2,29,26,312,327,388,405,9,8,7,5,2,2,623,646,228,237,357,377,3,0,4,4,2,2,29,26,255,259,381,398,7,8,7,5,2,2,66,75,57,68,7,7,2,0,0,0,0,0,0,0,57,68,7,7,2,0,0,0,0,0
50,1,5,Alabama,Barbour County,12,4,1398,734,664,315,291,396,358,6,3,5,3,1,1,11,8,326,298,403,365,9,5,6,3,1,1,684,633,270,267,394,355,4,1,5,3,1,0,10,7,280,273,401,362,6,2,6,3,1,0,50,31,45,24,2,3,2,2,0,0,0,1,1,1,46,25,2,3,3,3,0,0,0,1
50,1,7,Alabama,Bibb County,12,9,1410,790,620,565,512,214,98,5,5,2,0,2,0,2,5,567,515,215,101,5,8,3,0,2,1,759,608,538,500,213,98,5,5,2,0,0,0,1,5,539,503,214,101,5,8,2,0,0,1,31,12,27,12,1,0,0,0,0,0,2,0,1,0,28,12,1,0,0,0,1,0,2,0
50,1,9,Alabama,Blount County,7,18,953,314,639,302,623,6,8,4,2,0,0,1,0,1,6,303,629,7,9,4,8,0,0,1,0,303,635,292,619,6,8,4,2,0,0,0,0,1,6,293,625,7,9,4,8,0,0,0,0,11,4,10,4,0,0,0,0,0,0,1,0,0,0,10,4,0,0,0,0,0,0,1,0
50,1,9,Alabama,Blount County,10,5,3239,1683,1556,1607,1481,34,25,6,14,6,4,5,3,25,29,1630,1507,42,39,20,30,11,9,6,4,1466,1353,1402,1287,29,23,5,11,6,4,2,0,22,28,1422,1312,34,36,18,27,11,9,3,1,217,203,205,194,5,2,1,3,0,0,3,3,3,1,208,195,8,3,2,3,0,0,3,3
50,1,9,Alabama,Blount County,13,17,1318,590,728,572,712,5,8,4,3,2,1,0,1,7,3,579,714,5,9,10,6,3,1,0,1,575,722,558,706,4,8,4,3,2,1,0,1,7,3,565,708,4,9,10,6,3,1,0,1,15,6,14,6,1,0,0,0,0,0,0,0,0,0,14,6,1,0,0,0,0,0,0,0
50,1,11,Alabama,Bullock County,3,17,154,53,101,34,41,19,58,0,2,0,0,0,0,0,0,34,41,19,58,0,2,0,0,0,0,52,100,34,41,18,57,0,2,0,0,0,0,0,0,34,41,18,57,0,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
