Id,MappedTo,Occurences
AirLiquideAmericaLP,AirLiquideLargeIndustriesUsLP,1
AirLiquideUs,AirLiquideLargeIndustriesUsLP,1
AirLiquideUsaInc,AirLiquideLargeIndustriesUsLP,1
AirLiquideUsaLLC,AirLiquideLargeIndustriesUsLP,1
AkSteelHoldingCorp,AkSteelCorp,1
AlcoaCorp,AlcoaInc,1
CovantaEnergy,CovantaHoldingCorp,1
DeerParkRefiningLP,EquilonEnterprisesLLC,1
DeerParkRefiningLimitedPartnership,EquilonEnterprisesLLC,1
EquilonEnterprisesLLCDbaShellOilProductsUs,EquilonEnterprisesLLC,1
GreenPlainsRenewableEnergyInc,GreenPlains,1
HastingsUtilitiesCityOfHastingsNe,CityOfHastingsNebraska,1
IndianaMunicipalPowerAgencyImpa100OwnsGt2AndGt3,IndianaMunicipalPowerAgency,1
JointSolidWasteDisposalBoardCityAndCountOfPeoria,JointSolidWasteDisposalBoardCityAndCountyOfPeoria,1
MartinResourceManagementCorp,MartinMidstreamPartnersLP,1
MiamiDadePublicWorksAndWasteManagementDepartment,MiamiDadeCountyDepartmentOfSolidWasteManagement,1
MiamiDadeWaterAndSewer,MiamiDadeCounty,1
MotivaEnterprisesLLC,EquilonEnterprisesLLC,1
NrgEnergyInc,NrgEnergy,1
OneokInc,OneokPartnersLP,1
OptimEnergyLLCCOCompetitivePowerVentures,OptimEnergyLLC,1
PetrobrasUsa,PetrobrasAmericaInc,1
PioneerNaturalResourcesCo,PioneerNaturalResourcesUsaInc,1
PrinceWilliamCountyPublicWorksDepartmentSolidWasteDivision,PrinceWilliamCountyPublicWorksDepartmentSolidWasteDiv,1
SandridgeProductionAndExplorationLLC,SandridgeExplorationAndProductionLLC,1
ShellOilProductsUs,EquilonEnterprisesLLC,1
ShellPetroleumIncShellChemicalLPNorcoLa,ShellPetroleumInc,1
ShellPetroleumIncorporated,ShellPetroleumInc,1
SouthwesternEnergy,SouthwesternEnergyCo,1
SouthwesternEnergyCoInc,SouthwesternEnergyCo,1
TpfGencoCoInvestmentFundLP,TpfIiALP,1
USGypsumCo,USGypsumCorp,1
USSteel,UsSteelCorp,1
UsSteel,UsSteelCorp,1
UsgCorp,USGypsumCorp,1
VanguardNaturalResourcesIncorporated,VanguardNaturalResourcesInc,1
VanguardNaturalResourcesLLC,VanguardNaturalResourcesInc,1
WestrockCorp,WestrockCo,1
XcelEnergy,XcelEnergyInc,1
