counterpart_area,prop,dcid
Afghanistan,lendingEntity,country/AFG
African Dev. Bank,lendingEntity,African_Dev_Bank
African Export-Import Bank,lendingEntity,African_Export_Import_Bank
Algeria,lendingEntity,country/DZA
Angola,lendingEntity,country/AGO
Arab African International Bank,lendingEntity,Arab_African_International_Bank
Arab Bank for Economic Dev. in Africa (BADEA),lendingEntity,Arab_Bank_for_Economic_Dev_in_Africa
Arab Fund for Economic & Social Development,lendingEntity,Arab_Fund_for_Economic_Social_Development
Arab Fund for Tech. Assist. to African Countries,lendingEntity,Arab_Fund_for_Tech_Assist_to_African_Countries
Arab League,lendingEntity,Arab_League
Arab Monetary Fund,lendingEntity,Arab_Monetary_Fund
Arab Towns Organization (ATO),lendingEntity,Arab_Towns_Organization
Argentina,lendingEntity,country/ARG
Armenia,lendingEntity,country/ARM
Asian Dev. Bank,lendingEntity,Asian_Dev_Bank
Asian Infrastructure Investment Bank,lendingEntity,Asian_Infrastructure_Investment_Bank
Australia,lendingEntity,country/AUS
Austria,lendingEntity,country/AUT
Azerbaijan,lendingEntity,country/AZE
Bahamas,lendingEntity,country/BHS
Bahrain,lendingEntity,country/BHR
Bangladesh,lendingEntity,country/BGD
Bank for International Settlements (BIS),lendingEntity,Bank_for_International_Settlements
Barbados,lendingEntity,country/BRB
Belarus,lendingEntity,country/BLR
Belgium,lendingEntity,country/BEL
Belize,lendingEntity,country/BLZ
Bermuda,lendingEntity,country/BMU
Benin,lendingEntity,country/BEN
Bolivarian Alliance for the Americas (ALBA),lendingEntity,Bolivarian_Alliance_for_the_Americas
Bolivia,lendingEntity,country/BOL
Bondholders,lendingEntity,Bondholders
Bosnia-Herzegovina,lendingEntity,country/BIH
Brazil,lendingEntity,country/BRA
Brunei,lendingEntity,country/BRN
Bulgaria,lendingEntity,country/BGR
Burkina Faso,lendingEntity,country/BFA
Burundi,lendingEntity,country/BDI
Cabo Verde,lendingEntity,country/CPV
Cameroon,lendingEntity,country/CMR
Canada,lendingEntity,country/CAN
Caribbean Community (CARICOM),lendingEntity,Caribbean_Community
Caribbean Dev. Bank,lendingEntity,Caribbean_Dev_Bank
Cayman Islands,lendingEntity,country/CYM
Central American Bank for Econ. Integ. (CABEI),lendingEntity,Central_American_Bank_for_Econ_Integ
Central American Bank for Econ. Integration (BCIE),lendingEntity,Central_American_Bank_for_Econ_Integration
Central Bank of West African States (BCEAO),lendingEntity,Central_Bank_of_West_African_States
Chad,lendingEntity,country/TCD
Chile,lendingEntity,country/CHL
China,lendingEntity,country/CHN
Colombia,lendingEntity,country/COL
"Congo, Dem. Rep.",lendingEntity,country/COD
"Congo, Rep.",lendingEntity,country/COG
Corporacion Andina de Fomento,lendingEntity,Corporacion_Andina_de_Fomento
Costa Rica,lendingEntity,country/CRI
"Cote D`Ivoire, Republic Of",lendingEntity,country/CIV
Council of Europe,lendingEntity,Council_of_Europe
