Sex,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Total,5266,5151,5112,5169,6102,7143,7330,6668,6724,6917,7121,7528,7385,7331,7295,7183,7219,7020,6892,6818,6500,6337,5990,5600,5300,4900
        Of which: Female,3242,3143,3141,3169,3740,4314,4491,4028,3997,4130,4368,4628,4542,4371,4287,4174,4229,4073,4021,3905,3700,3542,3198,3000,2800,2500
