Sex,Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Male,Total,99483,92261,88601,88823,91034,89463,90574,93552,90094,91526,93674,102520,101783,102427,101557,101455
Male,    Khangai region,8589,594,484,478,501,694,1033,1062,1144,1950,1269,1291,1555,1793,1954,2237
Male,            Arkhangai,2872,533,440,442,464,635,977,923,1036,1794,1090,1069,1245,1465,1530,1693
Male,            Bayankhongor,2357,61,44,36,37,59,56,139,108,156,156,136,152,83,121,186
Male,            Uvurkhangai,3360,0,0,0,0,0,0,0,0,0,23,86,158,245,303,358
Male,    Western region,12440,1620,1718,1800,1990,1674,2439,2607,2495,2973,3314,3593,3820,3819,3557,4031
Male,            Bayan-Ulgii,2071,128,46,72,122,144,171,216,254,345,456,573,642,646,573,611
Male,            Govi-Altai,2048,637,721,735,791,377,296,430,470,488,468,505,578,571,542,1067
Male,            Zavkhan,2441,101,139,126,139,121,187,341,181,246,308,383,445,476,487,481
Male,            Uvs,2918,35,26,66,64,65,73,93,83,159,121,142,146,172,93,93
