Professional field,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016
Students,161891,150282,145345,145267,148954,147293,148446,157625,155248,157138
    Education,22172,19933,17231,18053,18244,19162,22854,23324,20810,22006
    Arts and humanities,12729,11667,11127,10950,11461,12128,11909,13792,12764,11801
    Arts,6095,5408,5124,5412,5360,4830,4761,5698,4833,4702
"    Social sciences, journalism and information",11072,10485,9787,9001,8687,9390,7529,7092,9036,8199
    Journalism and information,4155,1352,1285,1261,1431,1451,1546,1638,1482,1346
"    Business, administration and law",40697,39561,39691,41008,42955,47761,43863,43296,40401,41959
    Law,14201,13359,12727,12707,12790,12776,11248,12322,8903,8825
"    Natural sciences, mathematics and statistics",1940,3775,3648,3434,3532,3902,4459,4196,6122,5687
    Biological and related sciences,904,707,678,563,541,565,591,631,1219,1431
        Mathematics and statistics,761,696,681,607,571,549,642,547,576,614
        Information and Communication Technologies,8024,7793,7835,7000,6419,5377,4984,5112,3606,4171
