observationAbout,observationDate,value,variableMeasured
country/MNG,2025,5266,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2024,5151,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2023,5112,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2022,5169,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2021,6102,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2020,7143,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2019,7330,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2018,6668,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2017,6724,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2016,6917,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2015,7121,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2014,7528,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2013,7385,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2012,7331,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2011,7295,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2010,7183,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2009,7219,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2008,7020,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2007,6892,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2006,6818,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2005,6500,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2004,6337,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2003,5990,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2002,5600,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2001,5300,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2000,4900,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher
country/MNG,2025,3242,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2024,3143,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2023,3141,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2022,3169,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2021,3740,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2020,4314,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2019,4491,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2018,4028,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2017,3997,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2016,4130,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2015,4368,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2014,4628,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2013,4542,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2012,4371,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2011,4287,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2010,4174,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2009,4229,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2008,4073,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2007,4021,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2006,3905,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2005,3700,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2004,3542,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2003,3198,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2002,3000,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2001,2800,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
country/MNG,2000,2500,dcid:Count_Teacher_FullTimeEmployee_UniversityAndCollegeTeacher_Female
