Professional field,2024,2023,2022,2021,2020,2019
Total,23768,27555,23314,32925,31161,28045
Education,3151,4229,3535,6001,6296,5513
Arts and humanities,1934,1759,1545,2317,2127,1741
"Social sciences, journalism and information",1424,1702,1194,1901,1804,1283
"Business, administration and law",6433,8816,7194,10506,9794,9462
"Natural sciences, mathematics and statistics",424,522,476,767,864,745
Information and Communication Technologies,1230,1082,690,882,887,867
"Engineering, manufacturing and construction",2701,3118,2910,4225,4061,4306
"Agriculture, forestry, fisheries and veterinary",255,271,295,348,407,397
Health and welfare,4886,4779,4455,4293,3661,3276
Services,1330,1277,1020,1685,1260,455
