Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,TABLE 36: NET STATE VALUE ADDED BY ECONOMIC ACTIVITY - AGRICULTURE,,,,,
,(Current Prices),,,,,
,(₹ Lakh),,,,,
,State/Union Territory,Base: 2004-05,,,,
,,2004-05,2005-06,2006-07,2007-08,2008-09
,Andaman & Nicobar Islands,20583,15008,17482,20744,25590
,Andhra Pradesh,3040086,3073187,3383774,4517921,5078050
,Arunachal Pradesh,54521,54152,65790,85419,91475
,Assam,1068008,1321638,1316962,1437907,1648458
,Bihar,1862279,1857522,2460652,2411559,3326819
,Chandigarh,6777,7432,8203,8441,9196
,Chhattisgarh,639982,816587,881435,1197268,1205741
,Delhi,100577,102464,108787,113503,123348
,Goa,54534,70485,61561,70193,79560
,Gujarat,2480300,3314100,3957500,4823700,4686500
,Haryana,1984488,2051130,2594483,3053687,3820287
,Himachal Pradesh,428494,463523,447246,510761,512971
,Jammu & Kashmir,546706,565823,588908,615093,637092
,Jharkhand,623367,673201,796210,910727,1148926
,Karnataka,2440207,3034638,3076588,3628131,3744480
,Kerala,1365071,1511407,1660454,1802034,2131605
,Madhya Pradesh,2543567,2824436,3151291,3286567,4052350
,Maharashtra,3113563,3619061,4693849,6038397,5520432
,Manipur,86500,96511,103477,114834,132631
,Meghalaya,100246,111472,139604,147008,152961
,Mizoram,32723,33991,36323,47419,60269
,Nagaland,152336,157923,159217,159563,191609
,Odisha,1367826,1470937,1669020,2517503,2506971
,Puducherry,18728,20855,24646,25487,34065
,Punjab,2836785,3104142,3559366,4312803,4951428
,Rajasthan,2574105,2671810,3248772,3919650,4420286
,Sikkim,24574,27350,28838,34244,39718
,Tamil Nadu,1946107,2349444,2942487,3356182,3739394
,Telangana,1321148,1766779,1825736,2451620,3049197
,Tripura,176851,190507,189146,198010,216837
,Uttar Pradesh,6455157,7044382,7533996,8453337,10849752
,Uttarakhand,367537,371974,435860,442826,519721
,West Bengal,3853049,4283182,4551928,5397906,5789752
