Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,TABLE 31: NET STATE DOMESTIC PRODUCT,,,,,,,
,(Constant Prices) (Concld.),,,,,,,
,(₹ Lakh),,,,,,,
,State/Union Territory,Base: 2011-12,,,,,,
,,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
,Andaman & Nicobar Islands,574969,610763,643023,587978,643657,692545,-
,Andhra Pradesh,52662596,55886169,57109558,57644745,63621940,67245526,72334261
,Arunachal Pradesh,1392147,1489570,1708653,1615914,1611101,1599622,-
,Assam,19526229,20462705,21231535,21959254,22432223,24478810,28884226
,Bihar,31260514,34554545,35924138,32835390,34358255,37682298,41135921
,Chandigarh,2528946,2665415,2841363,2514081,2700338,2994294,-
,Chhattisgarh,19407322,21757819,22239836,21849936,24594713,26383878,27980319
,Delhi,48763115,50633247,52203093,46577003,50759507,54882642,59083610
,Goa,4707685,4742453,4850884,4587613,4604014,4636234,-
,Gujarat,94651119,103439901,111017860,108465258,119856386,129464641,-
,Haryana,43440728,47838374,48848963,43735126,48041714,51913497,56136770
,Himachal Pradesh,9352498,9922092,10331008,9741196,10549998,11263307,12073280
,Jammu & Kashmir*,8759068,9307182,9076747,8759247,8890759,10028628,10799518
,Jharkhand,19157307,20870146,20991267,19684517,22161177,23923626,25866174
,Karnataka,91565726,97730149,103437971,99722607,109850970,118755666,126392543
,Kerala,47318179,51078693,51545305,46405239,52425887,54598961,58422079
,Madhya Pradesh,44195643,48239807,50113685,47134263,51211700,54600495,57923426
,Maharashtra,166106501,171299901,178856926,158112196,175904666,193584213,207975609
,Manipur,1687036,1619296,1694480,1562021,1735322,1931949,-
,Meghalaya,1996368,2096795,2199730,1999048,2176880,2354708,2528161
,Mizoram,1377941,1411598,1566274,1406367,1512901,1726400,-
,Nagaland,1417779,1505470,1585325,1496526,1538713,1707399,-
,Odisha,31619189,33833941,34564462,33410980,39233126,41619965,45670827
,Puducherry,2002416,2369301,2360997,2122605,2162070,2265496,2366263
,Punjab,33505679,35394247,36755813,35520463,37667384,39956393,42482352
,Rajasthan,55761821,56845166,59821998,57920792,63438911,68510476,74058074
,Sikkim,1520436,1588906,1658771,1596438,1734109,1873774,2022989
,Tamil Nadu,100030816,107160190,109940176,109412181,118071002,127883098,138380751
,Telangana,49814546,54444059,57246020,52917906,59165132,64352791,70197438
,Tripura,2950518,3270315,3369498,3205260,3491958,3775242,4088606
,Uttar Pradesh,92245751,94918445,98027885,91562133,102625586,112200710,120615628
,Uttarakhand,16220479,16651881,16917506,14498822,16092142,17327971,18648406
,West Bengal,62378700,65912641,67643430,61514347,69259164,73504894,79114432
,-: Not Available.,,,,,,,
,"* : For the years 2011-12 till 2018-19, figures relate to Jammu and Kashmir & Ladakh and for the years 2019-20 to 2023-24, relate to UT of Jammu and Kashmir.",,,,,,,
,"Source: National Statistical Office, Ministry of Statistics and Programme Implementation, Government of India.",,,,,,,
