Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,TABLE 47: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - INDUSTRY,,,,,
,(Constant Prices),,,,,
,(₹ Lakh),,,,,
,State/Union Territory,Base: 2004-05,,,,
,,2004-05,2005-06,2006-07,2007-08,2008-09
,Andaman & Nicobar Islands,49966,59109,83393,97618,81695
,Andhra Pradesh,2912417,3110450,3673671,4223305,4206627
,Arunachal Pradesh,111274,116328,112991,132018,162071
,Assam,1470509,1418571,1417784,1427424,1526228
,Bihar,1070590,1173370,1363171,1628577,1887399
,Chandigarh,145196,155686,211204,219329,158505
,Chhattisgarh,2122142,2041364,2709407,2909379,3322100
,Delhi,1850329,1952555,2091464,2197891,2325425
,Goa,597059,626226,717642,745551,799489
,Gujarat,8134600,9325100,10204300,11307000,12043700
,Haryana,3151827,3419462,3734685,3980878,4120104
,Himachal Pradesh,924021,1002645,1138404,1244057,1362350
,Jammu & Kashmir,770804,806516,885300,946199,950041
,Jharkhand,3116179,2732725,2565566,3437990,2902915
,Karnataka,5048876,5471586,6404337,7098297,7463330
,Kerala,2734890,3005799,3207718,3457552,3472911
,Madhya Pradesh,3065808,3209886,3746231,3968569,4721793
,Maharashtra,12302195,14630829,16945066,18933289,18732209
,Manipur,188204,202049,206821,212965,218128
,Meghalaya,171471,186646,210724,230241,270970
,Mizoram,44529,57197,57826,65327,76289
,Nagaland,75230,87996,101081,111191,128475
,Odisha,2652174,2722052,3304389,3880463,4084174
,Puducherry,288801,389547,366015,390097,409336
,Punjab,2397914,2665416,3236309,3773847,3933660
,Rajasthan,3903738,4238250,4987806,5118509,5481210
,Sikkim,50154,56059,60015,65968,88955
,Tamil Nadu,6931260,7907174,8969983,9315796,9124112
,Telangana,2543308,2893703,3387400,3605428,4181631
,Tripura,215884,238529,267033,269622,295746
,Uttar Pradesh,6066009,6707478,7611156,8265431,8378962
,Uttarakhand,699584,890753,1071599,1318914,1482371
,West Bengal,4519445,4668579,5075168,5422929,5328127
