Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,TABLE 39: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - MANUFACTURING,,,,,
,(Constant Prices),,,,,
,(₹ Lakh),,,,,
,State/Union Territory,Base: 2004-05,,,,
,,2004-05,2005-06,2006-07,2007-08,2008-09
,Andaman & Nicobar Islands,2278,1943,2297,2607,2640
,Andhra Pradesh,1546750,1541254,1653263,1915386,1970161
,Arunachal Pradesh,7231,8020,9126,10424,10516
,Assam,562146,524114,514548,480985,460277
,Bihar,437930,410429,436795,544586,653549
,Chandigarh,56067,51902,63601,71018,71365
,Chhattisgarh,1047925,855197,1290532,1453736,1489014
,Delhi,732602,793373,850545,942047,912372
,Goa,380868,400642,442111,457694,483699
,Gujarat,5544300,6568300,7253700,7824400,8158200
,Haryana,2045451,2202173,2402332,2605152,2674161
,Himachal Pradesh,277210,296072,335258,359322,456623
,Jammu & Kashmir,167248,185963,213107,231630,255492
,Jharkhand,2012916,1559683,1365290,2198502,1499809
,Karnataka,3059887,3170215,3931552,4188677,4710908
,Kerala,1022058,1043330,1117876,1316450,1344072
,Madhya Pradesh,1255729,1345607,1726336,1804655,2132861
,Maharashtra,8547610,10677463,12683017,13786769,13190003
,Manipur,22676,24135,27316,32008,31178
,Meghalaya,17942,31372,49217,54974,52408
,Mizoram,3767,3844,4480,5361,5194
,Nagaland,9841,11855,13461,15261,13236
,Odisha,936979,960713,1216426,1618393,1834609
,Puducherry,204499,300915,272611,278198,307772
,Punjab,1466020,1614308,2006927,2412168,2488289
,Rajasthan,1597671,1760049,2175574,2238797,2500457
,Sikkim,6720,6877,7413,8500,9265
,Tamil Nadu,4343267,4999365,5936906,5971886,5893398
,Telangana,1186327,1334301,1730557,1720302,2160616
,Tripura,35961,25648,29624,32062,34083
,Uttar Pradesh,3518745,3706366,4442728,4857125,4478113
,Uttarakhand,315559,462799,585524,855169,1034432
,West Bengal,2326158,2272282,2543323,2873561,2899126
