Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,TABLE 33: GROSS STATE VALUE ADDED,,,,,,,
,(Constant Prices) (Concld.),,,,,,,
,(₹ Lakh),,,,,,,
,State/Union Territory,Base: 2011-12 ,,,,,,
,,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
,Andaman & Nicobar Islands,619310,633901,665908,622098,657186,708918,-
,Andhra Pradesh,53786892,55929375,58860945,59750517,65504323,69609905,73063327
,Arunachal Pradesh,1482226,1575125,1786512,1695113,1722183,1772021,-
,Assam,20680674,20892085,21912863,21621051,23554862,25669124,28828319
,Bihar,33482650,36699173,38182185,35713975,38280039,42309551,46187259
,Chandigarh,2723937,2852045,3032961,2700201,2877304,3190676,-
,Chhattisgarh,20010414,22287581,23537766,23798534,26602747,28573474,30246039
,Delhi,46333293,48858247,51196523,47106982,50430608,54203612,58102522
,Goa,4826333,4874671,4969154,4827751,4873429,4991611,-
,Gujarat,95051750,102702434,109670333,106561827,115135573,121204442,-
,Haryana,42445828,46692640,47888319,44105455,48401235,52090681,56051369
,Himachal Pradesh,10412975,11001185,11410594,10936317,11748571,12597596,13471354
,Jammu & Kashmir*,9845143,10686379,10597883,10208891,10702130,11810613,12507376
,Jharkhand,18746696,20661937,20889973,19781873,22457346,24149781,25879308
,Karnataka,89977017,95804915,102538478,100683195,110534997,118888713,127497877
,Kerala,46075400,48022604,49397423,44498213,50099348,52763002,56564302
,Madhya Pradesh,46051606,50489541,52017568,49946859,54317215,58601411,61975686
,Maharashtra,166820507,172501058,181463274,166282045,184125429,201942221,217384494
,Manipur,1815524,1744574,1820226,1711330,1898577,2093304,-
,Meghalaya,2092266,2209140,2319828,2125807,2282881,2448624,2584794
,Mizoram,1418047,1524802,1702719,1580612,1684557,1904831,-
,Nagaland,1590788,1641053,1766941,1681286,1749080,1917657,-
,Odisha,32735286,35299658,35746481,35411894,40809837,43584310,47345606
,Puducherry,1944222,2395547,2356343,2181314,2140046,2279602,2365577
,Punjab,34468624,36294472,37780478,37258619,39771679,42134423,44700659
,Rajasthan,59000780,60046187,63474705,62129045,68002076,72997997,78052814
,Sikkim,1632631,1767550,1857006,1871729,2032829,2196266,2383310
,Tamil Nadu,101449075,108017170,111493100,111417016,119847593,129378734,139598650
,Telangana,50074176,54542139,57946110,54656615,60673646,65829634,72103260
,Tripura,3194234,3519768,3626474,3457108,3790872,4111794,4468886
,Uttar Pradesh,99840617,103956236,107962029,103570987,115498490,126175611,135814900
,Uttarakhand,16710349,17093191,17443879,15584003,17232788,18554478,20008662
,West Bengal,67605026,72093732,74638846,69468948,77101041,82712348,89218293
,-: Not Available.,,,,,,,
,"* : For the years 2011-12 till 2018-19, figures relate to Jammu and Kashmir & Ladakh and for the years 2019-20 to 2023-24, relate to UT of Jammu and Kashmir.",,,,,,,
,"Source: National Statistical Office, Ministry of Statistics and Programme Implementation, Government of India.",,,,,,,
