Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,TABLE 55: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY – SERVICES (Constant Prices) (Concld.),,,,,,,
,(₹ Lakh),,,,,,,
,State/Union Territory,Base:2011-12,,,,,,
,,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
,Andaman & NicobarIslands,414325,435261,450853,419535,452597,491350,-
,Andhra Pradesh,22534915,23625473,25164896,22847428,25323215,27599117,29036007
,Arunachal Pradesh,644068,641671,739362,730656,779722,878804,-
,Assam,8709156,8566039,9217075,9601843,8533385,9376575,11651205
,Bihar,19528591,22250586,23266133,20343224,21838581,24445220,27075937
,Chandigarh,2427486,2518938,2707528,2408797,2581862,2884852,-
,Chhattisgarh,6896577,7130977,7924750,7556884,8294823,8981568,9432297
,Delhi,38887689,40940647,43186828,39191707,42024583,45695392,49065552
,Goa,1712064,1748821,1814713,1734792,1762192,2047146,-
,Gujarat,33344233,37022484,39931029,38050093,40581356,43674020,-
,Haryana,20997745,22774202,23914386,21394718,23813020,26083040,28417693
,Himachal Pradesh,4089799,4273495,4445653,4298285,4576315,5051964,5425290
,Jammu & Kashmir*,5501206,6150886,6150199,5704753,6206688,6867715,7287713
,Jharkhand,8246454,9030372,9633138,8760299,9426652,10575943,11501258
,Karnataka,55968534,60461693,66485666,63285576,69611424,76533515,83160463
,Kerala,28326851,30366164,31718772,26904033,31187885,33357724,36341477
,Madhya Pradesh,17833951,19587678,20714250,18673290,20564840,22972949,24567303
,Maharashtra,92261396,97476933,108130371,93675729,105223772,118914163,129319604
,Manipur,1103963,1137163,1221148,1151768,1278019,1482664,-
,Meghalaya,1259568,1396706,1490460,1302541,1410010,1545774,1633396
,Mizoram,712190,762107,920374,834139,889624,1039615,-
,Nagaland,939473,1020192,1086218,1024624,1162193,1233143,-
,Odisha,13101089,13459199,14444655,12793142,13868103,14947512,16686107
,Puducherry,921939,931862,984650,871758,955351,1043635,1103632
,Punjab,16923837,18103343,19219524,18294121,19601572,20962278,22490704
,Rajasthan,24942979,27784901,28557103,25639444,29359667,32251117,34305657
,Sikkim,436133,486449,582533,566358,587517,655459,717733
,TamilNadu,52205510,55157012,57541400,57320509,60960795,66022954,72130928
,Telangana,31421367,33626248,35501432,32197826,36934528,40914312,45525588
,Tripura,1552235,1691573,1853886,1690123,1780575,1936789,2110707
,Uttar Pradesh,47866495,50825435,54389513,50151343,54157218,61516951,64506622
,Uttarakhand,6356100,6645602,7020784,6282447,7081688,7760211,8350817
,West Bengal,35109554,37156994,39266144,34292335,38322061,41993903,46421237
,-: Not Available.,,,,,,,
,"* : For the years 2011-12 till 2018-19, figures relate to Jammu and Kashmir & Ladakh and for the years 2019-20 to 2023-24, relate to UT of Jammu and Kashmir.",,,,,,,
,"Source: National Statistical Office, Ministry of Statistics and Programme Implementation, Government of India.",,,,,,,
