Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,TABLE 54: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - SERVICES,,,,,,,
,(Current Prices) (Concld.),,,,,,,
,(₹ Lakh),,,,,,,
,State/Union Territory,Base: 2011-12,,,,,,
,,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
,Andaman & Nicobar Islands,518995,579016,624385,581585,650969,741495,-
,Andhra Pradesh,29558955,33324008,36215727,34339016,40902215,48087392,53383256
,Arunachal Pradesh,919851,980103,1144371,1168691,1312453,1522390,-
,Assam,12303428,13125598,14517622,13453001,15626663,18407196,23513736
,Bihar,26656404,30668844,33139503,30796826,35242986,41715933,48760083
,Chandigarh,3049510,3313059,3628343,3297825,3848875,4649588,-
,Chhattisgarh,9376499,10286662,11861792,11681386,13471317,15306625,16589116
,Delhi,49613682,54719676,60234197,56939864,65954349,75848143,83212389
,Goa,2362190,2492122,2678862,2662277,2900176,3545041,-
,Gujarat,41038070,46852568,51142171,51900317,59131659,67265469,-
,Haryana,26609883,30253331,33022721,31206375,37359040,43471934,49467879
,Himachal Pradesh,5343338,5839637,6268885,6006510,6854942,7896383,8400554
,Jammu & Kashmir*,7517131,9084326,9461296,9300229,10835086,12729936,13898811
,Jharkhand,10471323,12003112,13015776,12121059,14446874,16798244,18654095
,Karnataka,75949879,86274661,97926676,96490200,116064598,135819627,153267223
,Kerala,39718355,44520540,47609893,42867433,52388824,59743475,68215184
,Madhya Pradesh,24381152,28043158,31147172,29866351,34881551,41941085,45849884
,Maharashtra,119412475,132992936,146826011,139600608,164628077,199767097,225452768
,Manipur,1497350,1645662,1840776,1804293,2144699,2590151,-
,Meghalaya,1587074,1836778,2005203,1860651,2144648,2512030,2838233
,Mizoram,881133,972783,1193299,1099181,1217790,1431503,-
,Nagaland,1305637,1503862,1649870,1663930,1923903,2168244,-
,Odisha,15836658,17066219,18866215,17442621,20728814,24087378,27278539
,Puducherry,1365539,1500141,1650742,1539650,1805133,2083152,2206961
,Punjab,19614068,21288300,23053109,21465361,25055433,28935386,31812525
,Rajasthan,35156562,41131680,44061137,41123763,49225369,57848137,64363225
,Sikkim,611630,728190,909183,869465,1009727,1202835,1403093
,Tamil Nadu,70534707,80049143,87566591,88824173,99986319,116704995,133597950
,Telangana,42799750,48028044,53189207,51629535,63919402,77325407,92349087
,Tripura,1963529,2162827,2360641,2146096,2487301,2917450,3415771
,Uttar Pradesh,62664232,69989868,76709288,70186018,83457465,100236527,107968417
,Uttarakhand,7960052,8717279,9433548,9046881,10892539,12578612,14122872
,West Bengal,49261352,55222559,61538331,57268013,67645054,79884747,92811839
,-: Not Available.,,,,,,,
,"* : For the years 2011-12 till 2018-19, figures relate to Jammu and Kashmir & Ladakh and for the years 2019-20 to 2023-24, relate to UT of Jammu and Kashmir.",,,,,,,
,"Source: National Statistical Office, Ministry of Statistics and Programme Implementation, Government of India.",,,,,,,
