Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,TABLE 45: NET STATE VALUE ADDED BY ECONOMIC ACTIVITY – CONSTRUCTION (Constant Prices) (Concld.),,,,,,,
,(₹ Lakh),,,,,,,
,State/Union Territory,Base: 2011-12,,,,,,
,,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
,Andaman & Nicobar Islands,86009,79526,86299,75185,100235,113550,-
,Andhra Pradesh,4050091,4212960,3757080,4009800,4958010,5276053,5831716
,Arunachal Pradesh,161625,139205,151999,117339,133090,162243,-
,Assam,1734164,1689170,1908355,1648633,2240317,2816285,2507902
,Bihar,2936682,3193017,3179579,2910749,3454088,4249188,4719381
,Chandigarh,116933,126885,123847,118252,137761,153506,-
,Chhattisgarh,1809386,2089019,2061911,1907769,2565650,2799256,3058181
,Delhi,1910245,2109287,2030945,1873890,2333467,2625497,2820180
,Goa,171443,166749,162788,149408,180367,208435,-
,Gujarat,4980819,5696399,5644415,7052927,7520178,8284380,-
,Haryana,3103563,3365913,3360489,3039935,3572363,3863942,4214625
,Himachal Pradesh,800153,822374,813089,773604,848480,908472,1025947
,Jammu & Kashmir*,752949,748043,775053,640288,724305,805949,847849
,Jharkhand,1563035,1661118,1666342,1526332,1900191,1994162,2193096
,Karnataka,5387818,5794779,5693694,5384703,6136729,6602924,7141303
,Kerala,5993034,6387080,6508831,5994443,6955622,7158403,7721492
,Madhya Pradesh,3702203,4253318,3942929,3665352,4375772,4681300,5095224
,Maharashtra,8800999,9051103,8961478,8326651,10612631,12215623,12973948
,Manipur,164880,98007,117319,86208,118227,131602,-
,Meghalaya,113287,110729,100009,90522,108011,118906,127643
,Mizoram,172035,153204,132246,146965,139488,160904,-
,Nagaland,122973,111520,106002,87310,104963,116854,-
,Odisha,2317010,2393553,2368289,2111865,2704854,3209015,3453824
,Puducherry,272350,286385,315539,256824,314103,365371,370841
,Punjab,2065523,2211507,2262983,2260330,2474493,2724058,2939108
,Rajasthan,4369020,4554083,4708296,4294144,4902822,5498103,5688784
,Sikkim,63968,65311,72732,62178,76212,92501,100437
,Tamil Nadu,10889420,11434974,11743272,11713945,12815627,13970952,15253759
,Telangana,2592049,2675569,2499646,2473131,3151726,3481662,4000327
,Tripura,195452,247156,186642,177922,211110,227456,244134
,Uttar Pradesh,9920724,10912927,11208434,10201641,12530812,13801650,14975694
,Uttarakhand,1158719,1245750,1230515,1155713,1324793,1520346,1728292
,West Bengal,5592284,5895912,6027443,5256977,6495834,6923451,7459936
,-: Not Available.,,,,,,,
,"* : For the years 2011-12 till 2018-19, figures relate to Jammu and Kashmir & Ladakh and for the years 2019-20 to 2023-24, relate to UT of Jammu and Kashmir.",,,,,,,
,"Source: National Statistical Office, Ministry of Statistics and Programme Implementation, Government of India.",,,,,,,
