Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,TABLE 29: GROSS STATE DOMESTIC PRODUCT,,,,,,,
,(Constant Prices) (Concld.),,,,,,,
,(₹ Lakh),,,,,,,
,State/Union Territory,Base: 2011-12,,,,,,
,,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
,Andaman & Nicobar Islands,646445,686699,726574,671487,708143,762070,-
,Andhra Pradesh,59473653,62661420,64981035,65967773,72272737,76468544,82089357
,Arunachal Pradesh,1557220,1666838,1914030,1843454,1859327,1879087,-
,Assam,21991938,23103956,24070724,24781923,25813969,28109288,31855859
,Bihar,34402783,38138253,39832923,36896986,38725556,42538392,46454045
,Chandigarh,2847968,2986579,3167934,2859329,3058180,3384213,-
,Chhattisgarh,22013569,24457916,25154906,25119230,28060929,30211868,32194473
,Delhi,54201502,56532692,58616836,53363448,58039591,62598118,67224666
,Goa,5265269,5306301,5481154,5260542,5316815,5443639,-
,Gujarat,108656973,118301975,126527733,124111783,136558743,146599753,-
,Haryana,48203615,53299604,54512396,49608734,54431672,58719769,63402656
,Himachal Pradesh,10940627,11641398,12122701,11595768,12476975,13337242,14280003
,Jammu & Kashmir*,10662414,11506196,11391908,11240016,11540239,12905463,13842233
,Jharkhand,21058730,22927447,23175539,21948331,24585559,26512143,28507000
,Karnataka,101972354,108510063,115139320,112494206,123537663,133505240,142322865
,Kerala,51618976,55422831,55919418,51170292,57198296,59623686,63513653
,Madhya Pradesh,49710165,54327196,56752504,54101572,58446991,62290790,66036335
,Maharashtra,188870619,195738075,204661365,185213247,204789126,224119556,241089766
,Manipur,1875074,1826222,1918718,1807340,1998122,2225572,-
,Meghalaya,2256433,2371885,2492339,2296691,2487569,2678907,2834232
,Mizoram,1475778,1610037,1788426,1642736,1766189,2017318,-
,Nagaland,1643983,1686771,1847679,1767309,1829215,2015430,-
,Odisha,36111668,38673286,39753042,38907923,45294734,48040223,52091085
,Puducherry,2231768,2620889,2641198,2413674,2461066,2578834,2676539
,Punjab,37540561,39701889,41329463,40726411,43737282,46507876,49588095
,Rajasthan,62802002,64327828,67831563,66596319,72558614,78228738,84511511
,Sikkim,1767336,1862497,1949204,1955700,2124027,2294796,2490231
,Tamil Nadu,112579344,120466736,124383550,124465002,134281685,145192890,157136819
,Telangana,55740976,60840139,64096810,60243515,66976946,72589834,79294060
,Tripura,3309278,3675396,3806335,3640386,3951628,4275766,4645535
,Uttar Pradesh,105639893,109735324,114163019,109037795,121487498,132425484,142335835
,Uttarakhand,18095612,18608274,18974039,16678625,18427385,19834055,21337819
,West Bengal,69498050,73892038,76179371,70404493,78743920,83980510,90408760
,-: Not Available.,,,,,,,
,"* : For the years 2011-12 till 2018-19, figures relate to Jammu and Kashmir & Ladakh and for the years 2019-20 to 2023-24, relate to UT of Jammu and Kashmir.",,,,,,,
,"Source: National Statistical Office, Ministry of Statistics and Programme Implementation, Government of India.",,,,,,,
