Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,TABLE 47: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - INDUSTRY,,,,,,,
,(Constant Prices) (Concld.),,,,,,,
,(₹ Lakh),,,,,,,
,State/Union Territory,Base: 2011-12,,,,,,
,,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
,Andaman & Nicobar Islands,137029,127688,138948,121895,125277,138790,-
,Andhra Pradesh,14732826,15200385,15137593,17993039,19425757,20632500,22287007
,Arunachal Pradesh,402194,398171,397414,341286,403285,474779,-
,Assam,8356989,8687325,8766241,8151757,11012648,12214401,12281173
,Bihar,6763566,7329941,7722502,7593141,8347199,9331497,10117862
,Chandigarh,283668,318848,309119,276243,279396,290132,-
,Chhattisgarh,9772387,11364441,11622812,12060963,14028916,15104420,16181231
,Delhi,7263133,7721762,7818356,7760360,8264868,8366345,8888553
,Goa,2864474,2861645,2878062,2829642,2847396,2657654,-
,Gujarat,47162997,52397630,55117792,53800584,58953516,61183040,-
,Haryana,13819085,15617934,15234713,14106432,16064459,17297856,18537983
,Himachal Pradesh,4971968,5336799,5314933,5089904,5560048,5841858,6382567
,Jammu & Kashmir*,2792200,2867318,2820320,2903597,2850493,3112110,3300021
,Jharkhand,7760856,9077613,8702364,8305992,10175088,10792875,11413439
,Karnataka,24914373,26577380,25702146,25571599,28422133,29498294,31712840
,Kerala,13321594,13322170,13455277,13304238,14444962,14917705,15526414
,Madhya Pradesh,13074838,15706921,14185537,13252673,14597265,15444273,16619754
,Maharashtra,57211024,58038217,54977569,52130533,57594188,60765211,65375442
,Manipur,283582,194601,200089,173750,209863,233740,-
,Meghalaya,454055,436585,447592,396751,480349,503197,530522
,Mizoram,385942,426931,435482,440151,493809,574350,-
,Nagaland,210359,206573,216777,190299,212674,230500,-
,Odisha,15244684,17067231,15882860,16814752,20987415,22147790,23916083
,Puducherry,932895,1372084,1281705,1224561,1089128,1143736,1160405
,Punjab,8663993,9099214,9305972,9608497,10699505,11474158,12286528
,Rajasthan,19188640,16599750,17335022,17799368,19485273,20715584,23289519
,Sikkim,1066000,1135718,1123970,1167893,1305570,1400353,1522022
,Tamil Nadu,38116505,41011132,41202534,40775477,44815648,48932332,52480713
,Telangana,12370500,14243387,13786534,13546300,14867855,14779662,16474793
,Tripura,866507,972978,868845,836572,987392,1120818,1245122
,Uttar Pradesh,30507863,30684476,30884842,30339537,34295351,36368837,41346380
,Uttarakhand,8986258,9042514,8955222,7811560,8657389,9345250,10188527
,West Bengal,18628587,20875835,21017638,20583259,23744557,25164141,26914704
,-: Not Available.,,,,,,,
,"* : For the years 2011-12 till 2018-19, figures relate to Jammu and Kashmir & Ladakh and for the years 2019-20 to 2023-24, relate to UT of Jammu and Kashmir.",,,,,,,
,"Source: National Statistical Office, Ministry of Statistics and Programme Implementation, Government of India.",,,,,,,
