Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 38: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - MANUFACTURING,,,,,,
,(Current Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2004-05,,,,,
,,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
,Andaman & Nicobar Islands,3469,3778,4596,4973,4012,-
,Andhra Pradesh,2648972,2957768,3943522,3877944,4157083,4575797
,Arunachal Pradesh,14574,17415,19478,20369,23209,26943
,Assam,772464,1021453,1061466,1062523,1131625,1248806
,Bihar,828093,1104579,1081805,1175089,1275006,1380804
,Chandigarh,107602,115826,126120,131059,133967,-
,Chhattisgarh,1707247,1729781,1738748,2091481,2295841,2524020
,Delhi,1199742,1493900,1597634,1755404,1882947,2023714
,Goa,716616,759297,1373266,1478958,1555677,-
,Gujarat,12693700,13502831,15320228,16995530,18236120,-
,Haryana,4275333,4878675,5212784,5721845,6044695,6456310
,Himachal Pradesh,881442,1106782,1272103,1344011,1438563,-
,Jammu & Kashmir,357136,392851,464277,499638,539518,542439
,Jharkhand,1985066,2649975,2427211,2592790,2695820,2808321
,Karnataka,5529466,6262942,7000882,7464415,8031785,8602054
,Kerala,1756980,2047096,2242856,2407915,2604175,-
,Madhya Pradesh,2877484,3022513,3376921,3643319,3812125,3988036
,Maharashtra,17995944,22084042,22826735,25835880,27323137,28393340
,Manipur,38962,45874,52581,57240,58707,-
,Meghalaya,70689,95253,114443,125315,130095,151544
,Mizoram,6040,6946,7727,8642,10035,-
,Nagaland,27809,21811,25881,27640,30417,33656
,Odisha,2130547,2463985,2722663,2782878,2874230,2987750
,Puducherry,464855,446240,473761,504630,583618,698573
,Punjab,3439324,3959501,4207755,4573776,4969995,5367744
,Rajasthan,3594075,3643540,5608175,5963513,5884610,6161266
,Sikkim,181116,288848,352555,389781,441336,-
,Tamil Nadu,9481731,11276889,12271929,13126060,14125854,14886300
,Telangana,2690477,3731554,4279860,4283042,4476731,4951959
,Tripura,47105,62411,59370,63619,69296,-
,Uttar Pradesh,6538726,7523203,7989038,8545868,8942911,9418673
,Uttarakhand,1610496,1935711,2305115,2438447,2713767,2977780
,West Bengal,4115393,4634805,4867283,5249741,5804235,6211862
