Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 50: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - BANKING AND INSURANCE,,,,,,
,(Current Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2004-05,,,,,
,,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
,Andaman & Nicobar Islands,7560,9783,13310,11871,12661,-
,Andhra Pradesh,1232238,1547355,1291823,1454565,1592266,1775161
,Arunachal Pradesh,16020,18678,23489,24044,27221,30221
,Assam,296680,383776,453645,490413,520973,598879
,Bihar,493502,636273,767209,943380,1160004,1426371
,Chandigarh,254110,293011,305448,349890,400798,-
,Chhattisgarh,276052,375004,483290,599703,633516,727675
,Delhi,3639965,4483488,5235522,5914311,6523452,7179025
,Goa,132929,154585,182426,204323,228848,-
,Gujarat,1869800,2379018,2790274,3327324,3766448,-
,Haryana,662709,895184,1095293,1256550,1405714,1592674
,Himachal Pradesh,161242,220287,247196,281762,349057,-
,Jammu & Kashmir,173855,207061,245532,286430,325380,343276
,Jharkhand,276305,364727,406629,471674,550262,641944
,Karnataka,1997937,2271773,2663942,3044474,3635703,4171136
,Kerala,1127933,1373636,1573711,1811439,2122131,-
,Madhya Pradesh,870406,1162576,1467100,1644186,1850169,2031445
,Maharashtra,8930589,10940841,12639106,14046493,16235853,18756949
,Manipur,15604,21782,26728,29144,30925,-
,Meghalaya,30494,42869,54902,55280,58160,68348
,Mizoram,13544,15072,19135,19233,19332,-
,Nagaland,17988,23851,28406,38774,47251,57580
,Odisha,517251,701435,820243,945852,1076378,1221033
,Puducherry,42476,46079,56497,61833,67777,97269
,Punjab,895032,1146251,1530606,1770103,2133768,2599388
,Rajasthan,906351,1143246,1362761,1530353,1834893,2106457
,Sikkim,10742,14177,15940,18292,20991,-
,Tamil Nadu,2764759,3413800,3892008,4473545,5141974,5813002
,Telangana,936114,1196447,1926947,2169700,2375103,2832246
,Tripura,35568,48400,57118,62375,79216,-
,Uttar Pradesh,1927635,2399625,2756547,3002794,3486171,4054416
,Uttarakhand,204636,268745,300697,335149,374272,417558
,West Bengal,2210891,2633190,3395669,3820359,4244419,4566146
