Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,TABLE 53: NET STATE VALUE ADDED BY ECONOMIC ACTIVITY - BANKING AND INSURANCE,,,,,
,(Constant Prices),,,,,
,(₹ Lakh),,,,,
,State/Union Territory,Base: 2004-05,,,,
,,2004-05,2005-06,2006-07,2007-08,2008-09
,Andaman & Nicobar Islands,3580,3864,4602,5700,6127
,Andhra Pradesh,587454,674770,814643,991608,1196204
,Arunachal Pradesh,7377,9068,10212,13586,14255
,Assam,158850,177975,217255,248612,278135
,Bihar,254054,289353,346152,386183,415142
,Chandigarh,95423,111605,140592,159082,211314
,Chhattisgarh,109306,132238,171152,196172,226694
,Delhi,1604252,1800417,2273736,2674892,3052345
,Goa,66929,75261,94097,110364,123961
,Gujarat,1113100,1315800,1519100,1765500,1939900
,Haryana,297988,370123,454794,542256,606690
,Himachal Pradesh,71855,86313,112188,130450,132530
,Jammu & Kashmir,96705,111231,113600,135796,170197
,Jharkhand,134787,154884,191716,225918,241575
,Karnataka,1003298,1166413,1400382,1664870,1919887
,Kerala,594202,707455,828586,959981,1076139
,Madhya Pradesh,402691,477024,572631,645878,760780
,Maharashtra,4649880,5408113,6460245,7612821,8751278
,Manipur,9009,9771,11573,13023,12938
,Meghalaya,17277,20160,22594,24657,27385
,Mizoram,7154,8163,9761,11156,12312
,Nagaland,8207,9925,13478,16082,15864
,Odisha,247392,285485,341375,402532,471497
,Puducherry,18680,22473,29313,33861,37247
,Punjab,430621,503127,631468,715092,812614
,Rajasthan,424978,501856,634851,732480,862347
,Sikkim,4406,5540,7149,8671,9118
,Tamil Nadu,1558292,1834640,2187685,2564910,2828211
,Telangana,399320,462802,576201,723076,901076
,Tripura,15753,20729,24782,27979,30187
,Uttar Pradesh,938977,1081096,1326719,1487575,1725283
,Uttarakhand,92020,111642,135377,160593,188327
,West Bengal,1277501,1462326,1758555,2051368,2153637
