Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 39: GROSS STATE VALUE ADDED BY ECONOMIC ACTIVITY - MANUFACTURING,,,,,,
,(Constant Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2004-05,,,,,
,,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
,Andaman & Nicobar Islands,2653,2712,3142,3242,2638,-
,Andhra Pradesh,2079500,2171642,2737058,2545373,2598092,2770573
,Arunachal Pradesh,10828,12229,12727,12580,13367,14452
,Assam,561978,593301,617650,638696,661153,690500
,Bihar,626969,769756,698976,711738,737608,777520
,Chandigarh,84704,85562,84032,82732,83009,-
,Chhattisgarh,1327348,1259171,1163183,1311349,1378898,1452657
,Delhi,943373,1082889,1062562,1110225,1116013,1133172
,Goa,525155,567830,583044,594842,615322,-
,Gujarat,10252600,10323691,10499343,11028795,11146772,-
,Haryana,2957673,3195583,3279266,3427092,3503220,3631248
,Himachal Pradesh,618546,689363,738853,762293,781973,-
,Jammu & Kashmir,281953,289900,306845,325501,347638,348441
,Jharkhand,1577308,1928972,1669151,1780834,1837835,1832612
,Karnataka,4431447,4707397,4886093,4932216,5089577,5252087
,Kerala,1348502,1507836,1576361,1603444,1632153,-
,Madhya Pradesh,2276746,2270587,2357116,2399811,2393963,2427454
,Maharashtra,14119058,16058366,15383619,17059707,17485491,17571024
,Manipur,33402,34694,37157,38775,38606,-
,Meghalaya,62724,69922,71323,80136,89089,97450
,Mizoram,5047,5381,7170,8242,9741,-
,Nagaland,21105,16293,17814,18539,19358,20271
,Odisha,1710924,1801587,1818176,1754995,1792964,1868091
,Puducherry,368731,337561,337286,343311,352258,359940
,Punjab,2787864,3041061,3134808,3197216,3272740,3346798
,Rajasthan,2831974,2692417,3971375,4008860,3992885,4032325
,Sikkim,125173,177714,201281,201727,207366,-
,Tamil Nadu,7613374,8550826,8671985,8769196,9170850,9407294
,Telangana,2156506,2815044,3039091,2892590,2894970,3105319
,Tripura,39740,48772,42511,45232,47343,-
,Uttar Pradesh,5165847,5595168,5541086,5620101,5685650,5734169
,Uttarakhand,1287154,1466158,1621439,1816004,2029652,2274886
,West Bengal,3242074,3447911,3336228,3449397,3736959,3852104
