Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,TABLE 40: NET STATE VALUE ADDED BY ECONOMIC ACTIVITY - MANUFACTURING,,,,,,
,(Current Prices) (Contd.),,,,,,
,(₹ Lakh),,,,,,
,State/Union Territory,Base: 2004-05,,,,,
,,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
,Andaman & Nicobar Islands,2531,2764,3491,3821,3130,-
,Andhra Pradesh,1962434,2199067,2579386,2308567,2475670,2740521
,Arunachal Pradesh,14289,17105,19136,20010,22800,26469
,Assam,602884,837014,819676,736294,751056,788422
,Bihar,689335,950562,897115,952790,1035145,1122783
,Chandigarh,99725,107997,117286,120842,123856,-
,Chhattisgarh,1176667,1199789,1049306,1167327,1195841,1233625
,Delhi,1045114,1324368,1418505,1570466,1658166,1781779
,Goa,615722,665041,1247910,1306978,1318425,-
,Gujarat,9826200,10525036,11121488,12546662,13422033,-
,Haryana,3472295,3903595,4213173,4684740,4847845,5176295
,Himachal Pradesh,624888,741097,834663,854856,887957,-
,Jammu & Kashmir,256182,292084,346833,362100,410573,412853
,Jharkhand,1516619,1810345,1584627,1697609,1898607,1951646
,Karnataka,4070103,4670789,5181700,5337784,6056879,6524522
,Kerala,1396171,1634938,1793298,1924023,2080634,-
,Madhya Pradesh,2398296,2336309,2633369,2821396,2912362,3003009
,Maharashtra,14847107,18508235,19025457,21710647,23020977,23922671
,Manipur,31974,38081,43986,48161,49395,-
,Meghalaya,44564,61041,73387,81781,89722,106876
,Mizoram,4015,4744,5296,6092,7505,-
,Nagaland,22746,18328,22265,23995,26424,29116
,Odisha,739334,795396,883149,915505,946180,979287
,Puducherry,413371,397382,412119,424886,503874,618829
,Punjab,2912238,3358549,3518804,3834074,4150978,4478303
,Rajasthan,2939296,2859760,4805646,5130175,5062307,5300258
,Sikkim,167406,272402,336546,372083,421331,-
,Tamil Nadu,7246956,8846712,9680379,10311328,11096727,11694105
,Telangana,1934060,2677118,2608756,2604591,2713498,2996763
,Tripura,33733,52765,50129,54729,61874,-
,Uttar Pradesh,5196264,6080604,6375323,6724789,7035725,7410025
,Uttarakhand,1132958,1412765,1733579,1795456,1997935,2192283
,West Bengal,3049511,3571970,3642717,3817305,4266157,4557428
