Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,TABLE 53: NET STATE VALUE ADDED BY ECONOMIC ACTIVITY - BANKING AND INSURANCE,,,,,,,
,(Constant Prices) (Concld.),,,,,,,
,(₹ Lakh),,,,,,,
,State/Union Territory,Base: 2011-12,,,,,,
,,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
,Andaman & Nicobar Islands,15702,16650,15835,16452,19082,19819,-
,Andhra Pradesh,2105997,2610245,2736257,2988549,2988613,3447561,3686444
,Arunachal Pradesh,23792,30077,34432,32203,17987,26652,-
,Assam,672579,680134,754883,569156,767957,817096,638095
,Bihar,1313963,1790717,1863049,1881084,1838622,1937662,2086924
,Chandigarh,318859,382919,394329,396420,392895,365058,-
,Chhattisgarh,726866,682873,739746,760606,728710,786585,842056
,Delhi,6887399,7251302,7177629,7325061,7315446,7358542,7571704
,Goa,231565,196102,193465,261181,167433,213026,-
,Gujarat,5086519,5777674,6136760,6751207,6461102,6538891,-
,Haryana,1660365,2043504,2160858,2334426,2324701,2829358,2913521
,Himachal Pradesh,316212,318329,331808,337213,334402,338749,356026
,Jammu & Kashmir*,342925,361848,395422,429974,403329,432456,457322
,Jharkhand,612920,610395,647286,664312,654940,717586,906180
,Karnataka,4632325,4836354,4902554,5506616,5393930,6170896,6719609
,Kerala,2153266,2552054,2611291,2693153,2795194,2888294,3059303
,Madhya Pradesh,2050343,2178004,2289404,2321301,2211214,2436423,2616626
,Maharashtra,17531616,17859042,18449515,18866873,19671187,22371158,24387537
,Manipur,36825,45539,51499,52852,54688,60502,-
,Meghalaya,68849,59023,66648,68367,66718,67778,70163
,Mizoram,25875,30600,32514,34046,35321,36814,-
,Nagaland,51608,54735,52709,65011,132773,126937,-
,Odisha,1126984,1184551,1270809,1314388,1314197,1410504,1651143
,Puducherry,85457,76647,82975,90362,79027,92529,108504
,Punjab,1853396,1955333,2054224,2041693,2109392,2179336,2249741
,Rajasthan,2459117,2687086,2849263,3029586,3067555,3493008,3786421
,Sikkim,23512,25181,31512,33791,27554,32654,35236
,Tamil Nadu,6251278,6482646,6681412,7119746,7130578,7458201,8150820
,Telangana,3435938,3442332,3476376,3590555,3599769,3661718,3943104
,Tripura,114823,92125,107381,106374,108040,106060,115823
,Uttar Pradesh,4016236,4096746,4268103,4350751,4429650,4688634,4454734
,Uttarakhand,447682,460851,479839,557630,558902,598894,651636
,West Bengal,3992632,3991783,4122255,4322405,4349933,3542349,3832053
,-: Not Available.,,,,,,,
,"* : For the years 2011-12 till 2018-19, figures relate to Jammu and Kashmir & Ladakh and for the years 2019-20 to 2023-24, relate to UT of Jammu and Kashmir.",,,,,,,
,"Source: National Statistical Office, Ministry of Statistics and Programme Implementation, Government of India.",,,,,,,
