place_name,dcid,region,country
TR71,nuts/TR71,Central Anatolia - Middle,Türkiye
TR72,nuts/TR72,Central Anatolia - East,Türkiye
TR81,nuts/TR81,Western Black Sea - West,Türkiye
TR82,nuts/TR82,Western Black Sea - Middle and East,Türkiye
TR83,nuts/TR83,Middle Black Sea,Türkiye
TR90,nuts/TR90,Eastern Black Sea,Türkiye
TRA1,nuts/TRA1,Northeastern Anatolia - West,Türkiye
TRA2,nuts/TRA2,Northeastern Anatolia - East,Türkiye
TRB1,nuts/TRB1,Eastern Anatolia - West,Türkiye
TRB2,nuts/TRB2,Eastern Anatolia - East,Türkiye
TRC1,nuts/TRC1,Southeastern Anatolia - West,Türkiye
TRC2,nuts/TRC2,Southeastern Anatolia - Middle,Türkiye
TRC3,nuts/TRC3,Southeastern Anatolia - East,Türkiye
GBR,country/GBR,United Kingdom,United Kingdom
UKC,nuts/UKC,North East England,United Kingdom
UKD,nuts/UKD,North West England,United Kingdom
UKE,nuts/UKE,Yorkshire and The Humber,United Kingdom
UKF,nuts/UKF,East Midlands,United Kingdom
UKG,nuts/UKG,West Midlands,United Kingdom
UKH,nuts/UKH,East of England,United Kingdom
UKI,nuts/UKI,Greater London,United Kingdom
UKJ,nuts/UKJ,South East England,United Kingdom
UKK,nuts/UKK,South West England,United Kingdom
UKL,nuts/UKL,Wales,United Kingdom
UKM,nuts/UKM,Scotland,United Kingdom
UKN,nuts/UKN,Northern Ireland,United Kingdom
UKI7,nuts/UKI7,Outer London - West and North West,United Kingdom
UKG2,nuts/UKG2,Shropshire and Staffordshire,United Kingdom
UKI3,nuts/UKI3,Inner London - West,United Kingdom
UKF3,nuts/UKF3,Lincolnshire,United Kingdom
UKK1,nuts/UKK1,Gloucestershire Wiltshire and Bristol/Bath Area,United Kingdom
UKM6,nuts/UKM6,Highlands And Islands,United Kingdom
UKD4,nuts/UKD4,Lancashire,United Kingdom
UKG3,nuts/UKG3,West Midlands,United Kingdom
UKM9,nuts/UKM9,Southern Scotland  (NUTS2016),United Kingdom
UKF2,nuts/UKF2,"Leicestershire, Rutland and Northamptonshire",United Kingdom
UKM8,nuts/UKM8,West Central Scotland  (NUTS2016),United Kingdom
UKM7,nuts/UKM7,Eastern Scotland (NUTS2016),United Kingdom
UKE2,nuts/UKE2,North Yorkshire,United Kingdom
UKJ2,nuts/UKJ2,Surrey East And West Sussex,United Kingdom
UKM2,nuts/UKM2,Eastern Scotland (nuts2013),United Kingdom
UKM3,nuts/UKM3,South Western Scotland (nuts2013),United Kingdom
UKH2,nuts/UKH2,Bedfordshire and Hertfordshire,United Kingdom
UKK2,nuts/UKK2,Dorset And Somerset,United Kingdom
UKL1,nuts/UKL1,West Wales And The Valleys,United Kingdom
UKK3,nuts/UKK3,Cornwall And Isles Of Scilly,United Kingdom
UKF1,nuts/UKF1,Derbyshire And Nottinghamshire,United Kingdom
UKD6,nuts/UKD6,Cheshire,United Kingdom
UKJ3,nuts/UKJ3,Hampshire And Isle Of Wight,United Kingdom
UKE1,nuts/UKE1,East Yorkshire And Northern Lincolnshire,United Kingdom
UKL2,nuts/UKL2,East Wales,United Kingdom
UKJ4,nuts/UKJ4,Kent,United Kingdom
UKC2,nuts/UKC2,Northumberland and Tyne And Wear,United Kingdom
UKI6,nuts/UKI6,Outer London - South,United Kingdom
UKD1,nuts/UKD1,Cumbria,United Kingdom
UKE3,nuts/UKE3,South Yorkshire,United Kingdom
UKE4,nuts/UKE4,West Yorkshire,United Kingdom
UKI4,nuts/UKI4,Inner London - East,United Kingdom
UKM5,nuts/UKM5,North Eastern Scotland,United Kingdom
UKK4,nuts/UKK4,Devon,United Kingdom
UKI5,nuts/UKI5,Outer London,United Kingdom
UKG1,nuts/UKG1,"Herefordshire, Worcestershire and Warwickshire",United Kingdom
UKH1,nuts/UKH1,East Anglia,United Kingdom
UKC1,nuts/UKC1,Tees Valley and Durham,United Kingdom
UKD3,nuts/UKD3,Greater Manchester,United Kingdom
UKH3,nuts/UKH3,Essex,United Kingdom
UKN0,nuts/UKN0,Northern Ireland,United Kingdom
UKD7,nuts/UKD7,Merseyside,United Kingdom
UKJ1,nuts/UKJ1,Berkshire Buckinghamshire and Oxfordshire,United Kingdom
USA,country/USA,United States,United States
US01,geoId/01,Alabama,United States
US02,geoId/02,Alaska,United States
US04,geoId/04,Arizona,United States
US05,geoId/05,Arkansas,United States
US06,geoId/06,California,United States
US08,geoId/08,Colorado,United States
US09,geoId/09,Connecticut,United States
US10,geoId/10,Delaware,United States
US11,geoId/11,District of Columbia,United States
US12,geoId/12,Florida,United States
US13,geoId/13,Georgia,United States
US15,geoId/15,Hawaii,United States
US16,geoId/16,Idaho,United States
US17,geoId/17,Illinois,United States
US18,geoId/18,Indiana,United States
US19,geoId/19,Iowa,United States
US20,geoId/20,Kansas,United States
US21,geoId/21,Kentucky,United States
US22,geoId/22,Louisiana,United States
US23,geoId/23,Maine,United States
US24,geoId/24,Maryland,United States
US25,geoId/25,Massachusetts,United States
US26,geoId/26,Michigan,United States
US27,geoId/27,Minnesota,United States
US28,geoId/28,Mississippi,United States
US29,geoId/29,Missouri,United States
US30,geoId/30,Montana,United States
US31,geoId/31,Nebraska,United States
US32,geoId/32,Nevada,United States
US33,geoId/33,New Hampshire,United States
US34,geoId/34,New Jersey,United States
US35,geoId/35,New Mexico,United States
US36,geoId/36,New York,United States
US37,geoId/37,North Carolina,United States
US38,geoId/38,North Dakota,United States
US39,geoId/39,Ohio,United States
US40,geoId/40,Oklahoma,United States
US41,geoId/41,Oregon,United States
US42,geoId/42,Pennsylvania,United States
US44,geoId/44,Rhode Island,United States
US45,geoId/45,South Carolina,United States
US46,geoId/46,South Dakota,United States
US47,geoId/47,Tennessee,United States
US48,geoId/48,Texas,United States
US49,geoId/49,Utah,United States
US50,geoId/50,Vermont,United States
US51,geoId/51,Virginia,United States
US53,geoId/53,Washington,United States
US54,geoId/54,West Virginia,United States
US55,geoId/55,Wisconsin,United States
US56,geoId/56,Wyoming,United States
