observationAbout,observationDate,variableMeasured,value,unit,scalingFactor,observationPeriod,measurementMethod
country/NGA,2011-06,dcid:Quarterly_Amount_EconomicActivity_Agriculture,3000700400000,NGN,,P3M,CurrentBasicPrices1960To2017
country/NGA,2011-09,dcid:Quarterly_Amount_EconomicActivity_Agriculture,4283257920000,NGN,,P3M,CurrentBasicPrices1960To2017
country/NGA,2011-12,dcid:Quarterly_Amount_EconomicActivity_Agriculture,3985401800000,NGN,,P3M,CurrentBasicPrices1960To2017
country/NGA,2012-03,dcid:Quarterly_Amount_EconomicActivity_Agriculture,3107507800000,NGN,,P3M,CurrentBasicPrices1960To2017
country/NGA,2012-06,dcid:Quarterly_Amount_EconomicActivity_Agriculture,3309863630000,NGN,,P3M,CurrentBasicPrices1960To2017
country/NGA,2012-09,dcid:Quarterly_Amount_EconomicActivity_Agriculture,4676895980000,NGN,,P3M,CurrentBasicPrices1960To2017
country/NGA,2012-12,dcid:Quarterly_Amount_EconomicActivity_Agriculture,4721730110000,NGN,,P3M,CurrentBasicPrices1960To2017
country/NGA,2013-03,dcid:Quarterly_Amount_EconomicActivity_Agriculture,3286113310000,NGN,,P3M,CurrentBasicPrices1960To2017
country/NGA,2013-06,dcid:Quarterly_Amount_EconomicActivity_Agriculture,3511130840000,NGN,,P3M,CurrentBasicPrices1960To2017
country/NGA,2013-09,dcid:Quarterly_Amount_EconomicActivity_Agriculture,4992204690000,NGN,,P3M,CurrentBasicPrices1960To2017
country/NGA,2013-12,dcid:Quarterly_Amount_EconomicActivity_Agriculture,5027104170000,NGN,,P3M,CurrentBasicPrices1960To2017
country/NGA,2014-03,dcid:Quarterly_Amount_EconomicActivity_Agriculture,3479964460000,NGN,,P3M,CurrentBasicPrices1960To2017
