INDICATORS,ID_INDICATORS,CODE-2_INDICATORS,DESCRIPTION_INDICATORS,FULLNAME_INDICATORS,SEX,ID_SEX,CODE-2_SEX,FREQ,TIME_PERIOD,OBS_VALUE
6779019,6779019,1,,ACCOUNTANCY,6770319,6770319,1,A,2010,2861
6779019,6779019,1,,ACCOUNTANCY,6770319,6770319,1,A,2011,2436
6779019,6779019,1,,ACCOUNTANCY,6770419,6770419,2,A,2010,1927
6779019,6779019,1,,ACCOUNTANCY,6770419,6770419,2,A,2011,1725
6779019,6779019,1,,ACCOUNTANCY,6771319,6771319,3,A,2010,4788
6779019,6779019,1,,ACCOUNTANCY,6771319,6771319,3,A,2011,4161
6772019,6772019,2,,AGRIC ENGINEERING TECHNOLOGY,6770319,6770319,1,A,2010,354
6772019,6772019,2,,AGRIC ENGINEERING TECHNOLOGY,6770319,6770319,1,A,2011,150
6772019,6772019,2,,AGRIC ENGINEERING TECHNOLOGY,6770419,6770419,2,A,2010,57
6772019,6772019,2,,AGRIC ENGINEERING TECHNOLOGY,6770419,6770419,2,A,2011,44
6772019,6772019,2,,AGRIC ENGINEERING TECHNOLOGY,6771319,6771319,3,A,2010,411
6772019,6772019,2,,AGRIC ENGINEERING TECHNOLOGY,6771319,6771319,3,A,2011,194
6772119,6772119,3,,AGRIC ENGR (FARM POWER MACHINE),6770319,6770319,1,A,2010,107
6772119,6772119,3,,AGRIC ENGR (FARM POWER MACHINE),6770319,6770319,1,A,2011,72
6772119,6772119,3,,AGRIC ENGR (FARM POWER MACHINE),6770419,6770419,2,A,2010,4
6772119,6772119,3,,AGRIC ENGR (FARM POWER MACHINE),6770419,6770419,2,A,2011,2
6772119,6772119,3,,AGRIC ENGR (FARM POWER MACHINE),6771319,6771319,3,A,2010,111
6772119,6772119,3,,AGRIC ENGR (FARM POWER MACHINE),6771319,6771319,3,A,2011,74
6772219,6772219,4,,AGRIC TECHNOLOGY(POST HARVEST),6770319,6770319,1,A,2010,5
6772219,6772219,4,,AGRIC TECHNOLOGY(POST HARVEST),6770319,6770319,1,A,2011,6
6772219,6772219,4,,AGRIC TECHNOLOGY(POST HARVEST),6770419,6770419,2,A,2010,6
6772219,6772219,4,,AGRIC TECHNOLOGY(POST HARVEST),6770419,6770419,2,A,2011,3
6772219,6772219,4,,AGRIC TECHNOLOGY(POST HARVEST),6771319,6771319,3,A,2010,11
6772219,6772219,4,,AGRIC TECHNOLOGY(POST HARVEST),6771319,6771319,3,A,2011,9
6772319,6772319,5,,AGRICULTURAL ENGINEERING TECHNOLOGY (SOILl,6770319,6770319,1,A,2010,22
6772319,6772319,5,,AGRICULTURAL ENGINEERING TECHNOLOGY (SOILl,6770319,6770319,1,A,2011,10
6772319,6772319,5,,AGRICULTURAL ENGINEERING TECHNOLOGY (SOILl,6770419,6770419,2,A,2010,0
6772319,6772319,5,,AGRICULTURAL ENGINEERING TECHNOLOGY (SOILl,6770419,6770419,2,A,2011,0
6772319,6772319,5,,AGRICULTURAL ENGINEERING TECHNOLOGY (SOILl,6771319,6771319,3,A,2010,22
6772319,6772319,5,,AGRICULTURAL ENGINEERING TECHNOLOGY (SOILl,6771319,6771319,3,A,2011,10
6772419,6772419,6,,ARCHITECTURAL TECH,6770319,6770319,1,A,2010,1062
6772419,6772419,6,,ARCHITECTURAL TECH,6770319,6770319,1,A,2011,681
6772419,6772419,6,,ARCHITECTURAL TECH,6770419,6770419,2,A,2010,106
6772419,6772419,6,,ARCHITECTURAL TECH,6770419,6770419,2,A,2011,96
6772419,6772419,6,,ARCHITECTURAL TECH,6771319,6771319,3,A,2010,1168
6772419,6772419,6,,ARCHITECTURAL TECH,6771319,6771319,3,A,2011,777
6772519,6772519,7,,ART & INDUSTRIAL DESIGN (PAINTING),6770319,6770319,1,A,2010,33
6772519,6772519,7,,ART & INDUSTRIAL DESIGN (PAINTING),6770319,6770319,1,A,2011,44
6772519,6772519,7,,ART & INDUSTRIAL DESIGN (PAINTING),6770419,6770419,2,A,2010,8
6772519,6772519,7,,ART & INDUSTRIAL DESIGN (PAINTING),6770419,6770419,2,A,2011,9
6772519,6772519,7,,ART & INDUSTRIAL DESIGN (PAINTING),6771319,6771319,3,A,2010,41
6772519,6772519,7,,ART & INDUSTRIAL DESIGN (PAINTING),6771319,6771319,3,A,2011,53
6772619,6772619,8,,ART AND INDUSTRAIL DESIGN(GRAPHICS),6770319,6770319,1,A,2010,12
6772619,6772619,8,,ART AND INDUSTRAIL DESIGN(GRAPHICS),6770319,6770319,1,A,2011,9
6772619,6772619,8,,ART AND INDUSTRAIL DESIGN(GRAPHICS),6770419,6770419,2,A,2010,0
6772619,6772619,8,,ART AND INDUSTRAIL DESIGN(GRAPHICS),6770419,6770419,2,A,2011,0
6772619,6772619,8,,ART AND INDUSTRAIL DESIGN(GRAPHICS),6771319,6771319,3,A,2010,12
6772619,6772619,8,,ART AND INDUSTRAIL DESIGN(GRAPHICS),6771319,6771319,3,A,2011,9
6772719,6772719,9,,ART AND INDUSTRIAL DESIGN,6770319,6770319,1,A,2010,18
6772719,6772719,9,,ART AND INDUSTRIAL DESIGN,6770319,6770319,1,A,2011,13
6772719,6772719,9,,ART AND INDUSTRIAL DESIGN,6770419,6770419,2,A,2010,7
6772719,6772719,9,,ART AND INDUSTRIAL DESIGN,6770419,6770419,2,A,2011,3
6772719,6772719,9,,ART AND INDUSTRIAL DESIGN,6771319,6771319,3,A,2010,25
6772719,6772719,9,,ART AND INDUSTRIAL DESIGN,6771319,6771319,3,A,2011,16
6772819,6772819,10,,BANKING AND FINANCE,6770319,6770319,1,A,2010,258
6772819,6772819,10,,BANKING AND FINANCE,6770319,6770319,1,A,2011,167
6772819,6772819,10,,BANKING AND FINANCE,6770419,6770419,2,A,2010,68
6772819,6772819,10,,BANKING AND FINANCE,6770419,6770419,2,A,2011,60
6772819,6772819,10,,BANKING AND FINANCE,6771319,6771319,3,A,2010,326
6772819,6772819,10,,BANKING AND FINANCE,6771319,6771319,3,A,2011,227
6772919,6772919,11,,BANKING OPERATIONS,6770319,6770319,1,A,2010,658
6772919,6772919,11,,BANKING OPERATIONS,6770319,6770319,1,A,2011,573
6772919,6772919,11,,BANKING OPERATIONS,6770419,6770419,2,A,2010,738
6772919,6772919,11,,BANKING OPERATIONS,6770419,6770419,2,A,2011,651
6772919,6772919,11,,BANKING OPERATIONS,6771319,6771319,3,A,2010,1396
6772919,6772919,11,,BANKING OPERATIONS,6771319,6771319,3,A,2011,1224
6773019,6773019,12,,BUILDING TECHNOLOGY,6770319,6770319,1,A,2010,95
6773019,6773019,12,,BUILDING TECHNOLOGY,6770319,6770319,1,A,2011,59
6773019,6773019,12,,BUILDING TECHNOLOGY,6770419,6770419,2,A,2010,49
6773019,6773019,12,,BUILDING TECHNOLOGY,6770419,6770419,2,A,2011,44
6773019,6773019,12,,BUILDING TECHNOLOGY,6771319,6771319,3,A,2010,144
6773019,6773019,12,,BUILDING TECHNOLOGY,6771319,6771319,3,A,2011,103
6773119,6773119,13,,BUSINESS ADMIN & MGT,6770319,6770319,1,A,2010,1052
6773119,6773119,13,,BUSINESS ADMIN & MGT,6770319,6770319,1,A,2011,817
6773119,6773119,13,,BUSINESS ADMIN & MGT,6770419,6770419,2,A,2010,108
6773119,6773119,13,,BUSINESS ADMIN & MGT,6770419,6770419,2,A,2011,112
6773119,6773119,13,,BUSINESS ADMIN & MGT,6771319,6771319,3,A,2010,1160
6773119,6773119,13,,BUSINESS ADMIN & MGT,6771319,6771319,3,A,2011,929
6773219,6773219,14,,CERAMIC TECHNOLOGY,6770319,6770319,1,A,2010,1648
6773219,6773219,14,,CERAMIC TECHNOLOGY,6770319,6770319,1,A,2011,1963
6773219,6773219,14,,CERAMIC TECHNOLOGY,6770419,6770419,2,A,2010,1268
6773219,6773219,14,,CERAMIC TECHNOLOGY,6770419,6770419,2,A,2011,1466
6773219,6773219,14,,CERAMIC TECHNOLOGY,6771319,6771319,3,A,2010,2916
6773219,6773219,14,,CERAMIC TECHNOLOGY,6771319,6771319,3,A,2011,3429
6773319,6773319,15,,CHEMICAL ENGINEERING TECHNOLOGY,6770319,6770319,1,A,2010,12
6773319,6773319,15,,CHEMICAL ENGINEERING TECHNOLOGY,6770319,6770319,1,A,2011,8
6773319,6773319,15,,CHEMICAL ENGINEERING TECHNOLOGY,6770419,6770419,2,A,2010,0
6773319,6773319,15,,CHEMICAL ENGINEERING TECHNOLOGY,6770419,6770419,2,A,2011,2
6773319,6773319,15,,CHEMICAL ENGINEERING TECHNOLOGY,6771319,6771319,3,A,2010,12
6773319,6773319,15,,CHEMICAL ENGINEERING TECHNOLOGY,6771319,6771319,3,A,2011,10
6773419,6773419,16,,CIVIL ENGR TECH (TRANSPORTATION),6770319,6770319,1,A,2010,62
6773419,6773419,16,,CIVIL ENGR TECH (TRANSPORTATION),6770319,6770319,1,A,2011,43
6773419,6773419,16,,CIVIL ENGR TECH (TRANSPORTATION),6770419,6770419,2,A,2010,6
6773419,6773419,16,,CIVIL ENGR TECH (TRANSPORTATION),6770419,6770419,2,A,2011,7
6773419,6773419,16,,CIVIL ENGR TECH (TRANSPORTATION),6771319,6771319,3,A,2010,68
6773419,6773419,16,,CIVIL ENGR TECH (TRANSPORTATION),6771319,6771319,3,A,2011,50
6773519,6773519,17,,CIVIL ENGR TECHNOLOGY,6770319,6770319,1,A,2010,6
6773519,6773519,17,,CIVIL ENGR TECHNOLOGY,6770319,6770319,1,A,2011,5
6773519,6773519,17,,CIVIL ENGR TECHNOLOGY,6770419,6770419,2,A,2010,5
6773519,6773519,17,,CIVIL ENGR TECHNOLOGY,6770419,6770419,2,A,2011,1
6773519,6773519,17,,CIVIL ENGR TECHNOLOGY,6771319,6771319,3,A,2010,11
6773519,6773519,17,,CIVIL ENGR TECHNOLOGY,6771319,6771319,3,A,2011,6
6773619,6773619,18,,CIVIL ENGR TECHNOLOGY (STRUCTURES ENG),6770319,6770319,1,A,2010,1654
6773619,6773619,18,,CIVIL ENGR TECHNOLOGY (STRUCTURES ENG),6770319,6770319,1,A,2011,1126
6773619,6773619,18,,CIVIL ENGR TECHNOLOGY (STRUCTURES ENG),6770419,6770419,2,A,2010,182
6773619,6773619,18,,CIVIL ENGR TECHNOLOGY (STRUCTURES ENG),6770419,6770419,2,A,2011,138
6773619,6773619,18,,CIVIL ENGR TECHNOLOGY (STRUCTURES ENG),6771319,6771319,3,A,2010,1836
6773619,6773619,18,,CIVIL ENGR TECHNOLOGY (STRUCTURES ENG),6771319,6771319,3,A,2011,1264
6773719,6773719,19,,COMPUTER ENGR TECH,6770319,6770319,1,A,2010,53
6773719,6773719,19,,COMPUTER ENGR TECH,6770319,6770319,1,A,2011,52
6773719,6773719,19,,COMPUTER ENGR TECH,6770419,6770419,2,A,2010,4
6773719,6773719,19,,COMPUTER ENGR TECH,6770419,6770419,2,A,2011,3
6773719,6773719,19,,COMPUTER ENGR TECH,6771319,6771319,3,A,2010,57
6773719,6773719,19,,COMPUTER ENGR TECH,6771319,6771319,3,A,2011,55
6773819,6773819,20,,COMPUTER SCIENCE,6770319,6770319,1,A,2010,385
6773819,6773819,20,,COMPUTER SCIENCE,6770319,6770319,1,A,2011,320
6773819,6773819,20,,COMPUTER SCIENCE,6770419,6770419,2,A,2010,189
6773819,6773819,20,,COMPUTER SCIENCE,6770419,6770419,2,A,2011,123
6773819,6773819,20,,COMPUTER SCIENCE,6771319,6771319,3,A,2010,574
6773819,6773819,20,,COMPUTER SCIENCE,6771319,6771319,3,A,2011,443
6773919,6773919,21,,COOPERATIVE ECONOMICS & MANAGEMENT,6770319,6770319,1,A,2010,1113
6773919,6773919,21,,COOPERATIVE ECONOMICS & MANAGEMENT,6770319,6770319,1,A,2011,1013
6773919,6773919,21,,COOPERATIVE ECONOMICS & MANAGEMENT,6770419,6770419,2,A,2010,735
6773919,6773919,21,,COOPERATIVE ECONOMICS & MANAGEMENT,6770419,6770419,2,A,2011,646
6773919,6773919,21,,COOPERATIVE ECONOMICS & MANAGEMENT,6771319,6771319,3,A,2010,1848
6773919,6773919,21,,COOPERATIVE ECONOMICS & MANAGEMENT,6771319,6771319,3,A,2011,1659
6774019,6774019,22,,ELECT/ELECT (ELECTRONICS & TELECOMS),6770319,6770319,1,A,2010,80
6774019,6774019,22,,ELECT/ELECT (ELECTRONICS & TELECOMS),6770319,6770319,1,A,2011,60
6774019,6774019,22,,ELECT/ELECT (ELECTRONICS & TELECOMS),6770419,6770419,2,A,2010,164
6774019,6774019,22,,ELECT/ELECT (ELECTRONICS & TELECOMS),6770419,6770419,2,A,2011,121
6774019,6774019,22,,ELECT/ELECT (ELECTRONICS & TELECOMS),6771319,6771319,3,A,2010,244
6774019,6774019,22,,ELECT/ELECT (ELECTRONICS & TELECOMS),6771319,6771319,3,A,2011,181
6774119,6774119,23,,ELECT/ELECT (ELECTRONICS),6770319,6770319,1,A,2010,245
6774119,6774119,23,,ELECT/ELECT (ELECTRONICS),6770319,6770319,1,A,2011,163
6774119,6774119,23,,ELECT/ELECT (ELECTRONICS),6770419,6770419,2,A,2010,19
6774119,6774119,23,,ELECT/ELECT (ELECTRONICS),6770419,6770419,2,A,2011,11
6774119,6774119,23,,ELECT/ELECT (ELECTRONICS),6771319,6771319,3,A,2010,264
6774119,6774119,23,,ELECT/ELECT (ELECTRONICS),6771319,6771319,3,A,2011,174
6774219,6774219,24,,ELECT/ELECTRONICS ENGR,6770319,6770319,1,A,2010,51
6774219,6774219,24,,ELECT/ELECTRONICS ENGR,6770319,6770319,1,A,2011,39
6774219,6774219,24,,ELECT/ELECTRONICS ENGR,6770419,6770419,2,A,2010,10
6774219,6774219,24,,ELECT/ELECTRONICS ENGR,6770419,6770419,2,A,2011,12
6774219,6774219,24,,ELECT/ELECTRONICS ENGR,6771319,6771319,3,A,2010,61
6774219,6774219,24,,ELECT/ELECTRONICS ENGR,6771319,6771319,3,A,2011,51
6774319,6774319,25,,ELECTRICAL/ELECTRONICS(POWER OPTION),6770319,6770319,1,A,2010,958
