observationAbout,observationDate,variableMeasured,value,unit,scalingFactor,observationPeriod,measurementMethod
dcid:country/NGA,1995-01,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,1599.22,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1995-02,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,1672.61,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1995-03,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,1732.26,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1995-04,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,1887.9,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1995-05,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2004.21,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1995-06,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2094.91,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1995-07,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2164.28,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1995-08,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2240.59,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1995-09,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2278.88,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1995-10,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2222.6,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1995-11,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2252.74,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1995-12,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2334.64,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1996-01,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2359.88,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1996-02,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2402.63,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1996-03,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2458.16,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1996-04,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2488.97,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1996-05,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2626.41,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1996-06,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2699.17,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1996-07,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2802.92,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1996-08,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2839.13,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1996-09,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2817.98,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1996-10,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2770.04,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1996-11,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2722.7,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1996-12,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2668.82,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1997-01,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2697.72,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1997-02,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2723.41,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1997-03,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2796.06,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1997-04,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2914.41,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1997-05,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2963.97,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1997-06,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,3013.52,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1997-07,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,3035.8,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1997-08,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,3058.08,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1997-09,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,3001.88,IndexPointBasePeriodSeptember1985Equals100,,P1M,
dcid:country/NGA,1997-10,dcid:CompositeConsumerPriceIndex_ConsumerGoodsAndServices_AllItems,2945.68,IndexPointBasePeriodSeptember1985Equals100,,P1M,
