DESCRIPTOR,ID_DESCRIPTOR,FREQ,TIME_PERIOD,OBS_VALUE
D1,D1,A,1981,17052.18
D1,D1,A,1982,20125.92
D1,D1,A,1983,23797.82
D1,D1,A,1984,30365.18
D1,D1,A,1985,34237.09
D1,D1,A,1986,35702.64
D1,D1,A,1987,50286.94
D1,D1,A,1988,73764.51
D1,D1,A,1989,88264.13
D1,D1,A,1990,106626.69
D1,D1,A,1991,123235.65
D1,D1,A,1992,184115.65
D1,D1,A,1993,295324.59
D1,D1,A,1994,445272.89
D1,D1,A,1995,790141.62
D1,D1,A,1996,1070514.73
D1,D1,A,1997,1211461.96
D1,D1,A,1998,1341040.9
D1,D1,A,1999,1426973.81
D1,D1,A,2000,1508408.79
D1,D1,A,2001,2015421.53
D1,D1,A,2002,4251520.65
D1,D1,A,2003,4585925.7
D1,D1,A,2004,4935263.75
D1,D1,A,2005,6032332.41
D1,D1,A,2006,7513297.8
D1,D1,A,2007,8551981.4
D1,D1,A,2008,10100325.19
D1,D1,A,2009,11625442.33
D1,D1,A,2010,13048892.8
D1,D1,A,2011,14037825.84
D1,D1,A,2012,15815997.51
D1,D1,A,2013,16816553.01
D1,D1,A,2014,18018612.87
D1,D1,A,2015,19636969.04
D1,D1,A,2016,21523512.5
D1,D1,Q,2010-Q1,2594759.86
D1,D1,Q,2010-Q2,2873377.57
D1,D1,Q,2010-Q3,4000028.64
D1,D1,Q,2010-Q4,3580726.73
D1,D1,Q,2011-Q1,2768465.72
D1,D1,Q,2011-Q2,3000700.4
D1,D1,Q,2011-Q3,4283257.92
D1,D1,Q,2011-Q4,3985401.8
D1,D1,Q,2012-Q1,3107507.8
D1,D1,Q,2012-Q2,3309863.63
D1,D1,Q,2012-Q3,4676895.98
D1,D1,Q,2012-Q4,4721730.11
D1,D1,Q,2013-Q1,3286113.31
D1,D1,Q,2013-Q2,3511130.84
D1,D1,Q,2013-Q3,4992204.69
D1,D1,Q,2013-Q4,5027104.17
D1,D1,Q,2014-Q1,3479964.46
D1,D1,Q,2014-Q2,3745274.77
D1,D1,Q,2014-Q3,5450751.05
D1,D1,Q,2014-Q4,5342622.59
D1,D1,Q,2015-Q1,3738860.22
D1,D1,Q,2015-Q2,4088642.53
D1,D1,Q,2015-Q3,5959467.92
D1,D1,Q,2015-Q4,5849998.37
D1,D1,Q,2016-Q1,4267891.06
D1,D1,Q,2016-Q2,4629859.12
D1,D1,Q,2016-Q3,6398462.72
D1,D1,Q,2016-Q4,6227299.59
D1,D1,Q,2017-Q1,4686221.53
D2,D2,A,1981,12817.21
D2,D2,A,1982,14324.07
D2,D2,A,1983,16351.86
D2,D2,A,1984,21497.55
D2,D2,A,1985,25066.49
D2,D2,A,1986,25972.39
D2,D2,A,1987,39658.65
D2,D2,A,1988,61848.64
D2,D2,A,1989,71883.92
D2,D2,A,1990,86926.2
D2,D2,A,1991,101645.81
D2,D2,A,1992,153379.79
D2,D2,A,1993,249195.93
D2,D2,A,1994,377308.29
D2,D2,A,1995,670177.59
D2,D2,A,1996,906894.16
D2,D2,A,1997,1026291.49
D2,D2,A,1998,1133389.05
D2,D2,A,1999,1204704.92
D2,D2,A,2000,1270628.76
D2,D2,A,2001,1699686.63
D2,D2,A,2002,3875457.92
D2,D2,A,2003,4161565.55
D2,D2,A,2004,4419062.42
D2,D2,A,2005,5372203.92
D2,D2,A,2006,6723216.46
D2,D2,A,2007,7654220.16
D2,D2,A,2008,9039634.01
D2,D2,A,2009,10419603.3
D2,D2,A,2010,11683896.37
D2,D2,A,2011,12484849.19
D2,D2,A,2012,14071235.47
D2,D2,A,2013,14862324.87
D2,D2,A,2014,15812570.6
D2,D2,A,2015,17189973.04
D2,D2,A,2016,18883081.5
D2,D2,Q,2010-Q1,2262178.08
D2,D2,Q,2010-Q2,2561460.05
D2,D2,Q,2010-Q3,3660097.23
D2,D2,Q,2010-Q4,3200161.01
D2,D2,Q,2011-Q1,2389946.11
D2,D2,Q,2011-Q2,2610176.51
D2,D2,Q,2011-Q3,3925045.65
D2,D2,Q,2011-Q4,3559680.92
D2,D2,Q,2012-Q1,2688310.82
D2,D2,Q,2012-Q2,2901387.15
D2,D2,Q,2012-Q3,4259362.9
D2,D2,Q,2012-Q4,4222174.6
D2,D2,Q,2013-Q1,2815222.3
D2,D2,Q,2013-Q2,3049063.14
D2,D2,Q,2013-Q3,4528683.1
D2,D2,Q,2013-Q4,4469356.33
D2,D2,Q,2014-Q1,2950435.17
D2,D2,Q,2014-Q2,3223236.23
D2,D2,Q,2014-Q3,4926152.59
D2,D2,Q,2014-Q4,4712746.61
D2,D2,Q,2015-Q1,3141324.58
D2,D2,Q,2015-Q2,3511300.37
D2,D2,Q,2015-Q3,5383132.64
D2,D2,Q,2015-Q4,5154215.45
D2,D2,Q,2016-Q1,3583980.17
D2,D2,Q,2016-Q2,4017083.56
D2,D2,Q,2016-Q3,5801028.13
D2,D2,Q,2016-Q4,5480989.64
D2,D2,Q,2017-Q1,3969515.26
D3,D3,A,1981,2525.03
D3,D3,A,1982,3962.69
D3,D3,A,1983,5193.15
D3,D3,A,1984,6619.81
D3,D3,A,1985,7162.61
D3,D3,A,1986,7389.41
D3,D3,A,1987,8373.79
D3,D3,A,1988,8889.89
D3,D3,A,1989,11790.99
D3,D3,A,1990,14145.87
D3,D3,A,1991,15576.05
D3,D3,A,1992,23027.48
D3,D3,A,1993,36575.99
D3,D3,A,1994,54304.41
D3,D3,A,1995,97202.29
D3,D3,A,1996,130407.84
D3,D3,A,1997,145029.53
D3,D3,A,1998,158314.25
D3,D3,A,1999,164374.29
D3,D3,A,2000,172190.34
D3,D3,A,2001,228557.88
D3,D3,A,2002,271026.11
D3,D3,A,2003,299224.45
D3,D3,A,2004,360802.97
D3,D3,A,2005,463420.03
D3,D3,A,2006,560246.06
D3,D3,A,2007,642276.42
D3,D3,A,2008,758839.77
D3,D3,A,2009,863402.42
D3,D3,A,2010,979564.05
D3,D3,A,2011,1115601.91
D3,D3,A,2012,1251931.35
D3,D3,A,2013,1399484.73
D3,D3,A,2014,1573052.59
D3,D3,A,2015,1748025.04
D3,D3,A,2016,1875783.35
D3,D3,Q,2010-Q1,237297.51
D3,D3,Q,2010-Q2,216103.7
D3,D3,Q,2010-Q3,247970.43
D3,D3,Q,2010-Q4,278192.42
D3,D3,Q,2011-Q1,270206.86
D3,D3,Q,2011-Q2,278130.48
D3,D3,Q,2011-Q3,257178.66
D3,D3,Q,2011-Q4,310085.92
D3,D3,Q,2012-Q1,298223.77
D3,D3,Q,2012-Q2,284662.24
D3,D3,Q,2012-Q3,304191.43
D3,D3,Q,2012-Q4,364853.92
D3,D3,Q,2013-Q1,334454.46
D3,D3,Q,2013-Q2,321465.66
D3,D3,Q,2013-Q3,337663.27
D3,D3,Q,2013-Q4,405901.34
D3,D3,Q,2014-Q1,375065.11
D3,D3,Q,2014-Q2,361153.77
D3,D3,Q,2014-Q3,379386.96
D3,D3,Q,2014-Q4,457446.75
D3,D3,Q,2015-Q1,420993.06
D3,D3,Q,2015-Q2,400924.91
D3,D3,Q,2015-Q3,418847.85
D3,D3,Q,2015-Q4,507259.22
D3,D3,Q,2016-Q1,464969.11
D3,D3,Q,2016-Q2,437827.87
D3,D3,Q,2016-Q3,433401.39
D3,D3,Q,2016-Q4,539584.99
D3,D3,Q,2017-Q1,487870.92
D4,D4,A,1981,1159.57
D4,D4,A,1982,1165.73
D4,D4,A,1983,1265.39
D4,D4,A,1984,1379.84
D4,D4,A,1985,1467.5
D4,D4,A,1986,1571.76
D4,D4,A,1987,1589.73
D4,D4,A,1988,1859.97
D4,D4,A,1989,2174.69
D4,D4,A,1990,2346.08
D4,D4,A,1991,2436.64
D4,D4,A,1992,2991.28
D4,D4,A,1993,3966.44
D4,D4,A,1994,5982.25
D4,D4,A,1995,8253.69
D4,D4,A,1996,10368.68
D4,D4,A,1997,12554.4
D4,D4,A,1998,15881.38
D4,D4,A,1999,19305.58
D4,D4,A,2000,24493.95
D4,D4,A,2001,29980.41
D4,D4,A,2002,36228.67
D4,D4,A,2003,44126.96
D4,D4,A,2004,56394.33
D4,D4,A,2005,67450.37
D4,D4,A,2006,80196.05
D4,D4,A,2007,91496.01
D4,D4,A,2008,108101.13
D4,D4,A,2009,121254.66
D4,D4,A,2010,135720.9
D4,D4,A,2011,153045.31
D4,D4,A,2012,170159.66
D4,D4,A,2013,187950.18
D4,D4,A,2014,207739.58
D4,D4,A,2015,222826.75
D4,D4,A,2016,236254.98
D4,D4,Q,2010-Q1,30420.97
D4,D4,Q,2010-Q2,34382.27
D4,D4,Q,2010-Q3,33750.81
D4,D4,Q,2010-Q4,37166.85
D4,D4,Q,2011-Q1,32302.81
D4,D4,Q,2011-Q2,40386.84
D4,D4,Q,2011-Q3,37897.56
D4,D4,Q,2011-Q4,42458.1
D4,D4,Q,2012-Q1,38367.07
D4,D4,Q,2012-Q2,42733.14
D4,D4,Q,2012-Q3,41480.15
D4,D4,Q,2012-Q4,47579.3
D4,D4,Q,2013-Q1,41800.11
D4,D4,Q,2013-Q2,47550.56
D4,D4,Q,2013-Q3,45665.86
D4,D4,Q,2013-Q4,52933.66
D4,D4,Q,2014-Q1,46245.35
D4,D4,Q,2014-Q2,52523.33
D4,D4,Q,2014-Q3,49973.13
D4,D4,Q,2014-Q4,58997.76
D4,D4,Q,2015-Q1,51584.66
D4,D4,Q,2015-Q2,56572.98
D4,D4,Q,2015-Q3,52315.73
D4,D4,Q,2015-Q4,62353.38
D4,D4,Q,2016-Q1,53486.95
D4,D4,Q,2016-Q2,59790.68
